Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
"ArchCare, Inc. (St. Vincent de Paul Residence)900 Intervale AvenueBronx, NY 10459",Long-term nursing care,Bronx | WIB Name: NEW YORK CITY| Region: New York City,-----,1,12/20/2011,3/19/2012,-----,Economic,Plant Layoff,Plant Layoff,Certain employees are represented by 1199 SEIU United Healthcare Workers East.,"Hugo A. Pizarro, Vice President, Human Resources",(646) 633-4422,3454
"Revonate Manufacturing, LLC7645 Henry Clay BoulevardLiverpool, NY 13088",Computer Manufacturing,Onondaga | WIB Name: ONONDAGA| Region: Central Region,-----,130,12/15/2011,"Began 12/6/2011, rolling layoffs will continue through 1/31/2012.",-----,Contract Loss,Plant Layoff,Plant Layoff,Employees are not represented by a union. Bumping rights do not exist.,Jim Petrie (CFO),(315) 433-1160,3453
"Fund for Public Health in New York-Communities Putting Prevention to Work (CPPW)42-09 28th StreetLong Island City, NY 11101",Community Health Development,NYC | WIB Name: NEW YORK CITY| Region: New York City,74 - CPPW funded positions,74,12/19/2011,-----,No earlier than 3/16/2012,Grant funds ended,Plant Closing,Plant Closing,No policy conferring transfer or bumping rights in connection with layoffs.,"Shelby Geter, Director of Human Resources",(646) 710-4842,3452
"H.W. Wilson950 University AvenueBronx, NY 10452",Publishing,Bronx | WIB Name: NEW YORK CITY| Region: New York City,188,188,12/16/2011,Will commence on 9/20/2011 - 60 employees affected at that time-layoffs have occurred in phases and will continue through 3/31/2012.,3/31/12,Merger between EBSCO And The H.W. Wilson Company,Plant Closing,Plant Closing,-----,"Beth Howell, Vice President of Human Resources",(978) 356-6500,3451
"St. Vincent Catholic Medical Centers of New YorkBayley Seton Hospital, 75 Vanderbilt AvenueStaten Island, NY 10304",Hospital,Richmond | WIB Name: NEW YORK CITY| Region: New York City,63,63,12/16/2011,-----,Layoffs originally scheduled to take place on 9/15/2011 will now be postponed to occur on 1/31/2012 or later.,Sale of facility,Plant Closing,Plant Closing,No bumping rights.,"Steven R. Korf, Chief Financial Officer",(212) 356-4415,3450
"St. Vincent Catholic Medical Centers of New York St. Elizabeth Ann's Health Care & Rehabilitation Center91 Tompkins AvenueNew York, NY 10304",Rehabilitation Center,New York | WIB Name: NEW YORK CITY| Region: New York City,553,553,12/16/2011,-----,"Layoffs originally scheduled to take place on 9/15/2011, will now be postponed to occur on 1/31/2012 or later",Sale of facility,Plant Closing,Plant Closing,No bumping rights exist.,"Steven R. Korf, Chief Financial Officer",(212) 356-4415,3449
"Aramark Business Dining Services @ ABC47 West 66th StreetNew York, NY 10023",Food Services,New York | WIB Name: NEW YORK CITY| Region: New York City,31,31,12/16/2011,-----,Postponed from 12/9/2011 to occur on 1/13/2012,Expired Contract,Plant Closing,Plant Closing,UNITE HERE local 100,"Susan Eisma, Human Resources Director",(860) 454-0614,3448
"GSI Croup Inc./Quantronix Corp Laser Plant41 Research WayEast Setauket, NY 11733",Mfg Electrical Equipment/Supplies Mfg Optical Instrumment/Lenses Mfg,Suffolk | WIB Name: SUFFOLK| Region: Long Island,58,58,12/16/2011,"Will occur in phases: 3/5/2012, 4/2/2012, 5/4/2012 & 6/1/2012",6/1/2012,Economic,Plant Closing,Plant Closing,No bumping rights exist.,Christine M. Ryan Director of Haman Resources,(781) 266-5857,3447
"State Farm1305 Old Walt Whitman Road, Suites 300, 210/220, 120, 110Melville, NY 11747",Insurance and Financial Services,Suffolk | WIB Name: SUFFOLK| Region: Long IslandOrange | WIB Name: ORANGE | Region: Mid-Hudson RegionOnondaga | WIB Name: ONONDAGA| Region: Central RegionErie | WIB Name: ERIE| Region: Western Region,-----,Number of affected workers to be determined based on company’s multi state involvement. WARN posting will be amended when pertinent New York State information is received.,12/5/2011,-----,"Plant Closings will be in phases beginning: February 29, 2012, October 31, 2012, March 29, 2013 and September 30, 2013",Economic – consolidating operations,Plant Closing,Plant Closing,-----,"Mark Hurley, Human Resources Assistant Manager",(610) 358-7339,3445
"Vertis Inc. d/b/a/ Vertis CommunicationsOne Tomsons RoadSaugerties, NY 12477",Advertising and Marketing,Ulster | WIB Name: ULSTER| Region: Mid-Hudson Region,150,150,12/15/2011,-----,1/7/2012,Economic,Plant Closing,Plant Closing,"None of the affected employees are represented by a union, and no bumping rights exist.","Tammy Harper, SVP Human Resources",(410) 361-8362,3443
"Metroclean Express Corp.53-01 Vernon BoulevardLong Island City, NY 11101",Cleaning & Maintenance,Queens | WIB Name: NEW YORK CITY| Region: New York City,59,59,12/14/2011,Will occur through new closing date of 12/31/2011,postponed from 11/13/2011 to 12/31/2011,Economic,Plant Closing,Plant Closing,"Local Union No. 3, IBEW","Mary Phelan-Cox, Human Resource Manager",(516) 881-3535,3442
"Credit Suisse Securities (USA) LLCOne Madison Avenue and Eleven Madison Avenue (one site)New York, NY 10010",Financial Institution,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,49,12/12/2011,Commencing on 11/28/2011 and extedning through 3/30/2012,-----,Economic,Plant Layoff,Plant Layoff,No bumping rights exist,"Mindy Schwartz, Managing Director, Human Resources",(212) 538-6703,3440
"All Voice Communications, Inc./Stericycle363 7th Avenue, 9th FloorNew York, NY 10001",Medical and Emergency Message Call Center,New York | WIB Name: NEW YORK CITY | Region: New York City,34,34,12/12/2011,Employment terminations will occur during a thirty day period commencing on 3/31/2012.,postponed from 1/9/2012 to 3/31/2012,Economic,Plant Closing,Plant Closing,The affected employees do not have bumping rights.,"Astrid Tompkins, Regional Human Resources Manager",(847) 943-6785,3439
,Geriatric Care,Kings | WIB Name: NEW YORK CITY| Region: New York City,-----,269,12/9/2011,-----,Some layoffs scheduled to occur on 8/9/2011 or later; have been postponed to occur through 1/15/2012,Anticipated sale of facility,Conditional Plant Closing,Conditional Plant Closing,1199 SEIU United Healthcare Workers,"Steven R. Korf, CFO",(212) 356-4415,3438
,Financial institution,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,413,12/9/2011,9/1/2011-12/31/2011,-----,Economic,Plant Layoff,Plant Layoff,No union represents these employees and there are no bumping rights applicable to the terminated employees.,"Sheri Paulo, Director of Employee Relations",(415) 658-4507,3437
"Macy's - South Shore Store1701 Sunrise HighwayBay Shore, NY 11706",Department Store,Suffolk | WIB Name: SUFFOLK| Region: Long Island,203,203,12/9/2011,Will occur between 3/18/2012 and 3/31/2012,3/31/2012,Renovations,Plant Closing,Plant Closing,Employees do not have “bumping rights” and are not represented by any labor organization or other representative.,"Chanell Bracey-David, Vice President, Labor and Stores",(646) 429-4729,3435
"HP Hood LLC - Manufacturing Facility Only145 Conklin AvenueBinghamton, NY 13902",Dairy Products Manufacturing Facility,Broome | WIB Name: BROOME/TIOGA| Region: Southern Region,55,55,12/8/2011,Terminations will occur during the 14- period beginning on 3/6/2012,Shutdown completed by 3/20/2012,Economic,Plant Closing,Plant Closing,Teamsters Local 693,"Corey F. Jackson, Senior Director of Human Resources",(540) 868-7712,3434
"Montefiore Medical Center – Pre-hospital Care Department - North Division4200 Bronx BoulevardBronx, NY 10466",Hospital - 911 related ambulance operations,Bronx | WIB Name: NEW YORK CITY| Region: New York City,63,63,12/6/2011,-----,3/8/2012,Economic,Plant Unit Closing,Plant Unit Closing,1199 SEIU,"Christopher D. Berner, Esq., Assistant Vice President",(718) 920-2315,3432
"LaGuardia Plaza Hotel104-04 Ditmars BoulevardEast Elmhurst, NY 11369",Hotel,Queens | WIB Name: NEW YORK CITY| Region: New York City,64,64,12/1/2011,-----,3/1/2012,Economic,Plant Closing,Plant Closing,-----,"Kurt Strauss, General Manager",(718) 269-1796,3431
,Motor Vehicle Parts and Accessories Manufacturing,Erie | WIB Name: ERIE| Region: Western Region,83,75 hourly & 8 salary employees,11/22/2011,scheduled to occur through 9/30/2012,2/25/2012,Economic,,Plant Closing,UAW Local 846,"Peter Gorlewski, Personnel Director",(716) 685-5998,3430
,Document Processing Services,Hemptead | WIB Name: HEMPSTEAD| Region: Long Island,46,46,11/30/2011,-----,2/27/2012,Economic,Plant Closing,Plant Closing,No bumping rights exist.,Michael Hubsch,(716) 204-2478,3429
,Document Processing Services,Erie | WIB Name: ERIE| Region: Western Region,11,11,11/30/2011,-----,2/27/2012,Economic,Plant Closing,Plant Closing,No bumping rights exist.,Michael Hubsch,(716) 204-2478,3428
,Document Processing Services,Erie | WIB Name: ERIE| Region: Western Region,4,4,11/30/2011,-----,2/27/2012,Economic,Plant Closing,Plant Closing,No bumping rights exist.,Michael Hubsch,(716) 204-2478,3427
,Document Processing Services,,,586,11/30/2011,-----,2/27/2012,Economic,Plant Closing,Plant Closing,No bumping rights exist.,Michael Hubsch,(716) 204-2478,3426
,Document Processing Services,Suffolk | WIB Name: SUFFOLK| Region: Long Island,22,22,11/30/2011,-----,2/27/2012,Economic,Plant Closing,Plant Closing,No bumping rights exist.,Michael Hubsch,(716) 204-2478,3425
,Healthcare facility Residential and Clinic,Putnam | WIB Name: WESTCH/PTNM| Region: Mid-Hudson Region,56 (16 employees will be retained and absorbed within the company),40,11/30/2011,11/29/2011,12/31/2011,Withdrawal of OMH certification for operations,Plant Unit Closing,Plant Unit Closing,Employees are not represented by a union and will have no bumping or recall rights.,"Betsy Bergman, Human Resources Manager",(845) 279-5994,3424
,Food Service,Dutchess | WIB Name: DUTCHESS/PUTNAM| Region: Mid-Hudson Region,51,51,11/29/2011,-----,3/1/2012,Contract Loss,Plant Closing,Plant Closing,Local 200 United,"Shannon Ross, Director, Human Resources",(215)409-4310,3423
,Saving and Investment Holdings,New York | WIB Name: NEW YORK CITY| Region: New York City,Before terminations began - 212,212,11/28/2011,Will occur between 11/4/2011 through closing 12/31/2011,12/31/2011,Economic,Plant Closing,Plant Closing,Employees are not represented by a union and will have no bumping or recall rights.,Thomas Connolly,(212) 589-6345,3422
,"Designs, manufactures and distributes apparel and accessories.",New York | WIB Name: NEW YORK CITY| Region: New York City,-----,85 affected for all six (6) locations,11/23/2011,"will occur in phases: 58 employee terminations to occur on 2/15/2012, 25 employee terminations to occur on 3/15/2012, 2 employee terminations to occur on 3/31/2012.",Terminations to continue through 3/31/2012.,Relocation of operations to overseas locations,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Julie Rosen, Vice President, Human Resources",(646) 839-7533,3416
,Motor Vehicle Parts and Accessories Manufacturing,Erie | WIB Name: ERIE| Region: Western Region,83,75 hourly & 8 salary employees,11/22/2011,-----,2/25/2012,Economic,Plant Closing,Plant Closing,UAW Local 846,"Peter Gorlewski, Personnel Director",(716) 685-5998,3415
,Legal Services,,-----,67,11/21/2011,2/20/2012,-----,Economic,Plant Layoff,Plant Layoff,None of the affected employees are represented by a union.,Michael Hubsch,(716) 204-2478,3414
,Rehabilitation Center,Richmond | WIB Name: NEW YORK CITY| Region: New York City,-----,2,11/21/2011,12/1/2011,9/15/2011,Sale of facility,Plant Closing,Plant Closing,1199,"Steven R. Korf, CFO",(212) 356-4415,3413
,Call Center,Cattaraugus | WIB Name: WESTERN| Region: Western Region,-----,32,11/18/2011,2/15/2012,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights at this location and the employees are not represented by any union.,"Kathy Kippley, Director of Human Resources",(952) 948-5353,3411
,Pharmaceuticals,Erie | WIB Name: ERIE| Region: Western Region,161,128,11/16/2011,45 separations will occur on or about 11/30/2011; 83 separations will occur on or about 12/30/2011.,12/30/2011,Economic,Plant Unit Closing,Plant Unit Closing,The affected employees at this facility are not represented by any union. There are no bumping rights at this location.,"Mary Hughes, Human Resources Council Leader",(716) 887-3752,3407
,Financial Institution,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,268,11/15/2011,Commencing on 11/28/2011 and extedning through 3/30/2012,-----,Economic,Plant Layoff,Plant Layoff,No bumping rights exist.,"Mindy Schwartz, Managing Director, Human Resources",(212) 538-6703,3406
,Frozen Food Distributor,Oswego | WIB Name: OSWEGO | Region: Central Region,136,136,11/15/2011,Layoffs will begin on 11/23/2011 and run through closing of the facility. Some employees will remain on site after manufacturing ceases for site clean-up.,Manufacturing operations will cease on or about 12/16.,Economic,Plant Closing,Plant Closing,Employees have no bumping rights.,"Earnie Pietrykowski, Human Resources Manager",(315) 598-7000 Extension 3226,3405
,Photographic equipment and Supplies,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,-----,5 on site and 2 Field Personnel: total number affected - 7,11/15/2011,1/29/2012,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do exist.,"Mary C. Lazzar-Whyte, Director, HR Americas Employee Services",(585) 781-1896,3404
,Rehabilitation Center,Richmond | WIB Name: NEW YORK CITY| Region: New York City,-----,1,11/15/2011,12/1/2011,9/15/2011,Sale of facility,Plant Closing,Plant Closing,1199,"Steven R. Korf, CFO",(212) 356-4415,3403
,Hotel,New York | WIB Name: NEW YORK CITY| Region: New York City,55,55,11/14/2011,----,"2/11/2012 The representative for this hotel, Sterling Brown, has indicated the hotel will reopen in less than 6 months.",Major renovations to the hotel.,Temporary Plant Closing,Temporary Plant Closing,"AFL-CIO, UNITE HERE",Sterling Brown,(212) 726-9548,3402
,Furniture Manufacturing,Chautauqua | WIB Name: CHAUTAUQUA| Region: Western Region,101,101,11/14/2011,Terminations will occur during the 14-day period of 2/9-2012-2/22/2012.,On or about 2/9/2012-2/22/2012,Economic,Plant Closing,Plant Closing,IUE/FW Local #81045,Joseph Scoma,(716) 661-9114,3401
,Medical Center,New York | WIB: NEW YORK CITY| Region: NEW YORK CITY,-----,1,11/8/2011,1/31/2012 or later,No exact closing date given at this time for this corporate office location.,Economic,,Plant Closing,"There may be bumping rights with respect to the affected bargaining units initially selected for separation to retain employment. Due to the closure of these facilities, only limited bumping options will be made.","Steven R. Korf, Chief Financial Officer",(212) 356-4415,3399
,Medical Center,New York | WIB: NEW YORK CITY| Region: NEW YORK CITY,-----,7,11/8/2011,some layoffs postponed to occur on 12/31/2011,No exact closing date given at this time for this site and the corporate office locations.,Economic,Plant Closing,Plant Closing,"There may be bumping rights with respect to the affected bargaining units initially selected for separation to retain employment. Due to the closure of these facilities, only limited bumping options will be made.","Steven R. Korf, Chief Financial Officer",(212) 356-4415,3398
,Clothing store,,65,65,11/7/2011,-----,Exact date has not yet been established. Anticipated closing is on 2/7/2012 or within the 14-day period following.,Economic,Plant Closing,Plant Closing,Local 1102 RWDSU UFCW,"Ann Keefe, Senior Vice President",(201) 902-9600,3396
,Hotel,New York | WIB Name: NEW YORK CITY| Region: New York City,160,160,11/7/2011,-----,Between 2/2/2012 and 5/1/2012,Renovations,Temporary Plant Closing,Temporary Plant Closing,No bumping rights exist.,"Gary Budge, General Manager",(212) 840-6800,3395
,Bank,Hempstead/WIB Name: HEMPSTEAD/Region: Long Island,-----,29,11/4/2011,1/31/2012,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights.,"Gregg J. Wagner, President and Chief Executive Off icer",(718) 855-8500 Ext 1209,3393
,Hotel and Resort Management Services,Rockland | WIB Name: ROCKLAND| Region: Mid-Hudson Region,110,110,11/2/2011,Layoffs will occur within a 14-day period following 2/1/2012,2/1/2012,"Possible sale of company, possible loss of contract.",Possible Plant Closing,Possible Plant Closing,There are no bumping rights and the employees are not represented by any union.,"Chris Dolce, General Manager",(845) 732-6300,3391
,Transportation Service,Hempstead | WIB Name: HEMPSTEAD| Region: Long Island,981,981,11/1/2011,-----,12/31/2011,Termination of of agreement with Nassau County for transportation services.,Expeditious Layoff,Plant Closing,"Transport Workers Union, Local 252, Subway-Surface Supervisors Association","Heidi Lemanski, Chief of Staff",(646) 252-5831,3389
,E-learning and performance support solutions,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,-----,115,11/1/2011,Layoffs will be implemented in phases beginning on 1/27/2012,-----,Business acquisition,Plant Layoff,Plant Layoff,No bumping rights and no official representation (union or otherwise).,"Greg Porto, Vice President",(603) 324-3000 Ext 3623,3388
,Apparel,New York | WIB Name: NEW YORK CITY| Region: New York City,278,278,10/27/2011,-----,2/1/2012,Economic,Plant Closing,Plant Closing,The office is a non-union facility.,"Bryan Miller, Senior Vice President, Human Resources",(917) 934-6100,3386
,Pharmaceutical manufacturer,Erie | WIB Name: ERIE| Region: Western Region,38,38,10/27/2011,-----,1/27/2012,Economic,Plant Closing,Plant Closing,The affected employees are not represented by any union and there are no bumping rights at this location.,"Mary Hughes, Human Resources Council Leader",(716) 887-3752,3384
,Geriatric Care,Kings | WIB Name: NEW YORK CITY | Region: New York City,348,348,10/25/2011,-----,Layoff date has been extended to 12/31/2011 for one of the affected workers.,Sale of facility. Company expects that employees may receive offers of employment from the purchaser and consequently will not experience a loss of employment.,Conditional Plant Closing,Conditional Plant Closing,-----,"Steven R. Kort, Chief Financial Officer",(212) 356-4415,3382
,Warehouse Employees and Support Staff,Erie | WIB Name: ERIE| Region: Western Region,113,41,10/21/2011,-----,1/19/2012,Economic,Plant Unit Closing,Plant Unit Closing,None,"Stephanie Marchioni, Human Resources Director",(585) 321-9499,3378
,Warehouse,Erie | WIB Name: ERIE| Region: Western Region,41,41,10/21/2011,-----,1/19/2012,Economic,Plant Unit Closing,Plant Unit Closing,None,"Stephanie Marchioni, Human Resources Director",(585) 321-9499,3377
,Rehabilitation Center,Richmond | WIB Name: NEW YORK CITY| Region: New York City,-----,1,10/20/2011,12/1/2011,9/15/2011,Sale of facility,Plant Closing,Plant Closing,1199,"Steven R. Korf, CFO",(212) 356-4415,3376
,Long-term nursing care,Bronx | WIB Name: NEW YORK CITY| Region: New York City,-----,6,10/17/2011,1/13/2012,-----,Economic,Plant Layoff,Plant Layoff,Certain employees are represented by 1199 SEIU United Healthcare Workers East.,"Hugo A. Pizarro, Vice President, Human Resources",(646) 633-4422,3373
,Home Center,Genesee | WIB Name: GLOW| Region: Finger Lakes Region,90,90,10/17/2011,Will occur in stages through 1/15/2012,Will occur approximately 4 weeks following 10/16/2011,Economic,Plant Closing,Plant Closing,Lowe’s is a non-union facility and bumping rights do not exist.,"Scott Purvis, Vice President, Human Resources",(704) 758-2450,3372
,"Designs, manufactures and distributes apparel and accessories.",New York | WIB Name: NEW YORK CITY | Region: New York City,160,160 affected for all five (5) locations. – 67 Affected 9th floor & 47 Affected 10th floor,10/11/2011,12/31/2011 – 57 employee terminations; 1/31/2012 through 3/31/2012 – 103 employee terminations. A small number of employees will remain at 1450 Broadway.,Terminations to continue through 3/31/2012.,Relocation to North Carolina.,Plant Unit Layoff,Plant Unit Layoff,The employees are not represented by a union.,Kathy Schreiner,(646) 839-7156,3371
,"Designs, manufactures and distributes apparel and accessories.",New York | WIB Name: NEW YORK CITY | Region: New York City,160,160 affected for all five (5) locations.,10/11/2011,12/31/2011 – 57 employee terminations; 1/31/2012 through 3/31/2012 – 103 employee terminations. A small number of employees will remain at 1450 Broadway.,Terminations to continue through 3/31/2012.,Relocation to North Carolina.,Plant Unit Layoff,Plant Unit Layoff,The employees are not represented by a union.,Kathy Schreiner,(646) 839-7156,3370
,Medical and Emergency Message Call Center,New York | WIB Name: NEW YORK CITY | Region: New York City,34,34,10/13/2011,Employment terminations will occur during a thirty day period commencing on 12/11/2011.,1/9/2012,Economic,Plant Closing,Plant Closing,The affected employees do not have bumping rights.,"Astrid Tompkins, Regional Human Resources Manager",(847) 943-6785,3369
,Telecommunications provider,Queens | WIB Name: NEW YORK CITY| Region: New York City,52,52,10/12/2011,-----,1/12/2012,Economic,Plant Unit Closing,Plant Unit Closing,"No provisions for transfer, bumping or reassignment for affected employees.","Colien Meetze, Director, Human Resources",(704) 378-2963,3368
,Grocery Stores/warehouses,Central Region - Onondaga County,"4,142","4,142",7/6/11 Amended,Extensions in layoff dates occuring see below,expected to occur in the 4th quarter of 2011,Economic,Plant Closing,Plant Closing,UFCW Local 1; IBT Local 294 and IBT Local 317,"Christine McMahon, S.V.P. Human Resources",315-461-2340,3367
,Energy Service Provider,Rockland | WIB Name:ROCKLAND | Region: Mid-Hudson Region,-----,2,5/31/2011,"8/30/2011, 1 employee’s layoff was extended until 12/30/2011",-----,Economic,Plant Layoff,Plant Layoff,No collective bargaining agreement or representative. No bumping rights.,"Sophia Dorry, Director of Human Resources",(845) 503-5225,3366
,Energy Service Provider,Orange | WIB Name: ORANGE | Region: Mid-Hudson Region,-----,71,10/11/2011,Will occur in stages beginning on 11/18/2011 and running through 5/3/2012,-----,Corporate Merger,Plant Layoff,Plant Layoff,No collective bargaining agreement or representative. No bumping rights.,"Sophia Dorry, Director of Human Resources",(845) 503-5225,3365
,Manufacturing bathroom fixtures,Chautauqua | WIB Name: CHAUTAUQUA| Region: Western Region,51,51,10/11/2011,-----,Layoffs are scheduled to occur between 1/10/2012 and 7/13/2012,Economic,Plant Closing,Plant Closing,NY plant is a non-union facility and no bumping rights exist.,"Cara L. Piazza, HR Manager",(814) 875-1422,3364
,Medical Center,New York | WIB: NEW YORK CITY| Region: NEW YORK CITY,-----,2,10/6/2011,12/29/2011,No exact closing date given at this time.,Economic,Plant Closing,Plant Closing,"1199 SEIU, Service Employees International Union - There may be bumping rights with respect to the affected bargaining units initially selected for separation to retain employment. Due to the closure of these facilities, only limited bumping options will be made.","Steven R. Korf, Chief Financial Officer",(212) 356-4415,3363
,Photographic equipment and Supplies,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,-----,2,10/6/2011,On 12/27/2011,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do exist.,"Mary C. Lazzar-Whyte, Director, HR Americas Employee Services",(585) 781-1896,3362
,Direct Mail Advertising,Kings | WIB Name: NEW YORK CITY| Region: New York City,372 (60 Employees will be retained and transferred to a nearby location),312,10/6/2011,-----,1/8/2012,Economic,Plant Closing,Plant Closing,"This is a non-union workforce, and hence there is no employee representation. Bumping rights do not exist.",Carl Casazza,(201) 414-5225,3361
,Life Science Medical Laboratory,Westchester | WIB Name: WESTCH/PTNM| Region: Mid-Hudson Region,95,95,10/5/2011,-----,10/4/2011,Economic,Plant Closing,Plant Closing,Affected employees do not have bumping rights and are not represented by a union.,"Robert J. Shovlin, President & CEO",(914) 377-4003,3360
,Transportation services,Suffolk | WIB Name: SUFFOLK| Region: Long Island,88,88,10/5/2011,1/1/2012,1/14/2012,Possible contract loss,Potential Plant Closing,Potential Plant Closing,Local Union #202 Intenational Brotherhood of Teamsters,"Fred DeNoon, Operations Manager",(631) 669-0309,3358
,Automotive powertrain manufacturing plant,Onondaga | WIB Name: ONONDAGA| Region: Central Region,-----,139,10/5/2011,Will occur between 1/2/2012 through 1/15/2012.,11/30/2011,Economic,Plant Closing,Plant Closing,UAW Local 624,"Tom Albanese, Labor Relations Manager",(315) 432-4094,3357
,Behavioral Health Operating Unit,New York | WIB Name: NEW YORK CITY| Region: New York City,32,32,10/4/2011,Separations will occur between 9/30/2011 through closing,Closing postponed from 10/13/2011 to occur between 12/30/2011 to 1/13/2012.,Economic,Plant Unit Closing,Plant Unit Closing,"Office and Professional Employees International Union, Local 153","Bill Voigt, Director of Employee Relations",(646) 447-5964,3355
,Textile Reinforcement Mfg,Oneida | WIB Name: HMO| Region: Mohawk Valley Region,-----,9,10/4/2011,-----,12/31/2011,Economic,Plant Closing,Plant Closing,USW Local 1160L,Patricia Axtell,(315) 334-3355,3354
,Bakery,Kings | WIB Name: NEW YORK CITY| Region: New York City,76,76,10/3/2011,-----,12/31/2011,Economic,Plant Closing,Plant Closing,Local 53 Bakery Workers – no bumping rights exist.,David Dew,(718) 366-1100,3352
,Restaurant,Hempstead | WIB Name: HEMPSTEAD| Region: Long Island,67,67,10/3/2011,-----,1/22/2012,Economic,Plant Closing,Plant Closing,Affected employees are not represented by a union.,"Heather Lacey, Associate General Counsel",(617) 530-9555,3351
