Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
"Super Steel Schenectady Inc.
  2000 7th Street
  Glenville, NY 12302",Steel assembler and fabricator,Schenectady  | WIB: CAPITAL DISTRICT | Region: CAPITAL DISTRICT,175,175,12/1/2008,1/31/2009,4/3/2009,Economic,Plant Closing,Plant  Closing,-----,Kathleen Roeben,(518) 388-3306,1969
"Unisys Corporation
180 Kenneth    Drive
Rochester, NY 14623",Business & Technology Consultants Systems,Monroe | WIB: MONROE | Region: FINGER LAKES,-----,89,11/26/2008,1/19/2009,-----,Economic,Plant Layoff,Plant  Layoff,No  union representation.,Daniel Eck Human Resource Business Partner,(215) 986-7956,1967
DHL Express,Package delivery service,Onondaga | WIB: ONONDAGA  | Region: CENTRAL REGION,115,115,11/25/2008,-----,1/23/2009,Economic,,Plant Closing,Teamsters Local 317,"Patricia Ann Burke, Vice President Labor Relations",(954) 626-1928,1966
CSC,Business Services,Rensselaer | WIB: CAPITAL DISTRICT | Region: CAPITAL DISTRICT,-----,98,11/25/2008,"1/30/2009, 2/28/09, 3/31/09",-----,Economic,,Plant  Layoff,No union employees among  those scheduled for layoff.,"Laurie Alfieri, Employee Relations Specialist",(860) 823-2516,1965
Delavan Industries Inc.,Automotive,Erie | WIB: ERIE  | Region: WESTERN REGION,-----,97 total both sites,11/24/2008,from  1/20/2008 through 2/2/08,-----,Economic,Plant Layoff,Plant Layoff,UAW - 55,Gerald Beuvelet,(716) 677-4080,1964
AJM Packaging Corporation,Paper  Products,Suffolk | WIB: SUFFOLK| Region: LONG ISLAND,126,126,11/21/2008,-----,Layoffs will occur between 1/19 and 1/31/2009.,Economic,,Plant  Closing,USW Local 1-0318,"Guy Miele, Director of Human Resources",(248) 901-0040,1962
"National Gypsum-Wallboard Division
  Riverside    Avenue  Extension
  East Greenbush, NY 12061",Wall Board Manufacturer,Rensselaer | WIB: CAPITAL DISTRICT| Region: CAPITAL DISTRICT,71,71,11/21/2008,-----,1/19/2009,Economic,Plant Closing,Plant Closing,-----,"Barry Venne, Human Resources & Safety Manager",(518) 449-7354,1961
"Blue Man Productions, Inc.
599 Broadway, 5th Floor
New York, NY 10012",Production Company,New York | WIB: NEW YORK CITY |  Region: NEW YORK CITY,-----,46,11/19/2008,1/13/2009,-----,Economic,Plant Layoff,Plant  Layoff,No employees are represented  by a labor union.,"Jeni Ardizzone-West, Senior Vice President",(212) 226-6366,1958
"HSBC
2929 Walden    Avenue 
Depew, NY 14043",Bank,Erie | WIB: ERIE  | Region: WESTERN REGION,-----,225,11/19/2008,1/18/2008,-----,Economic,Plant Layoff,Plant  Layoff,No unions involved.,"Maragaret McGovern, Government Relations",(518) 432-2016,1957
"BH S & B Holdings LLC
12 Harbor Park    Drive
Port Washington, NY 11050",Retail,Hempstead | WIB: HEMPSTEAD | Region: LONG ISLAND,-----,89,11/19/2008,11/17/2008,-----,Economic,Plant Layoff,Plant Layoff,None of the employees are  represented by a union.,Brian Kalmaer,(516) 267-7360,1956
"The Penn Traffic Company/ P & C Foods
  137 State Route 104
  Oswego, NY 13126",Grocery store,Oswego | WIB: OSWEGO  | Region: CENTRAL REGION,68,68,11/17/2008,-----,Store closing is expected to occur on or  about 12/12/08 employee separations are expected to occur on or about 1/10/2009.,Economic,Plant Closing,Plant  Closing,UFCW District Union Local One,"Christine McMahon, Senior Vice President Human Resources and Labor Relations",(315) 461-2340,1955
"National Wholesale Liquidators
  111 Hempstead  Turnpike
West Hempstead, NY 11552",Wholesale goods sales,Hempstead | WIB: HEMPSTEAD | Region: LONG ISLAND,316,316,11/13/2008,-----,Layoffs will take place sometime between  60-74 days from this notice dated 11/8/08 (1/8/2009-1/22/09),Economic,Plant Closing,Plant  Closing,Amalgamated Local 298 AFL-CIO,Michael Gold or Robert Pigeon,(516) 489-3300,1953
"Thomson Reuters
44 South  Broadway 18th Floor
White Plains, NY 10601",Investment Firm,Westchester | WIB: WESTCH/PTNM | Region: HUDSON VALLEY,105,35,11/13/2008,11/12/2008,-----,Economic,Plant Layoff,Plant  Layoff,None of the affected  employees are represented by a union.,Jean Kamerschen Director of Human Resources,(914) 989-5005,1951
"NXP Semiconductors
Hudson Valley Research Park,  2070 Rt 52, PO Bx 1279
Hopewell Junction, NY 12533",Semiconductor manufacturing,Dutchess | WIB: DUTCHESS  | Region: HUDSON VALLEY,-----,512,11/12/2008,"1/9/2009 (7 affected), 2/6/09 (5 affected) and in the  summer of 2009 (approximately 500 affected).",-----,Economic,Plant Layoff,Plant  Layoff,-----,"Michael Bibeault 

  Phone:  (845) 902-1470",,1950
"Microdyne Outsourcing, Inc.
265 Industrial    Park Drive
Binghamton, NY 13904",Contract call center,Broome | WIB: BROOME/TIOGA | Region: SOUTHERN  TIER,90,90,11/10/2008,1/9/2009,1/9/2009,Economic,Plant Closing,Plant  Closing,There is no bargaining unit.,"Anthony M. Nedik, Human Resource Manager",(207) 866-6044,1949
"City and Suburban Delivery Systems, Inc.
1111 Marcus    Avenue Ste. M 21
New Hyde Park, NY 11042",Newspaper & Magazine Delivery,Nassau | WIB: HEMPSTEAD | Region: LONG ISLAND,471 affected in all 3 NY sites,340,11/7/2008,"1/4/2009, 4/14/09",4/14/2009,Economic,Plant Closing,Plant  Closing,Newspaper & Mail Deliverers' Union  of NY,"Chris Biegner,  Human Resources & Labor Relations Director",(516) 302-2810,1948
"J & W Seligman
100 Park Avenue
New York, NY 10017",Financial Services,New York | WIB: NEW YORK CITY | Region:  NEW    YORK CITY,113,113,11/6/2008,Termination  will begin on or around 1/9/2009,no  specific closing date indicated in WARN letter from company,Company Sale  to Ameriprise Financial,Plant Closing,Plant  Closing,-----,"Mark Matuga, Director

  Phone:  (612) 671-2254",,1947
"Goldman, Sachs & Co.
85 Broad Street
New York, NY 10004",Financial Services-Broker Dealer,New York | WIB: NEW YORK CITY |  Region: NEW YORK CITY,----,700 total in 4 sites,11/7/2008,11/7/2008,-----,Economic,Plant Layoff,Plant  Layoff,The  affected employees are not represented by a union and are not entitled to any  bumping rights.,"Gena Palumbo, Vice President, Associate General  Counsel",(212) 357-2191,1946
"RJR Paratransit Corp.
1855 Hylan    Boulevard
Staten Island, NY 10305",Transportation Service,Richmond | WIB: NEW YORK CITY |  Region: NEW YORK CITY,200+,200+,10/31/2008,-----,12/31/2008,Loss of Contract,Plant Closing,Plant  Closing,-----,Richard Salomone,(718) 873-1108,1943
"Coca-Cola Enterprises Inc.
7 Water Avenue
Binghamton, NY 13901",Soft Drink Producer,Broome | WIB: BROOME/TIOGA  | Region: SOUTHERN TIER,62,62,10/31/2008,-----,1/2/2009,Economic,Plant Closing,Plant  Closing,International  Brotherhood of Teamsters Local #693,"Agnes Blumberg, Human Resource Director",(804) 219-2929,1942
"American Transit Inc.
1200 Zerega    Avenue
Bronx, NY 10462",Transportation Service,New York | WIB: NEW YORK CITY |  Region: NEW YORK CITY,400,400,10/30/2008,-----,12/31/2008,Possible Loss of Contract,Plant Closing,Plant  Closing,Local 100 Transit Workers Union,Michael Minerva,(914) 965-5040,1941
"American Transit Inc.
722 Nepperhan    Avenue
Yonkers, NY 10703",Transportation Service,Westchester | WIB: WESTCH/PTNM | Region: HUDSON VALLEY,50,50,10/30/2008,-----,12/31/2008,Possible Loss of Contract,Plant Closing,Plant  Closing,Local 100 Transit Workers Union,Michael Minerva,(914) 965-5040,1940
"Metropolitan Jewish Geriatric Center Adult Home Care
6405 Seventh Avenue
New York, NY 11220",Adult Home Care,New York | WIB: NEW YORK CITY |  Region: NEW YORK CITY,220,220,10/30/2008,-----,12/31/2008,Economic,Plant Closing,Plant  Closing,-----,Barbara Farrell Employee & Labor Relations  Director,(718) 630-2646,1939
"Credit Suisse Securities (USA) LLC
11 Madison    Avenue
New York, NY 10010",Financial institution,New York | WIB: NEW YORK CITY |  Region: NEW YORK CITY,----,191,10/30/2008,During  the period between 10/27/2008 and 11/28/2008.,----,Reorganizing,Layoff,Plant Layoff,None of the affected  employees is represented by a labor union.,"Jennifer Frost, Director of Human Resource",(212) 538-3117,1938
"R. T. Vanderbilt (Gouverneur Talc Division)
1837 State    Highway 812
Gouverneur, NY 13642",Mine/process wollastonite/talc production,St. Lawrence | WIB: ST LAWRENCE | Region: CAPITAL  DISTRICT,67,17,10/30/2008,12/31/2008 Further separations are planned for late  March or April.,-----,Discontinuing talc production-foreign competition,Plant Layoff,Plant Layoff,United  Steel Workers,"Roger K. Price, President & Chief Operating  Officer",(203) 853-1400,1937
"Interep National Radio Sales, Inc.
100 Park Avenue 5th  Floor
New York, NY 10017",Radio Sales,New York | WIB: NEW YORK CITY |  Region: NEW YORK CITY,104,104,10/27/2008,10/27/2008,Not certain at this time.,Economic,Plant Closing,Plant  Closing,None of the employees are  represented by a union.,"Paul J. Parzuchowski, Vice President and Secretary",(212) 916-0718,1936
"Gate Gourmet Inc
39-29 Honeywell    Street
Long Island City, NY 11101",Food Service,Queens | WIB: NEW YORK CITY | Region: NEW YORK CITY,82: number affected for two locations,-----,10/23/2008,-----,12/22/2008,Economic,Plant Closing,Plant  Closing,R.W.D.S.U. Local 1102,"Richard Jones, Director of HR",(770) 991-4505,1935
Financial Guaranty Insurance Company,Financial,New York | WIB: NEW YORK CITY | Region: NEW YORK CITY,137,56,10/21/2008,12/17/08 - 12/24/08,-----,Economic,Mass Layoff,Mass  Layoff,None of the employees affected by the  layoffs are represented by a union.,Roseann Paladino,(212) 312-3201,1934
"Wakiya (restaurant), Gramercy Park Hotel
2 Lexington    Avenue
New York, NY 10010",Restaurant,New York | WIB: NEW YORK CITY | Region: NEW YORK CITY,-----,59,10/20/2008,12/20/2008,12/30/2008,Economic,Plant Unit Closing,Plant  Unit Closing,There is no collective bargaining  representative for any of the affected employees.,Jason Antoniazzi,(212) 201-2178,1929
"Wyeth Pharmaceuticals
64 Maple Street
Rouses Point, NY 12979",Pharmaceuticals,Clinton  | WIB: C-E-F-H | Region: CAPITAL DISTRICT,1150,1150,10/17/2008,1/20/2006,12/31/2009,Economic,Plant  Closing,Plant  Closing,Local 95c ICWU/UFCW,"Elaine M. Reynolds, Director, Human Resources",(518) 297-1697,1928
Sodexho Inc.,Food Services,New York | WIB: NEW YORK CITY | Region:  NEW    YORK CITY,144,144,10/17/2008,10/18/2008,10/17/2008,,Plant Closing,Plant  Closing,-----,"Donna L. White, Senior Manager, Human Resources",-----,1927
"Par Pharmaceutical
30 Dunnigan    Drive
Suffern, NY 10901","Pharmaceutical manufacturer, distributor and developer",Rockland | WIB: ROCKLAND | Region: HUDSON VALLEY,-----,5,10/17/2008,5/29/2009,-----,Economic,Plant Layoff,Plant Layoff,-----,"Stephen Montalto, SVP of Human Resources",(201) 802-4000,1926
"Par Pharmaceutical
One Ram Ridge
Spring Valley, NY 10977","Pharmaceutical manufacturer, distributor, and  developer",Rockland | WIB: ROCKLAND | Region: HUDSON VALLEY,-----,118,10/17/2008,12/15/2008 with additional separations anticipated to  occur on 1/30/09 and 3/20/09,-----,Economic,Plant Layoff,Plant  Layoff,-----,"Stephen Montalto, SVP of Human Resources",(201) 802-4000,1925
"GE Capital Corporation/CitiCapital
450 Mamaroneck    Avenue
Harrison, NY 10528",Financial,Westchester | WIB: WESTCH/PTNM | Region: HUDSON VALLEY,54,54,10/14/2008,10/17/2008,1/1/2009,CitiCapital Loss of Lease,Plant closing,Citi  Capital Loss of Lease,-----,"Alan Zapata, Human Resource Manager",(203) 749-6521,1921
"Barclays Capital Inc.
200 Park Avenue
New York, NY 10166",Investment banking,New York | WIB: NEW YORK CITY | Region: NEW YORK CITY,500  in total on all 5 sites involved,500,10/14/2008,12/02/08,-----,Economic-Bought Lehman Brothers,Mass Layoff,Mass Layoff,-----,"Mark Kurman, Human Resource Director",(212) 412-1335,1920
"Heller Ehrman LLP
Time Square Tower 7 Times Square
New York, NY 10036",Law Firm,New York | WIB: NEW YORK CITY |  Region: NEW YORK CITY,148,148,9/29/2008,-----,11/28/2008,Economic,Plant Closing,Plant  Closing,Each  affected employee is a non-union employee.,"Brad Scott, Chief Operating Officer",(212) 847-8707,1915
"Swissport Cargo Services
JFK International   Airport, Bldg 21
Jamaica,  NY  11430",Cargo handling,Queens | WIB: NEW YORK CITY | Region: NEW YORK CITY,128,97,9/29/2008,11/30/2008,-----,Economic,Plant Layoff,Plant  Layoff,Local 851 -  International Brotherhood of Teamsters,"Mr. Carmen Rodriquez, Human Resource Manager",(718) 233-9515,1914
"U.S. Web Inc.
780 Park Avenue
Huntington, NY 11743",Printing and Mailing,Suffolk | WIB: SUFFOLK | Region: LONG ISLAND,208,208,9/25/2008,-----,11/16/2008,Chapter  11-Outcome under negotiations with potential  investors and purchasers.,Possible Plant Closing,Possible Plant Closing,-----,Connie Giordano,(631) 427-5200 Ext 115,1913
Shop Vac Corporation,Wet/Dry  Vacuum Manufacturing,Broome | WIB: BROOME/TIOGA  | Region: SOUTHERN TIER,220,220,9/25/2008,-----,11/26/2008,Economic,Plant Closing,Plant Closing,-----,"Gina Campo, Human Resources",(607) 352-1953,1912
"Liberty Mutual
251 Salina  Meadows Parkway  Suite 260
Syracuse, NY 13212",Insurance,Onondaga | WIB: ONONDAGA  | Region: CENTRAL REGION,-----,51,9/25/2008,11/24/2008,-----,Economic,Plant Layoff,Plant  Layoff,The affected employees at  this facility are not represented by any union.,"James Hall, Regional Claims Manager",(800) 962-5157 Ext 272,1911
"Kaz Incorporated
One Vapor Trail
Hudson, NY 12534",Manufacturing,Columbia  | WIB: COLUMBIA/GREENE | Region: CAPITAL DISTRICT,337,337,9/25/2008,Will  begin in 11/2008 in phases throughout the next 9  months.,5/1/2009,Economic,Plant closing,Plant Closing,No union representation at  this facility.,"John Mizia, Manufacturing Director",(518) 828-0450,1908
"Honeywell International Scanning and Mobility
  700 Visions    Drive
  Skaneateles Falls, NY 13153","Bar code engines, scanners & mobile computers",Onondaga | WIB: ONONDAGA  | Region: CENTRAL REGION,-----,300,9/23/2008,Will  begin on 11/21/2008 and continue through June  2009,-----,Economic,Plant Layoff,Plant Layoff,-----,"Christine A. Ruppert, Assistant General Counsel",(763) 954-6102,1907
"Oswego Wire Inc.
One Wire Drive
Oswego, NY 13126",Wire manufacturing,Oswego | WIB: OSWEGO  | Region: CENTRAL REGION,93,53,9/17/2008,9/15/2008,-----,Economic,Plant Layoff,Plant Layoff,No bumping rights exist for  affected employees.,"Kevin M. Porath, Human Resource Director",(315) 343-0524,1905
"Amalgamated Life
730 Broadway
New York, NY 10003-9511",Life Insurance Company,New York | WIB: NEW YORK CITY | Region:  NEW    YORK CITY,466,466,9/11/2008,Layoffs  will begin between 10/20/2008 and 11/1/08.,11/1/2008,Economic,Plant Closing,Plant  Closing,AFL-CIO,Leslie Bostic Senior Vice President of Human Resources,(212) 539-5210,1904
"Evelyn Hill, Inc.
Statue of Liberty  National Monument Liberty   Island
New York, NY 10004",Concession services,New York | WIB: NEW YORK CITY |  Region: NEW YORK CITY,150,150,9/9/2008,-----,12/31/2008,Possible Contract Loss,Possible Plant Closure,Possible  Plant Closure,No  union membership,"Bradford A. Hill, President",(212) 363-3180,1903
Ramada Plaza Hotel JFK,Hotel,Queens | WIB: NEW YORK CITY | Region: NEW YORK CITY,202,202,9/2/2008,-----,10/31/2008,Possible  Loss of Lease,Possible Plant Closing,Possible Plant Closing,"New  York Hotel & Motel Trades Council, AFL-CIO","Greg Bingaman, Director of Asset Management",(281) 857-8397,1899
JP Morgan Chase & Co. (Treasury and Security  Services),Treasury Services,Onondaga | WIB: ONONDAGA | Region: CENTRAL  REGION,-----,71,8/29/2008,10/31/2008,-----,Treasury & Security Services will be relocated.,Plant Layoff,Plant  Layoff,"The employees affected are not represented  by a union, and bumping rights do not exist.","Anita R. Zavacky, VP, HR (JP Morgan Chase & Co.)",(813) 432-4290,1898
"Complementary Coatings Corp. d/b/a/ Insl-x
50 Holt Drive
Stony Point, NY 10980","Coating Systems:paints, varnishes, lacquers",Rockland | WIB: ROCKLAND | Region: HUDSON VALLEY,57,57,8/26/2008,10/31/2008,3/31/2009,Economic,Plant Closing,Plant Closing,Production Workers Local 400,"Carole Golden, Human Resource Director",(845) 786-5000,1895
"St. Lawrence Zinc Co., LLC
408 Sylvia Lake    Road
Gouverneur, NY 13642",Metals Industry,St. Lawrence | WIB: ST LAWRENCE | Region: CAPITAL  DISTRICT,210,176,8/22/2008,8/22/2008,-----,Economic,Plant Layoff,Plant  Layoff,No union representing  affected employees.,Douglas Beachard,(315) 535-3222,1892
"Aramark Educational Service, LLC
Valley Stream School District
Valley Stream, NY 11580",Food Service,Nassau | WIB: HEMPSTEAD | Region: LONG ISLAND,62,62,8/22/2008,-----,9/1/2008,Loss of Contract,Plant Closing,Plant  Closing,SWU - Local 74,"Jennifer Smeriglio, Human Resource Director",(203) 448-7519,1889
"Kmart Corporation  Store #3436
999 E. Ridge    Road
Rochester, NY 14621-1936",Retail Department Store,Monroe | WIB: MONROE | Region: FINGER LAKES,46,46,8/22/2008,10/26/2008,11/12/2008,Economic,Plant Closing,Plant  Closing,-----,"Tarek Brantley, Vice President of Human Resources",(847) 286-0817,1888
