Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Case_ID
"REGENT WALL STREET HOTEL
  55 WALL ST.
  NEW YORK, NY 10005
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",HOTEL,,200,200,,1/16/2004,1/16/2004,ECONOMIC,PLANT CLOSING,DISCONTINUANCE OF ALL BUSINESS OPERATIONS,---,"CHRISTOPHER KNABLE, PRES. & MANAGING DIRECTOR, 212 699-5600",770
"CARRIER CORPORATION (UNITED TECHNOLOGIES) 
  6304 CARRIER PARKWAY 
  SYRACUSE, NY 13202 / ONONDAGA CO./ CENTRAL REGION",REFRIGERATION AND COMPRESSOR MANUFACTURING OPERATIONS,,"Approximately 1200 in the manufacturing unit. 
  (There are 2800 in the whole Syr. Operation- the R&D division will remain 
  there and may even expand)",Approximately 1200,,BEGINNING 1/16/04,AROUND 9/22/04,"ECONOMIC

  ERNUM: 5174030",PLANT CLOSING (Unit Closing),CLOSING OF MANUFACTURING OPERATIONS,"SHEET METAL WORKERS UNION, LO. 527; RICHARD SIMONE, BUSINESS MGR.","RICHARD A. WARTERS, DIRECTOR, EMPLOYEE & INDUSTRIAL RELATIONS
  860 674-3230",767
,FINANCIAL,,163,163,,1/17/03,1/17/03,"ECONOMIC

  ERNUM: 5201477",PLANT CLOSING,CLOSING,---,"CLAUDIA RODRIGUEZ, H.R. DIR. , 636 261-5942",766
"BENCHMARK HOSPITALITY DBA HERITAGE COUNTRY CLUB
  4301 WATSON BLVD, JOHNSON CITY, NY 13790 / BROOME CO.",PROPERTY MANAGEMENT,,85,85,,1/11/04,"All the Benchmark workers will be terminated, but at this time 
  it is not known if the management is bringing in a new provider.",Termination of agreement,MASS LAYOFF,DISLOCATION,,"DEBBIE ZEMAN, HR COORDINATOR 607-763-2041",762
"EVERLAST WORLD'S BOXING HEADQUARTER
  750 EAST 132ND STREET
  BRONX, NY 10454
  County: BRONX | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",SPORTS,,106,106,,11/1/2003,12/31/2003,RELOCATION TO MISSOURI,PLANT CLOSING,RELOCATION,"TEAMSTERS LO. 819, JOSEPH BIGGS, PRES.","ANGELO GIUSTI, SECRETARY , 212 239-0990",754
"TODCO
  7167 ROUTE 353
  CATTARAUGUS, NY 14719
  County: CATTARAUGUS | SSA Name: ALL/CAT | Region: WESTERN REGION",MFG. OF TRUCK PARTS,,66,66,,12/31/2003,12/31/2003,ECONOMIC,PLANT CLOSING,PLANT CLOSING,NONE,"MICHAEL LINKOUS, DIR. H.R., 740 383-6376",751
"EMPIRE HOTEL
  44 W. 63RD. ST.
  NEW YORK, NY 10023
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",HOTEL,,174,174,,1/18/2004,1/31/2004,ECONOMIC,PLANT CLOSING,CLOSING,NYH&MTC,"JUNE MCDOUGALL, GENERAL MGR., 212 265-7400",748
"LEICA MICROSYSTEMS, INC.
  3362 WALDEN AVENUE
  DEPEW, NY 14240
  County: ERIE | SSA Name: ERIE | Region: WESTERN REGION",MFG. OF COMPUTER PARTS,,89,64,,12/31/2003,N/A,ECONOMIC,OTHER,LAYOFF,"USW, LO. 222","JOHN BURGESS, 716 686-3000",747
"PARMALAT BAKERY- ARCHWAY
  ONE LINCOLN AVE.
  PERRY, NY 14530
  County: WYOMING | SSA Name: GLOW | Region: FINGER LAKES",BAKERY,,208,102,,12/31/2003,N/A,RELOCATION OF ARCHWAY BRAND OPERATIONS TO OHIO,MASS LAYOFF,LAYOFF,---,"JOHN STEPHENS, PRES., 585-237-2213",746
"TEAM VIDEO SERVICES OF NEW YORK LLC
  5 PENN PLAZA
  NEW YORK, NY 10001
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",MEDIA,,144,144,,1/17/2004,1/28/2004,TERMINATION OF THEIR SERVICES BY CNN,PLANT CLOSING,UNIT CLOSING,"NABET, CWA, LO. 11","LARRY D'ANNA, PRES., 202 363-1000",745
"LIBERTY LINES TRANSIT, INC.
  59 BABCOCK PLACE
  YONKERS, NY 10701
  County: WESTCHESTER | SSA Name: YONKERS | Region: HUDSON VALLEY",BUS TRANSPORTATION,,913 (Approx. 199 employess could be affected),NOT KNOWN AT THIS TIME,,12/31/2003,12/31/2003,"The company states that if they do not receive an extension 
  of their operating authority from the City of NY they will experience a layoff 
  at this facility affecting about 199 of their 913 employees.",CONDITIONAL,POSSIBLE DISLOCATION,TWU- LO. 100,"JERRY D'AMORE, Phone: 914 376-6448",744
"QUALITY MARKET (PENN TRAFFIC CO.)
  1234 ABBOTT ROAD
  LACKAWANNA, NY 14218
  County: ERIE | SSA Name: ERIE | Region: WESTERN REGION",SUPERMARKET,,87,87,10/24/2003 Control Number: 2003-055,12/23/2003,1/6/2004,ECONOMIC,PLANT CLOSING,STORE CLOSING,"UFCW, LO. ONE","GREGG B. RIFFLE, DIR. OF HR LABOR RELATIONS Phone: 315 461-2643",742
"QUALITY MARKET (PENN TRAFFIC CO.)
  1717 SHERIDAN DRIVE
  TONAWANDA, NY 14223
  County: ERIE | SSA Name: ERIE | Region: WESTERN REGION",SUPERMARKET,,92,92,,12/23/2003,1/6/2004,ECONOMIC,PLANT CLOSING,STORE CLOSING,"UFCW, LO. ONE","GREGG B. RIFFLE, DIR. OF HR LABOR RELATIONS Phone: 315 461-2643",741
"P&C (PENN TRAFFIC CO.)
  300B S. HAMILTON ST.
  PAINTED POST, NY 14870
  County: STEUBEN | SSA Name: CSS | Region: SOUTHERN TIER",SUPERMARKET,,63,63,,12/23/2003,1/6/2004,ECONOMIC,PLANT CLOSING,STORE CLOSING,"UFCW, LO. ONE","GREGG B. RIFFLE, DIR. OF HR LABOR RELATIONS Phone: 315 461-2643",740
"P&C (PENN TRAFFIC CO.)
  1790 BLACK RIVER BLVD.
  ROME, NY 13440
  County: ONEIDA | SSA Name: HMO | Region: CENTRAL REGION",SUPERMARKET,,69,69,,12/23/2003,1/6/2004,ECONOMIC,PLANT CLOSING,STORE CLOSING,"UFCW, LO. ONE; FRANK DERISO","GREGG B. RIFFLE, DIR. OF HR LABOR RELATIONS Phone: 315 461-2643",738
,INSURANCE,,61,61,,12/19/2003,12/19/2003,"ECONOMIC- Closing and relocation (outside NYS) of disability 
  operations",PLANT CLOSING,CLOSING,NONE,"SCOTT LARSEN, AVP Phone: 914 524-1500",737
"ARROW ELECTRONICS, INC.
  50 HORSEBLOCK ROAD
  BROOKHAVEN, NY 11719
  County: SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND",ELECTRONICS,,31,"31 (The employer states that these employees will be technically 
  employed for an additional 6 to 24 wks after 11/7/24)",,11/7/2003,11/7/2003,ECONOMIC,OTHER,CLOSING,NONE,"SUSAN BORELLO, H.R. REPRESENTATIVE, 631 205-3032",736
"TRI-MODE PLASTICS, INC.
  59 SPENCE ST.
  BAY SHORE, NY 11706
  County: SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND",MFG. OF PLASTICS,,73,73,,12/19/2003,6/30/2004,ECONOMIC,PLANT CLOSING,CLOSING,"IPEU, LO. 72","WILLIAM STOKES, GEN. MGR. , 631 231-5707",734
"COMMAND BUS COMPANY, INC.
  23-45 87TH ST.
  JACKSON HEIGHTS, NY 11369
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",PUBLIC BUS TRANSPORTATION,,199,NOT KNOWN AT THIS TIME,,1/1/2004,NOT KNOWN NOW,"ECONOMIC- The company states that if they do not receive 
  an adjustment in funding from the City of NY and an extension of their operating 
  authority by 12/31/03, they will experience a complete shut-down of this facility.",CONDITIONAL,POSSIBLE DISLOCATION,"ATU, LO. 1181, SALVATORE BATTAGLIA","JEROME COOPER, CEO Phone: 718 526-0800",733
"JAMAICA BUSES, INC.
  114-15 GUY BREWER BLVD.
  JAMAICA, NY 11434
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",PUBLIC BUS TRANSPORTATION,,216,NOT KNOWN AT THIS TIME,,POSSIBLY 1/1/2004,UNKNOWN NOW,"ECONOMIC - The company states that if they do not receive 
  an adjustment in funding from the City of NY and an extension of their operating 
  authority by 12/31/03, they will experience a complete shut-down of this facility.",CONDITIONAL,POSSIBLE DISLOCATION,"TWGNY, LO. 100, ROGER TOUSSAINT, PRES.","JEROME COOPER, CEO Phone: 718 526-0800",732
"TRIBORO COACH CORP.
  85-01 24TH AVE.
  JACKSON HEIGHTS, NY 11370
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",PUBLIC BUS TRANSPORTATION,,467,NOT KNOWN AT THIS TIME,,1/1/2004,NOT KNOWN NOW,"ECONOMIC - The company states that if they do not receive 
  an adjustment in funding from the City of NY and an extension of their operating 
  authority by 12/31/03, they will experience a complete shut-down of this facility.",CONDITIONAL,POSSIBLE DISLOCATION,"TWGNY, LO 100, ROGER TOUSSAINT, PRES.","JEROME COOPER, CEO Phone: 718 526-0800",731
"GREEN BUS LINES, INC.
  165-25 147TH AVE.
  JAMAICA, NY 11434
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",PUBLIC BUS TRANSPORTATION,,617,UNKNOWN AT THIS TIME,,POSSIBLY 1/1/2004,NOT KNOWN,"ECONOMIC- The company states that if they do not receive 
  an adjustment in funding from the City of NY and an extension of their operating 
  authority by 12/31/03, they will experience a complete shut-down of this facility.",CONDITIONAL,POSSIBLE DISLOCATION,"ATU, LO. 1179, JOHN LONGO, PRES.","JEROME COOPER, CEO Phone: 718 526-0800",730
"TRANSIT ALLIANCE INC.
  23-45 87 STREET
  JACKSON HEIGHTS, NY 11369
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",PUBLIC BUS TRANSPORTATION,,44,Unknown at this time,,Possibly 1/1/2004,Not known at this time,"ECONOMIC- The company states that if they do not receive 
  an adjustment in funding from the City of NY and an extension of their operating 
  authority by 12/31/03, they will experience a complete shut-down.
ERNUM:41-72790 8 
Union: YES
Classification: CONDITIONAL",CONDITIONAL,POSSIBLE DISLOCATION,YES,"JEROME COOPER, CEO , 718 526-0800",729
"QUEENS SURFACE CORP.
  128-15 28TH AVE.
  FLUSHING, NY 11354
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",PUBLIC TRANSPORTATION,,789 ( 81 non-union; 708 union employees ),Not known at this time,,,,"CONDITIONAL NOTICE: Per the Company- ""in 
  the event the City of New York does not extend the operating authority of Queens 
  Surface Corp., then on December 31, 2003, the Company will effect a mass layoff 
  and permanent complete shut-down of its facility at 128-15 28th Avenue, Flushing, 
  NY 11354. """,CONDITIONAL NOTICE,POSSIBLE DISLOCATION,"TRANSPORT WORKERS, LO. 100, AFL/CIO; ROGER TOUSSAINT, PRESIDENtT,
  80 West End Ave., NYC 10023","MYRA BURKE , 718 445-3500",728
"WESTCHESTER MEDICAL CENTER
  WHITE PLAINS PAVILION
  305 NORTH STREET
  WHITE PLAINS, NY 10605
  County: WESTCHESTER | SSA Name: WESTCH/PTNM | Region: HUDSON VALLEY",MEDICAL FACILITY,,525,525,,"11/13/2003 -Those employees whose active service is no longer 
  needed after the closing of the facility will be placed on administrative leave 
  until their permanent separation from employment on Novembber 13, 2003.",10/10/2003,ECONOMIC,PLANT CLOSING,CLOSING,SEIU 1199,"JOSEPH O'CONNEL, DIR. HR, 914 681-4507",721
,,,,,,,,,,,,,720
"SONOCO PRODUCTS COMPANY
  6 MORRILL PLACE
  FULTON, NY 13069
  OSWEGO CO. | SSA Name: OSWEGO | Region: CENTRAL REGION",PACKAGING,,110,"110 - 90 hourly and 20 salried employees
  (10 additional employees who are temporarily assigned there will return to their 
  home office.)",,TO BE DETERMINED,TO BE DETERMINED,"ECONOMIC - transfer of operations to other company 
  facilities in
  Tennesee, Indiana and Ohio.",PLANT CLOSING,PLANT CLOSING,,"SHANNON C. LAWSON, HR MGR., 905 624-1705,
  1691 MATHESON BLVD., MISSISSAUGA, ON L4W 1S1",719
"LABCORP - DIANON SYSTEMS
  216 CONGERS ROAD
  NEW CITY, NY 
  County: ROCKLAND | SSA Name: ROCKLAND | Region: HUDSON VALLEY",LAB SERVICES,,200,64,,9/12/2003,12/31/2003,ECONOMIC; Labcorp recently acquired Dianon Systems,OTHER,LAYOFF,NONE,"JOHN CAMPBELL, DIR., NATIONAL EMPLOYMENT
  (no phone no. given)",718
"NEW YORK HOSPTIAL- HOME HEALTH/LONG TERM HEALTH AGENCY
  75-20 ASTORIA BLVD.
  JACKSON HEIGHTS, NY 11370
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",HOME HEALTH CARE,,112,112,,11/5/2003,11/19/2003 (HOME HEALTHCARE UNIT ONLY),"The Home Health care unit is being sold to the Visiting
  Nurse Services of NY.
  While some of the current employees may be hired by them, it is not guaranteed.
  The current clerical
  staff will be impacted more than the nursing staff.",PLANT CLOSING,SALE/ UNIT CLOSING,"SEIU, LO. 1199, Dennis Rivera, President","COSMO LACOSTA, 718 480-4025",714
"GLOBE METALLURGICAL, INC.
  3807 HIGHLAND AVENUE
  NIAGARA FALLS, NY 14305
  County: NIAGARA FALLS | SSA Name: NIAGARA | Region: WESTERN REGION",METALLURGY,,61,61,,9/21/2003,9/21/2003,"ECONOMIC- The employer states that they are seeking
  capital to be able to continue operations.",PLANT CLOSING,TEMPORARY CLOSING,"USW, LO 9436 - DANA WAHLER","DONALD J. LAURIE, DIR.H.R., 716 286-7114",713
"WESTCHESTER MEDICAL CENTER
  WHITE PLAINS PAVILION
  305 NORTH STREET
  WHITE PLAINS, NY 10605
  County: WESTCHESTER | SSA Name: WESTCH/PTNM | Region: HUDSON VALLEY",MEDICAL FACILITY,,525,525,,"11/13/2003 -Those employees whose active service is no longer 
  needed after the closing of the facility will be placed on administrative leave 
  until their permanent separation from employment on Novembber 13, 2003.",10/10/2003,ECONOMIC,PLANT CLOSING,CLOSING,SEIU 1199,"JOSEPH O'CONNEL, DIR. HR, 914 681-4507",712
"RESTAURANT ASSOCIATES
  1 NEW YORK PLAZA, 43RD FL.
  NEW YORK, NY 10004
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",FOOD SERVICE,,37,37,,11/7/2003,11/21/2003,CONTRACT EXPIRATION,OTHER,CLOSINGS,,"ANN SILVER, 212 789-7905",711
,,,,,,,,,,,,,709
"BROOKWOOD CHILD CARE
  25 WASHINGTON ST.
  BROOKLYN, NY 11201
  County: KINGS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",HUMAN SERVICES,,31,31,,8/31/2003,8/31/2003,ECONOMIC,OTHER,CLOSING,,"DR. DIANE AQUINO, EXEC. DIR., 718 596-5555",703
"LSG SKY CHEFS, INC.
  LGA 620, LAGUARDIA AIRPORT, HANGAR #5
  FLUSHING, NY 
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",CATERING,,155,155,,11/2/2003,11/13/2003,"American Airlines will be transferring their account 
  to Gate Gourmet Intl.",PLANT CLOSING,UNIT CLOSING - NEW VENDOR,YES,"BERT SHIMABUKURO, MGR. LABOR CONTRACT ADMIN., 972 793-9561",702
"HELMSLEY WINDSOR HOTEL
  100 WEST 58TH ST.
  NEW YORK, NY 10019
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",HOTEL,,92,92,,10/28/2003,11/11/2003,"ECONOMIC - the hotel is being acquired in a sale by 
  Winmar Operating Corp.
  Winmar does not intend to resume commercial hotel operations on the property.",PLANT CLOSING,SALE/ CLOSING,HOTEL AND MOTEL TRADES; CEO- PETER WARD,"MARK STENSON, CORPORATE CONTROLLER, 212 521-6653",701
"TAYLOR & FRANCIS BOOKS, INC.
  29 WEST 35TH ST.
  NEW YORK, NY 10001
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",PUBLISHER,,INA,53,,9/30/2003,N/A,ECONOMIC,OTHER <,LAYOFFS,,"LEN CORNACCHIA, VP , 212 216-7815",700
"AVI CORP. (ABBOTT VASCULAR- Formerly JOMED)
  604 QUEENSBURY AVENUE
  QUEENSBURY, NY 12804
  County: WARREN | SSA Name: SAR/WAR/WAS | Region: CAPITAL DISTRICT",MFG. OF MEDICAL SUPPLIES,,63,63,,11/30/2003,11/30/2003,ECONOMIC,PLANT CLOSING,CLOSING,,"PAM DENNIS, MGR. H.R., 847 938-3138",699
"MCI
  1 INTERNATIONAL DRIVE
  RYEBROOK, NY 10573
  County: RYEBROOK | SSA Name: WESTCH/PTNM | Region: HUDSON VALLEY",COMMUNICATIONS,,48,48,,8/29/2003,8/29/2003,ECONOMIC- Closing of the Order Entry Unit,OTHER,UNIT CLOSING,,PHYLLIS NORMAN: 914 312-6244,698
"UNIPRISE
  505 BOICES LANE
  KINGSTON, NY 12301
  County: ULSTER | SSA Name: ULSTER | Region: HUDSON VALLEY",INSURANCE,,1000,74,,10/31/2003,N/A,"ECONOMIC- Eliminating positions in the Mailroom and
  Data Capture Units",OTHER,LAYOFF,,"LYNN MATUS, EMPLOYEE RELATIONS DIR. OR
  DARYL RICHARDS, DIR. OF COMMUNICATIONS 860 702-5795",697
"AMERICAN ALLSAFE COMPANY
  99 WALES AVENUE
  TONOWANDA, NY 14150
  County: ERIE | SSA Name: ERIE | Region: WESTERN REGION",MFG. OF SURGICAL SUPPLIES,,116,116,,Beginning 11/7/2003,12/31/2003,ECONOMIC,PLANT CLOSING,CLOSING,,"BRYAN BIECHLER, GEN. MGR. , 716 807-3338",693
"GODOLPHIN RACING, INC.
  AT BELMONT RACE TRACK
  2150 HEMPSTEAD TPKE.
  ELMONT, NY 11003
  County: NASSAU | SSA Name: HEMPSTEAD | Region: LONG ISLAND",RACING,,28,28,,10/31/2003,10/31/2003,ECONOMIC,OTHER,CLOSING,,"RICHARD NUNNELLEY, SECRETARY, 859 231-3957,
  26 NASSAU BLVD., GARDEN CITY, NY 11530",691
"PHILIP MORRIS
  120 PARK AVENUE
  NEW YORK, NY 10017
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",TOBACCO PRODUCTS,,163,163,,BEGINNING 10/15/2003,6/30/2004,"ECONOMIC- RELOCATION OF HEADQUARTERS TO RICHMOND, VIRGINIA",PLANT CLOSING,RELOCATION,,"ANTHONY K. KEANE, 917 663-3178",688
"GLADDING BRAIDED PRODUCTS, INC.
  PARENT CO: WELLINGTON HOME PRODUCTS, INC.
  1 GLADDING STREET
  SOUTH OTSELIC, NY 13155
  County: CHENANGO | SSA Name: CDO | Region: SOUTHERN TIER",MFG. OF ROPE,,66,66,,9/1/2003,9/1/2003,"SALE- POSSIBLE LAYOFF/ CLOSING IN THIS UNIT DUE TO 
  SALE",PLANT CLOSING,UNIT CLOSING,---,"J. RAY DAVIS, VP ADMIN., 706 342-1916",683
"FISHERCAST, INC.
  FISHER RD., JEFF. CO. INDUSTRIAL PARK
  WATERTOWN, NY 13601
  County: JEFFERSON | SSA Name: JEFF/LEWIS | Region: CAPITAL DISTRICT",DIE CASTING,,118,118,,BEGINNING 10/6/2003,12/23/2003,ECONOMIC,PLANT CLOSING,PLANT CLOSING,IAM- LO. 1415; TOM HOLL,"NICHOLAS J. BUDUSON, GENERAL MANAGER , 315 788-8100",682
"COOPER WIRING DEVICES, INC.
  43-22 COURT ST.
  LIC, NY 11101
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",MFG. OF ELECTRICAL PRODUCTS,,71,71,,BEGINNING 9/26/2003,9/26/2003 - WITHIN 2 WEEKS THEREAFTER,"ECONOMIC -
  Permanent discontinuance of the compression and injection molding operations.",PLANT CLOSING,UNIT CLOSING,"UAW LO. 365, CHARLIE GIBBONS","MARY ANN FABIAN, VPHR 718 361-4850",680
"INTELICOAT TECHNOLOGIES
  701 AZON ROAD
  JOHNSON CITY, NY 13790
  County: BROOME | SSA Name: BROOME/TIOGA | Region: SOUTHERN TIER",COATING SOLUTIONS,,152,152,,BEGINNING 6/30/2003,10/31/2003,ECONOMIC,PLANT CLOSING,CLOSING,---,"VALERIE ALLEN, DIR.H.R., 607 798-8569",679
"ISLAND MEDICAL CENTER
  820 FRONT ST.
  HEMPSTEAD, NY 11550
  County: NASSAU | SSA Name: HEMPSTEAD | Region: LONG ISLAND",HOSPITAL,,212,212,,7/11/2003,8/30/2003,ECONOMIC,PLANT CLOSING,CLOSING,NYS Nurses Assn.	- LO. 1199,"JOHN P. BREEN, CEO, 516-560-1215",678
"MANOR OAK SKILLED NURSING FACILITY
  283 NORTH MAIN ST.
  WARSAW, NY 14569
  County: WYOMING | SSA Name: GLOW | Region: FINGER LAKES",NURSING HOME,,115,115,,7/25/2003,8/15/2003,ECONOMIC,PLANT CLOSING,CLOSING,SEIU. LO. 1199,"COLIN HART, PRES. OR MARGARET GALLUCH 716 837-3880",677
"NESTLE ICE CREAM CO.
  701 ZEREGA AVE.
  BRONX, NY 
  County: BRONX | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",FOOD MFG.,,111,APPROX. 70 (60 - 80),,9/13/2003,N/A,MERGER BETWEEN DRYER'S AND NESTLE,MASS LAYOFF,LAYOFF,"IBT, LO 584","DONNA CHILTON, HR MGR, 315 593-4526",676
"HUNTLEIGH USA CORP.
  LAGUARDIA AIRPORT
  FLUSHING, NY 
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",AIRLINE SERVICES,,221,"POSSIBLY 221, but new contractor may pick up some or all of 
  the employees",,8/18/2003,CONTRACTING ENDING 8/18/03,"CANCELLATION OF CONTRACT- Delta Airlines is cancelling 
  their contract with Huntleigh - some of the workers may be pick up by the new 
  contractor.",PLANT CLOSING (unit),CANCELLATION OF CONTRACT,,"ANGELA AMATO OR RICHARD PRICE, HR DIR. 718 565-3969",675
"DYNO NOBEL, INC.
  161 ULSTER AVENUE
  ULSTER PARK, NY 12487
  County: ULSTER | SSA Name: ULSTER | Region: HUDSON VALLEY",MFG. OF EXPLOSIVES,,251,210,,9/26/2003,APPROXIMATELY 11/1/2003,ECONOMIC,PLANT CLOSING,REDUCTION IN FORCE,None,"THOMAS J. GAFFNEY, INDUST. REL. MGR., 845 334-3227",672
"EDEN PARK HEALTH SERVICES, INC.
  22 HOLLAND AVENUE
  ALBANY, NY 12209
  County: ALBANY | SSA Name: CAPITAL DISTRICT | Region: CAPITAL DISTRICT",NURSING FACILITY,,240,240,,Beginning in July 2003,to be determined,ECONOMIC,PLANT CLOSING,CLOSING,None,"CHARLES J. MYERS, DIR. H.R., 518 436-4731",671
"MAGELLAN HEALTH SERVICES
  666 3RD AVE.
  NEW YORK, NY 10017
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",HEALTH SERVICES,,107,107,,9/24/2003,9/24/2003,ECONOMIC,PLANT CLOSING,CLOSING,NONE,"GENE PULKET, REG. H.R.DIR. 770 753-2252",670
"PLASTI-FORM
  105 JEFRYN BLVD.
  DEER PARK, NY 
  County: SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND",PLASTIC MFG.,,57,57,,7/28/2003,7/28/2003,"ECONOMIC -
  most operations to close, but the Tool Room Dept. will remain open.",PLANT CLOSING,UNIT CLOSING,INDUST. TRADE UNION,"CHARLES L. KELLY, SR. V.P., 631 951-9000",668
