Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
KIDSPEACE NATIONAL CENTERS OF NY,CAMP FOR CHILDREN,SENECA | SSA Name: FINGER LAKES | Region: FINGER LAKES,449,449,10/12/2004 Control Number: 2004-053,12/4/2004,12/17/2004,ECONOMIC - DECREASE IN CLIENT CENSUS,,CLOSING,,"JIM MILLER OR DR. LORRIE HENDERSON, PRES.",610 799-8151,988
QUEENS SURFACE CORP,TRANSPORTATION,QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY,772,NOT KNOWN AT THIS TIME,10/12/2004 Control Number: 2004-052,12/3/2004,POSSIBLY 12/3/04,"ECONOMIC- The company states that if they do not receive an adjustment in funding from the City of NY and an extension of their operating authority , they will experience a complete shut-down of this facility.",,POSSIBLE DISLOCATION,,"MYRA BURKE, CEO",718 445-3500,987
TRIBORO COACH CORP.,PUBLIC BUS TRANSPORTATION,QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY,454,NOT KNOWN AT THIS TIME,10/12/2004 Control Number: 2004-051,POSSIBLY 12/4/2004,NOT KNOWN,"ECONOMIC- The company states that if they do not receive an adjustment in funding from the City of NY and an extension of their operating authority, they will experience a complete shut-down of this facility.",,POSSIBLE DISLOCATION,"TWGNY, LO 100","JEROME COOPER, CEO Phone: 718 526-0800",,986
"COMMAND BUS COMPANY, INC.",PUBLIC BUS TRANSPORTATION,QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY,201,NOT KNOWN AT THIS TIME,10/12/2004 Control Number: 2004-050,POSSIBLY 12/4/2004,NOT KNOWN,"ECONOMIC- The company states that if they do not receive an adjustment in funding from the City of NY and an extension of their operating authority, they will experience a complete shut-down of this facility.",,POSSIBLE DISLOCATION,"ATU, LO. 1181","JEROME COOPER, CEO",718 526-0800,985
THE TRANSIT ALLIANCE,BUS LINE,QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY,APPROX. 30,NOT KNOWN AT THIS TIME,10/8/2004 Control Number: 2004-049,POSSIBLY 12/4/04,NOT KNOWN,"ECONOMIC- The company states that if they do not receive an adjustment in funding from the City of NY and an extension of their operating authority, they will experience a complete shut-down of this facility.",,POSSIBLE DISLOCATION,"TWU,ATU",JEROME COOPER,718 526-0800,984
"JAMAICA BUSES, INC.",BUS LINE,QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY,200,NOT KNOWN AT THIS TIME,10/8/2004 Control Number: 2004-048,POSSIBLY 12/4/04,NOT KNOWN,"ECONOMIC- The company states that if they do not receive an adjustment in funding from the City of NY and an extension of their operating authority, they will experience a complete shut-down of this facility.",,POSSIBLE DISLOCATION,"TWU, ATU",JEROME COOPER,718 526-0800,983
"GREEN BUS LINES, INC.",TRANSPORTATION,QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY,APPROX. 600,NOT KNOWN AT THIS TIME,10/8/2004 Control Number: 2004-047,POSSIBLY 12/4/2004,NOT KNOWN,"ECONOMIC- The company states that if they do not receive an adjustment in funding from the City of NY and an extension of their operating authority , they will experience a complete shut-down of this facility.",,POSSIBLE DISLOCATION,"TWU, ATU","JEROME COOPER, CEO",718 526-0800,981
"CITICORP CREDIT SERVICES, INC.",FINANCIAL,SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND,347,347,10/8/2004 Control Number: 2004-046,12/6/2004,1/15/2005,ECONOMIC,,CLOSING,NONE,SANDRA KIM Phone: 631 673-2656,,980
VERIZON WIRELESS- CFS SPECIAL TEAMS GROUP,COMMUNICATIONS,ROCKLAND CO./ REGION- HUSDON VALLEY,13,13,10/4/2004 Control Number: 2004-045,11/30/2004,11/30/2004,ECONOMIC,,UNIT CLOSING,NO,ANNETTE LOWTHER; Phone: 845 365-7808,,978
CONVERIUM REINSURANCE INC.,INSURANCE,NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY,---,131,10/4/2004 Control Number: 2004-044,11/30/2004,N/A,ECONOMIC,,LAYOFF,,"MARY RAUSCHER, SVP Phone: 203 965-8832",,977
"HMV USA LP
		565 FIFTH AVE.
NEW YORK, NY  10017
County:		NEW  YORK | SSA Name: NEW YORK CITY  | Region: NEW YORK CITY

Contact:		HOWARD ASTROFF, HR MGR.		Phone: 416 620-4470

Business Type: 	RETAIL MEDIA STORE

Number Affected:	60

Total Employees:		60

Layoff Date:	11/6/2004	

Closing Date:	11/6/2004	

Reason for Dislocation:	ECONOMIC

ERNUM:   4515307		

Classification: 	PLANT CLOSING","RETAIL MEDIA STORE

Number Affected:	60

Total Employees:		60

Layoff Date:	11/6/2004	

Closing Date:	11/6/2004	

Reason for Dislocation:	ECONOMIC

ERNUM:   4515307		

Classification: 	PLANT CLOSING","NEW  YORK | SSA Name: NEW YORK CITY  | Region: NEW YORK CITY

Contact:		HOWARD ASTROFF, HR MGR.		Phone: 416 620-4470

Business Type: 	RETAIL MEDIA STORE

Number Affected:	60

Total Employees:		60

Layoff Date:	11/6/2004	

Closing Date:	11/6/2004	

Reason for Dislocation:	ECONOMIC

ERNUM:   4515307		

Classification: 	PLANT CLOSING","60

Layoff Date:	11/6/2004	

Closing Date:	11/6/2004	

Reason for Dislocation:	ECONOMIC

ERNUM:   4515307		

Classification: 	PLANT CLOSING","60

Total Employees:		60

Layoff Date:	11/6/2004	

Closing Date:	11/6/2004	

Reason for Dislocation:	ECONOMIC

ERNUM:   4515307		

Classification: 	PLANT CLOSING",,"11/6/2004	

Closing Date:	11/6/2004	

Reason for Dislocation:	ECONOMIC

ERNUM:   4515307		

Classification: 	PLANT CLOSING","11/6/2004	

Reason for Dislocation:	ECONOMIC

ERNUM:   4515307		

Classification: 	PLANT CLOSING","ECONOMIC

ERNUM:   4515307		

Classification: 	PLANT CLOSING",PLANT CLOSING,"CLOSING

Company:	HMV USA LP
		565 FIFTH AVE.
NEW YORK, NY  10017
County:		NEW  YORK | SSA Name: NEW YORK CITY  | Region: NEW YORK CITY

Contact:		HOWARD ASTROFF, HR MGR.		Phone: 416 620-4470

Business Type: 	RETAIL MEDIA STORE

Number Affected:	60

Total Employees:		60

Layoff Date:	11/6/2004	

Closing Date:	11/6/2004	

Reason for Dislocation:	ECONOMIC

ERNUM:   4515307		

Classification: 	PLANT CLOSING",,"HOWARD ASTROFF, HR MGR.		Phone: 416 620-4470

Business Type: 	RETAIL MEDIA STORE

Number Affected:	60

Total Employees:		60

Layoff Date:	11/6/2004	

Closing Date:	11/6/2004	

Reason for Dislocation:	ECONOMIC

ERNUM:   4515307		

Classification: 	PLANT CLOSING",,971
"BERNSTEIN DISPLAY
		7 HARBOR DRIVE
PORT WASHINGTON, NY  11050
County:		NASSAU | SSA Name: HEMPSTEAD  | Region: LONG ISLAND

Contact:		MITCH BERNSTEIN		Phone: 516 621-7526

Business Type: 	STORE DISPLAYS

Number Affected:	94

Total Employees:		94

Layoff Date:	Beginning 12/1/2004	

Closing Date:	2/1/2005	

Reason for Dislocation:	ECONOMIC

Union:	UBC&JA, LO. 2682 - Angela Montalva,  President

Classification: 	PLANT CLOSING","STORE DISPLAYS

Number Affected:	94

Total Employees:		94

Layoff Date:	Beginning 12/1/2004	

Closing Date:	2/1/2005	

Reason for Dislocation:	ECONOMIC

Union:	UBC&JA, LO. 2682 - Angela Montalva,  President

Classification: 	PLANT CLOSING","NASSAU | SSA Name: HEMPSTEAD  | Region: LONG ISLAND

Contact:		MITCH BERNSTEIN		Phone: 516 621-7526

Business Type: 	STORE DISPLAYS

Number Affected:	94

Total Employees:		94

Layoff Date:	Beginning 12/1/2004	

Closing Date:	2/1/2005	

Reason for Dislocation:	ECONOMIC

Union:	UBC&JA, LO. 2682 - Angela Montalva,  President

Classification: 	PLANT CLOSING","94

Layoff Date:	Beginning 12/1/2004	

Closing Date:	2/1/2005	

Reason for Dislocation:	ECONOMIC

Union:	UBC&JA, LO. 2682 - Angela Montalva,  President

Classification: 	PLANT CLOSING","94

Total Employees:		94

Layoff Date:	Beginning 12/1/2004	

Closing Date:	2/1/2005	

Reason for Dislocation:	ECONOMIC

Union:	UBC&JA, LO. 2682 - Angela Montalva,  President

Classification: 	PLANT CLOSING",,"Beginning 12/1/2004	

Closing Date:	2/1/2005	

Reason for Dislocation:	ECONOMIC

Union:	UBC&JA, LO. 2682 - Angela Montalva,  President

Classification: 	PLANT CLOSING","2/1/2005	

Reason for Dislocation:	ECONOMIC

Union:	UBC&JA, LO. 2682 - Angela Montalva,  President

Classification: 	PLANT CLOSING","ECONOMIC

Union:	UBC&JA, LO. 2682 - Angela Montalva,  President

Classification: 	PLANT CLOSING",PLANT CLOSING,"CLOSING

Company:	BERNSTEIN DISPLAY
		7 HARBOR DRIVE
PORT WASHINGTON, NY  11050
County:		NASSAU | SSA Name: HEMPSTEAD  | Region: LONG ISLAND

Contact:		MITCH BERNSTEIN		Phone: 516 621-7526

Business Type: 	STORE DISPLAYS

Number Affected:	94

Total Employees:		94

Layoff Date:	Beginning 12/1/2004	

Closing Date:	2/1/2005	

Reason for Dislocation:	ECONOMIC

Union:	UBC&JA, LO. 2682 - Angela Montalva,  President

Classification: 	PLANT CLOSING","UBC&JA, LO. 2682 - Angela Montalva,  President

Classification: 	PLANT CLOSING","MITCH BERNSTEIN		Phone: 516 621-7526

Business Type: 	STORE DISPLAYS

Number Affected:	94

Total Employees:		94

Layoff Date:	Beginning 12/1/2004	

Closing Date:	2/1/2005	

Reason for Dislocation:	ECONOMIC

Union:	UBC&JA, LO. 2682 - Angela Montalva,  President

Classification: 	PLANT CLOSING",,968
JP MORGAN CHASE,FINANCIAL,NASSAU | SSA Name: OYSTER BAY | Region: LONG ISLAND,367,367,9/21/2004 Control Number: 2004-041,BEGINNING 11/18/2004,APPROX. 10/31/2005,ECONOMIC - CONSOLIDATION,,CLOSING OF THE CREDIT CARD DIVISION,,"WILLIAM SCHNEIDER, HR; Phone: 302 282-3806",,966
ATKINS NUTRITIONALS,NUTRITIONAL SUPPLEMENTS,SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND,--,50,9/16/2004 Control Number: 2004-040,BEGINNING 9/8/2004,11/30/2004,ECONOMIC,,LAYOFF,,BERNADETTE ELKIND Phone: 631 738-7370,,963
"TARTAN TEXTILE SERVICES, INC.
111 CHARLES ST.
UTICA, NY 13504
County:  ONEIDA | SSA Name: HMO | Region: CENTRAL REGION",PROVIDING LINEN SERVICES TO HOSPITALS AND OTHER INSTITUTIONS,,144,144,9/14/2004     Control Number: 2004-039,BEGINNING 11/6/2004,AFTER 11/6/2004,ECONOMIC,PLANT CLOSING,CLOSING,"IUOE, UNITE, TRUCK DRIVERS LOCAL","MIKE VICCHAIRELLI, SR.V.P.  Phone: 856 356-8229",,962
INSTITUTE FOR CANCER PREVENTION,HEALTH SERVICES,WESTCHESTER | SSA Name: WESTCH/PTNM | Region: HUDSON VALLEY,88,88,9/8/2004 Control Number: 2004-037; 2004-038,9/10/2004,9/10/2004,A plan to merge with other agencies did not materialize.,PLANT CLOSING,2 CLOSINGS,,"NADINE LAUZON, DIR. H.R.; 917 789-7296",,960
CITIZENS BANK,BANK,MONROE | SSA Name: MONROE | Region: FINGER LAKES,415,350,9/8/2004 Control Number: 2004-036,11/30/2004,12/31/2004,LAYOFF DUE TO THE ACQUISITION OF CHARTER ONE FINANCIAL.,MASS LAYOFF,LAYOFF / ACQUISITION,,PAMELA CRAWLEY; 267 671-1035 OR RICHARD KULBIEDA 671-1035,,959
"ASTRA TRANSPORTATION CORP.
		70 PALISADE AVENUE
YONKERS, NY  10701
County:		WESTCHESTER | SSA Name: YONKERS  | Region: HUDSON VALLEY

Contact:		EUGENE BONFIGLIO				Phone: 914 965-9006

Business Type: 	TRANSPORTATION

Number Affected:	0

Total Employees:		---

Layoff Date:	UNKNOWN	

Closing Date:	UNKNOWN	

Reason for Dislocation:	EXPIRATION OF CONTRACT - The co. will have to layoff as many as 104 if their contracts with Westchester Co. are not renewed.

ERNUM: 5462581			Union:	TWU

Classification: 	OTHER","TRANSPORTATION

Number Affected:	0

Total Employees:		---

Layoff Date:	UNKNOWN	

Closing Date:	UNKNOWN	

Reason for Dislocation:	EXPIRATION OF CONTRACT - The co. will have to layoff as many as 104 if their contracts with Westchester Co. are not renewed.

ERNUM: 5462581			Union:	TWU

Classification: 	OTHER","WESTCHESTER | SSA Name: YONKERS  | Region: HUDSON VALLEY

Contact:		EUGENE BONFIGLIO				Phone: 914 965-9006

Business Type: 	TRANSPORTATION

Number Affected:	0

Total Employees:		---

Layoff Date:	UNKNOWN	

Closing Date:	UNKNOWN	

Reason for Dislocation:	EXPIRATION OF CONTRACT - The co. will have to layoff as many as 104 if their contracts with Westchester Co. are not renewed.

ERNUM: 5462581			Union:	TWU

Classification: 	OTHER","---

Layoff Date:	UNKNOWN	

Closing Date:	UNKNOWN	

Reason for Dislocation:	EXPIRATION OF CONTRACT - The co. will have to layoff as many as 104 if their contracts with Westchester Co. are not renewed.

ERNUM: 5462581			Union:	TWU

Classification: 	OTHER","0

Total Employees:		---

Layoff Date:	UNKNOWN	

Closing Date:	UNKNOWN	

Reason for Dislocation:	EXPIRATION OF CONTRACT - The co. will have to layoff as many as 104 if their contracts with Westchester Co. are not renewed.

ERNUM: 5462581			Union:	TWU

Classification: 	OTHER",,"UNKNOWN	

Closing Date:	UNKNOWN	

Reason for Dislocation:	EXPIRATION OF CONTRACT - The co. will have to layoff as many as 104 if their contracts with Westchester Co. are not renewed.

ERNUM: 5462581			Union:	TWU

Classification: 	OTHER","UNKNOWN	

Reason for Dislocation:	EXPIRATION OF CONTRACT - The co. will have to layoff as many as 104 if their contracts with Westchester Co. are not renewed.

ERNUM: 5462581			Union:	TWU

Classification: 	OTHER","EXPIRATION OF CONTRACT - The co. will have to layoff as many as 104 if their contracts with Westchester Co. are not renewed.

ERNUM: 5462581			Union:	TWU

Classification: 	OTHER",OTHER,"CONDITIONAL NOTICE	

Company:	ASTRA TRANSPORTATION CORP.
		70 PALISADE AVENUE
YONKERS, NY  10701
County:		WESTCHESTER | SSA Name: YONKERS  | Region: HUDSON VALLEY

Contact:		EUGENE BONFIGLIO				Phone: 914 965-9006

Business Type: 	TRANSPORTATION

Number Affected:	0

Total Employees:		---

Layoff Date:	UNKNOWN	

Closing Date:	UNKNOWN	

Reason for Dislocation:	EXPIRATION OF CONTRACT - The co. will have to layoff as many as 104 if their contracts with Westchester Co. are not renewed.

ERNUM: 5462581			Union:	TWU

Classification: 	OTHER",,"EUGENE BONFIGLIO				Phone: 914 965-9006

Business Type: 	TRANSPORTATION

Number Affected:	0

Total Employees:		---

Layoff Date:	UNKNOWN	

Closing Date:	UNKNOWN	

Reason for Dislocation:	EXPIRATION OF CONTRACT - The co. will have to layoff as many as 104 if their contracts with Westchester Co. are not renewed.

ERNUM: 5462581			Union:	TWU

Classification: 	OTHER","914 965-9006

Business Type: 	TRANSPORTATION

Number Affected:	0

Total Employees:		---

Layoff Date:	UNKNOWN	

Closing Date:	UNKNOWN	

Reason for Dislocation:	EXPIRATION OF CONTRACT - The co. will have to layoff as many as 104 if their contracts with Westchester Co. are not renewed.

ERNUM: 5462581			Union:	TWU

Classification: 	OTHER",958
