Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
"TLC Health Network/Lake Shore Health Care Center Long Term Care Unit 845 Routes 5 & 20 (Main Road) Irving, NY14081",Health Center - Long Term Care Unit,Chautauqua | WIB Name: CHAUTAUQUA | Region: Western Region,70,70,1/6/2015,to occur between 11/6/2015 and 11/19/2015,11/19/2015,Sale of the facility,Plant Unit Closing,Plant Unit Closing,1199 SEIUUnited Healthcare Workers East,Shannon Bobseine,(716) 951-7037,5368
"American Express Enterprise Growth Business Unit 250 Hudson Street New York, NY33701",Credit services,New York | WIB Name: NEW YORK CITY | Region: New York City,45,45,11/20/2015,to occur between 2/19/2016 and 5/13/2016,12/31/2015,Reorganizing,Plant Closing,Plant Closing,No union representation,"Victor Ayala, Manager of Labor & Employee Relation",(212) 640-1130,5366
"NBTY, Inc. and NBTY Manufacturing New York, Inc. 5100 & 7000 New Horizons Blvd Amityville, NY11701",Vitamins and Food Supplements Manufacturer,Suffolk | WIB Name: SUFFOLK | Region: Long Island,214,214,5/1/2015Amended:11/20/2015,To occur between 7/31/2015 and 12/18/2015 or 14 days thereafter,12/18/2015 or 14 days thereafter,"Transfer of business to Nellson Nutraceutical, LLC in Irwindale, CA",Plant Closing,Plant Closing,There are no bumping rights and the affected employees are not represented by any union.,"Bill Ross, Senior HR Director – Supply Chain",(631) 200-6154,5365
"PCX Aerostructures, LLC 55, 60 & 72 Milbar Boulevard Farmingdale, NY11735",Machine shop,Nassau | WIB Name: OYSTER BAY | Region: Long Island,12,12,11/19/2015,To occur between 2/19/2016 and 5/13/2016,6/30/2016,"Relocation of manufacturing work to our operations in Ronkonkoma, New York; Mansfield, Texas; and Newington, CT",Plant Closing,Plant Closing,"Amalgamated Industrial Toy & Novelty Workers of America, Local 223, AFL-CIO","Craig Sullivan, Vice President-Human Resources",(516) 509-7679,5364
"Catholic Charities Neighborhood Services, Inc. (Monica House) 161-01 89th Avenue Jamaica, NY11432",Monica House is a Community Residence/Single Room Occupancy (CR/SRO) transitional living residence.,Queens | WIB Name: NEW YORK CITY | Region: New York City,26,26,8/18/2015  Amended 11/16/2015,12/31/2015,12/31/2015,Building  deterioration and ongoing operating costs for repairs,Plant Closing,Plant Closing,Local 338 RWDSU/UFCW,"Jacqueline Gibbons, Director of Human Resources",(718) 722-6181,5363
"NRG Energy, Inc. Dunkirk Power Plant 106 Point Drive North Dunkirk, NY14048",Power Plant,Chautauqua | WIB Name: CHAUTAUQUA | Region: Western Region,64,64,11/18/2015,to occur between 2/22/2016 and 9/23/2016,9/23/2016,Economic,Plant Closing,Plant Closing,International Brotherhood of Electrical Workers - Local Union 97,"Thomas Thomas, Human Resources Manager",(315) 349-2369,5362
"Eastman Kodak Eastman Business Park 1999 Lake Avenue Rochester, NY",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,11/16/2015,2/13/2016,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist.,"Kim M. Chesher-Nguyen, Supervisor, US Employee Services",(585) 781-1758,5360
"Sodexo, Inc. Sodexo Dining Services at Catholic Foreign Mission 55 Ryder Road Maryknoll, NY10545",Food Service,Westchester | WIB Name: WESTCHESTER | Region: Mid-Hudson Region,38,38,11/17/2015,1/15/2016,1/15/2016,Loss of contract,Plant Closing,Plant Closing,Non-Union,"Margaret Ellicott-Sheehan, General Manager",(914) 941-7636Ext 2480,5359
"New York Life Insurance  Company  Information Technology and  Finance Operations One Rockwood Road Sleepy Hollow, NY",Life Insurance,Westchester | WIB Name: WESTCHESTER| Region: Mid-Hudson  Region,-----,23,11/10/2015,To occur  between 3/4/2016 and 9/23/2016,-----,Relocation of some functions of the Information Technology and finance operations,Plant Layoff,Plant  Layoff,Bumping arrangements are not available for affected employees.,"Donald P.  Vandegrift, Jr.",(212) 576-6598,5358
"New York Life Insurance Company – Information Technology and Finance Operations 51 Madison Avenue New York, NY10010",Life Insurance,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,36,11/10/2015,to occur between 2/5/2016 and 8/30/2016,-----,Relocate some of the company’s Information Technology Operations and finance operations,Plant Layoff,Plant Layoff,There is no union representation at this location. Bumping arrangements are not available for affected employees.,Donald P. Vandegrift Jr.,(212) 576-6598,5357
"IAC Acoustics 1776Eastchester Road, Suite 210 Bronx, NY10462",Noise Control products and systems,Bronx | WIB Name: NEW YORK CITY | Region: New York City,26,26,11/17/2015,11/17/2015 - for 21 affected workers (5 remaining employees to be releasedwithin the next 14 business days),11/17/2015,Economic,Plant Closing,Plant Closing,No bumping rights implicated.,Nadia Blazevich,(402) 323-7276,5356
"Coyne International Enterprises Corp. 140 Cortland Avenue Syracuse, NY13202",Commercial Laundry Services,Onondaga | WIB Name: ONONDAGA | Region: Central Region County:Tioga | WIB Name: BROOME/TIOGA | Region: Southern Region County:Albany | WIB Name: CAPITAL DISTRICT | Region: Capital Region County:Erie | WIB Name: ERIE | Region: Western Region,150 - in all 4 locations,150 - in all 4 locations,8/11/2015 Amended 11/12/2015,11/30/2015,11/30/2015,Chapter 11 - Possible Sale of Facility,Plant Closing,Plant Closing,"Local 2607, Teamsters Local 294, Chauffeurs, Teamster, Warehousemen and Helpers Local Union #529, Teamsters Local 317","Alexander Pobedinsky, Vice President, General Counsel & Corporate Secretary",(315) 475-1626,5355
"Catholic Health Services Home Support Services (CHS) 15 Power Drive Hauppauge, NY11788",Home Support Services,Suffolk | WIB Name: SUFFOLK | Region: Long Island,38,38,2/6/2015 Amended 11/9/2015,to occur between 11/23/2015 and 12/7/2015,12/7/2015,Sale of CHS Home Support Services to Continued Care of L.I. Inc.,Plant Closing,Plant Closing,None of the affected employees are represented by a union or will have “bumping” rights to other positions.,"Mary Ellen  Polit, Chief Administrative Officer",(631) 465-6457,5353
"EmblemHealth Services Company LLC 441 Ninth Avenue New York, NY10001",Front End Paper Claims Processing,New York | WIB Name: NEW YORK CITY | Region: New York City,101,101,11/9/2015,2/9/2016 or within 14 days thereafter,2/9/2016,Economic,Plant Unit Closing,Plant Unit Closing,Local 153 Office & Professional Employees International Union,"Daniel Byrne, Vice President Employee and Labor Relations",(646) 447-0495,5352
"Health Republic Insurance of  New York 30 Broad Street New York, NY 10004",Insurance Provider,New York | WIB Name: NEW YORK CITY| Region: New York City,147,147,10/2/2015Amended 11/6/2015,to occur between 11/20/2015 and 12/31/2015,12/31/2015,Economic,PlantClosing,Plant  Closing,There are no bumping rights and the affected employees are not represented by a union.,"Christine J.  Testaverde, Acting General Counsel",(646) 760-0620,5351
"Getinge Sourcing LLC 1777 East Henrietta Road Rochester, NY14623",Medical Technology,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,52,6/4/2015Amended 11/6/2015,Postponed to occur on 1/1/2016,-----,Economic,Plant Closing,Plant Closing,"International Association of Machinists and Aerospace Workers (AFL-CIO) & International Brotherhood of Boilermakers, Iron, Shipbuilders, Blacksmiths, Forgers, and Helpers","Bradley P. Tomaszewski, Director of Human Resources",(585) 272-5057,5350
"Eastman Kodak  Eastman Business Park 343 State Street Rochester, NY",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,6,11/5/2015,2/2/2016,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist.,"Kim M. Chesher-Nguyen, Supervisor, US Employee Services",(585) 781-1758,5349
"Texas de Brazil Corporation Texas de Brazil Churrascaria 1011 3rd Avenue New York, NY10065",Restaurant,New York | WIB Name: NEW YORK CITY | Region: New York City,34,34,11/4/2015,2/3/2016,2/3/2016,Economic,Plant Closing,Plant Closing,No bumping rights exist.,"Danielle Goodgion, HR Director",(214) 615-2184,5348
"Ideel, Inc. 620 8th Avenue, 45th Floor New York, NY10018",Members only online shopping site,New York | WIB Name: NEW YORK CITY | Region: New York City,63,63,11/3/2015,To occur between 2/1/2016 and 3/31/2016,2/1/2016,Relocating operations to Chicago,Plant Closing,Plant Closing,The affected employees are not represented by a union.Bumping rights do not exist.,"Elaine Danigeles, Senior Resources Manager",(312) 459-5407,5347
"Jewish Board of Family and Children Services Copiague Mental Health Clinic & PROS Possibilities 445 Oak Street Copiague, NY",Mental Health Clinic,Suffolk | WIB Name: SUFFOLK | Region: Long Island,109,109,10/22/2015,on or after 1/31/2016,on or after 1/31/2016,Surrendering it's OMH Clinic License,Plant Closing,Plant Closing,"District Council 1707, CSEAU, AFSCME, AFL-CIO and Local 215","RandolfPalmer, Director of Labor Relations",(212) 632-4523,5345
"Apex Tool Group, LLC 45 Cleveland Street Cortland, NY13045",Forgings and Galvanizing,Cortland | WIB Name: CAYUGA/CORT | Region: Central Region,89,89,5/18/2015Amended 10/29/2015,"To occur in phases between 8/17/2015 and 12/31/2015 (with three final layoffs postponed to occuron 2/4/2016,  2/11/2016 and 7/8/2016)",12/31/2015,Economic,Plant Closing,Plant Closing,"United Automobile, Aerospace, and Agricultural Implement Workers of American and its  affiliate U.A.W. Local #1774, U.A.W. Region 9","Kathie O'Mara, Associate Director, Human Resources",(607) 756-2821Ext 202,5344
"Eastman Kodak Eastman Business Park 1999 Lake Avenue Rochester, NY",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,2 (1 worker employed off site),10/29/2015,1/26/2016,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist.,"Kim M. Chesher-Nguyen, Supervisor, US Employee Services",(585) 781-1758,5342
"Sentry Safe, Inc. 900 Linden Avenue Rochester, NY14650",Metal Products Manufacturing,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,301,301,10/29/2015,to occur in stages between 1/29/2016 and 6/30/2016,6/30/2016,Relocation of operations,Plant Closing,Plant Closing,Bumping or transfer rights do not exist in the situation and affected employees are not represented by a labor union.,"Clint Pies, Vice President, Human Resources",(414) 766-6206,5341
"Binder & Binder 34 Industrial Street Bronx, NY10461",Social Security Disability Advocates,Bronx | WIB Name: NEW YORK CITY | Region: New York City,109,109,10/29/2015,1/31/2016,1/31/2016,Economic,Plant Closing,Plant Closing,"United Services Workers Union, IUJAT, Local 455","Mario Davila,  Direcor of Operations",(888) 851-5467,5340
"General Electric Company 381 Broadway Fort Edward, NY12838",Energy Management,Washington | WIB Name: Saratoga-Warren-Washington | Region: Capital Region,127,127,10/26/2015,1/23/2016,1/23/2016,Relocation of Operations,Plant Closing,Plant Closing,"Local 332 United Electrical, Radio and Machine Workers","Louis Kowalski, Human Resources Manager",(518) 746-5617,5339
"AT & T 400 Hamilton Avenue White Plains, NY10601","Cable Television, cellphone, internet local and long distance phone services",Westchester | WIB Name: WESTCHESTER | Region: Mid-Hudson Region,-----,68,9/14/2015Amended 10/22/2015,12/21/2015,-----,Economic,Plant Layoff,Plant Layoff,CWA Local 1153,"Marissa J. Shorenstein, President",(212) 803-2616,5338
"Oneida Savings Bank 182 Main Street Oneida, NY13421",Bank - Back office,Oneida | WIB Name: HMO | Region: Mohawk Valley Region,47,47,5/12/2015Amended 10/19/2015,to occur between 12/11/2015 and 12/24/2015,------,Merger,Plant Layoff,Plant Layoff,Employees are not represented by a union and there are no bumping rights for affected  employees.,Kelly Shaw,(315) 366-3708,5337
,"Cable Television, cellphone, internet local and long distance phone services",Westchester | WIB Name: WESTCHESTER | Region: Mid-Hudson Region,-----,42,9/14/2015                    Amended 10/22/2015,12/21/2015,-----,Economic,Plant Layoff,Plant Layoff,CWA Local 1153,"Marissa J. Shorenstein, President",(212) 803-2616,5336
"The Bon Ton Stores, Inc. @ Destiny USA 9570 Destiny USA Drive Syracuse, NY13204",Retail store,Onondaga | WIB Name: ONONDAGA | Region: Central Region,45,45,10/12/2015,2/28/2016,2/28/2016,Economic,Plant Closing,,There will be no bumping rights for any affected employee.,Denise Domian,(414) 212-6789,5335
"Barclays Capital Inc. Wealth and Investment Management Division 745 Seventh Avenue New York, NY10019",Financial,New York | WIB Name: NEW YORK CITY | Region: New York City,268,268,10/8/2015,to occur between 12/28/2015 and 3/10/2016,3/10/2016,Economic,Plant Unit Closing,Plant Unit Closing,No bumping rights exist and none of the employees are represented by a union.,Tarik Lacene,(212) 412-3314,5334
"Jewish Board of Family and Children Services Hempstead Mental Health Clinic & Nassau County Care Coordination Programs 175 Fulton Street Hempstead, NY",Mental Health Clinic,Nassau | WIB Name: HEMPSTEAD | Region: Long Island,72,72,10/16/2015,on or after 12/31/2015,on or after 12/31/2015,Surrendering it's OMH Clinic License,Plant Closing,Plant Closing,"District Council 1707, CSEAU, AFSCME, AFL-CIO and Local 215","RandolfPalmer, Director of Labor Relations",(212) 632-4523,5333
"Hillstone Restaurant Group, Inc. d/b/a Houston's Restaurant Unit 1161-B Roosevelt Field Mall Garden City, NY11530",Restaurant,Nassau | WIB Name: HEMPSTEAD | Region: Long Island,71,71,10/19/2015,12/30/2015,12/30/2015,Lease Expiration,Plant Closing,Plant Closing,Non-union,W. Glenn Viers,(602) 553-2111,5332
"Drew's Food Corporation 4511-8th Avenue Brooklyn, NY11220",Grocery Store,Kings | WIB Name: NEW YORK CITY | Region: New York City,51,51,10/16/2015,1/13/2016,1/13/2016,Lease expired,Plant Closing,Plant Closing,"UFCW Local 342, RWDSU Local 338","Angela Ortiz, Supervisor",(718) 438-8847,5331
"Eastman Kodak  Eastman Business Park 343 State Street Rochester, NY",Photographic equipment and supplies,Monroe  | WIB Name: MONROE| Region: Finger Lakes Region,-----,1,10/14/2015,1/11/2016,-----,Economic,Plant Layoff,Plant  Layoff,Bumping rights  do not exist.,"Kim M. Chesher-Nguyen, Supervisor, US Employee Services",(585) 781-1758,5329
"Hunter Ambulette-Ambulance, Inc. 163-15 46th Avenue Flushing, NY11358",Emergency Response Services,Queens | WIB Name: NEW YORK CITY| Region: New York City,113,113,10/5/2015,1/3/2016,1/3/2016,Loss of contract with New York Presbyterian Hospital,Plant Closing,Plant  Closing,"Amalgamated Industrial Toy & Novelty Workers of America, Local  223, AFL-CIO","Eric Chaikin,  Esq.",(212) 688-0888,5327
"Eastman Kodak  Eastman Business Park 343 State Street Rochester, NY",Photographic equipment and supplies,Monroe  | WIB Name: MONROE| Region: Finger Lakes Region,-----,1,10/12/2015,1/9/2016,-----,Economic,Plant Layoff,Plant  Layoff,Bumping rights  do not exist.,"Kim M. Chesher-Nguyen, Supervisor, US Employee Services",(585) 781-1758,5326
"Circor Flow Technologies  Spence Engineering Company 150 Coldenham Road Walden, NY12586",Manufacturer of steam specialty & fluid control devices,Orange | WIB Name: ORANGE | Region: Mid-Hudson Region,91,52,8/19/2013Amended:10/14/2015,Layoffs were extended for 2 remaining workers to occur on 10/31/2015,-----,Economic,Plant Layoff,Plant Layoff,International Association of Machinist and Aerospace Workers Union (IAM),Amanda Alves,(845) 778-6232,5325
"Union Square Café Union Square Hospitality Group 21 E.16th Street New York, NY10003",Restaurant,New York | WIB Name: NEW YORK CITY | Region: New York City,115,115,10/9/2015,12/12/2015,12/12/2015,Restaurant will be relocated and reopen in the spring of 2016,Temporary Plant Closing,Temporary Plant Closing,None of the affected employees have bumping rights.,"AngieBuonpane, Director of Human Resources",(646) 747-7209,5324
"Milleridge Village 585 North Broadway Jericho, NY 11753",Specialty Shops,Nassau | WIB Name: OYSTER BAY| Region: Long Island,27,27,9/30/2015,12/31/2015,12/31/2015,Economic,Plant Closing,Plant  Closing,There are no  bumping rights and the affected employees are not represented by a union.,"Bruce Davis,  Director of Operations",(516) 931-2201,5323
"CMG YOTEL NYC LLC - CGM YOTEL East & West Restaurant 570 10th Avenue New York, NY10036",Restaurant,New York | WIB Name: NEW YORK CITY | Region: New York City,71,71,10/5/2015,1/3/2016,1/3/2016,Termination of restaurant agreement,Plant Closing,Plant Closing,None of the affected employees have bumping rights.,"Jennifer Durjpal, Restaurant Bookkeeper",(646) 449-7790,5320
"Health Republic Insurance of New York 30 Broad Street New York, NY10004",Insurance Provider,New York | WIB Name: NEW YORK CITY | Region: New York City,147,147,10/2/2015,12/31/2015,12/31/2015,Economic,PlantClosing,Plant Closing,There are no bumping rights and the affected employees are not represented by a union.,"Christine J.  Testaverde, Acting General Counsel",(646) 760-0620,5319
"Morrison Management Specialists, Inc. @ Nostrand Nursing and Rehabilitation Center 270 Nostrand Avenue Brooklyn, NY11205",Dining and Housekeeping Services,Kings | WIB Name: NEW YORK CITY | Region: New York City,41,41,8/31/2015Amended 9/30/2015,11/20/2015,11/20/2015,Loss of Contract for Services,Plant Closing,Plant Closing,SEIU Local 1199,"Eileen Juaire, HR Generalist",(508) 479-3041,5317
"Eastman Kodak Eastman Business Park 343 State Street Rochester, NY",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,10/1/2015,12/31/2015,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist.,"Kim M. Chesher-Nguyen, Supervisor, US Employee Services",(585) 781-1758,5316
"Sterling National Bank 500 7th Avenue New York, NY10018",Financial Institution,New York | WIB Name: NEW YORK CITY | Region: New York City Westchester | WIB Name: WESTCH/PTNM | Region: Mid-Hudson Region Rockland | WIB Name: ROCKLAND | Region: Mid-Hudson Region,-----,2,10/2/2015,to occur during a 14-day period commencing on 12/30/2015,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights.,"Jean Strella, M.S., CBP, CCP, SPRH, Senior Vice President, Chief Human Capital Officer",(845) 369-8086,5315
"Corizon Health Anna M. Kross Center 18-18 Hazen Street East Elmhurst, NY11370",Health Care Provider,Queens | WIB Name: NEW YORK CITY | Region: New York City,1147 (for all sites listed),246,9/28/2015,12/31/2015,12/31/2015,Loss of contract,PlantClosing,Plant Closing,No bumping rights exist.,"Jessica Lee, Vice President of Operations",(347) 774-8000,5314
"NBTY, Inc. and NBTY Manufacturing New York, Inc. 5100 & 7000 New Horizons Blvd Amityville, NY11701",Vitamins and Food Supplements Manufacturer,Suffolk | WIB Name: SUFFOLK | Region: Long Island,193,193,5/1/2015Amended:10/2/2015,To occur between 7/31/2015 and 11/20/2015 or 14 days thereafter,11/20/2015 or 14 days thereafter,"Transfer of business to Nellson Nutraceutical, LLC in Irwindale, CA",Plant Closing,Plant Closing,There are no bumping rights and the affected employees are not represented by any union.,"Bill Ross, Senior HR Director – Supply Chain",(631) 200-6154,5313
