Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,FEIN NUM,Event Number,Case_ID
"Tokyo Mama, Inc. dba SAKE BAR DECIBEL 240 E. 9th Street New York, NY 10003",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,13,3/16/2020Amendment: 10/13/2020,Separations for 13 employees occurred on 10/13/2020.,----,Unforeseeable business circumstances prompted by COVID-19.,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Sakura Yagi, COO",(212) 228-3030,-----,2019-0743,9461
"Shinko Foods, Inc., dba Shabu-Tatsu Restaurant 216 East 10th Street New York, NY 10003",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,1,3/16/2020Amendment: 10/13/2020,Separation for 1 (one) employee occurred on 10/13/2020.,-----,Unforeseeable business circumstances prompted by COVID-19.,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Sakura Yagi, COO",(212) 228-3030,13-3637210,2019-0789,9460
"Sobaya Restaurant, Inc. dba Rai Rai Ken 218 East 10th Street New York, NY 10003",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,11,3/20/2020Amendment: 10/13/2020,Separations for 11 employees occurred on 10/13/2020.,----,Unforeseeable business circumstances prompted by COVID-19.,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Sakura Yagi, COO",(212) 228-3030,13-3895542,2019-0761,9459
"Sobaya Restaurant, Inc. dba Sobaya 229 E. 9th Street New York, NY 10003",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,3,3/19/2020Amendment: 10/13/2020,Separations for 3 (three) employees occurred on 10/13/2020.,----,Unforeseeable business circumstances prompted by COVID-19.,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Sakura Yagi, COO",(212) 228-3030,13-3895542,2019-0760,9458
"Tokyo Mama, Inc. dba Cha-an 230 East 9th Street, 2nd Floor New York, NY 10003",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,14,3/18/2020Amendment: 10/13/2020,Separations for 14 employees occurred on 10/13/2020.,-----,Unforeseeable business circumstances prompted by COVID-19.,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Sakura Yagi, COO",(212) 228-3030,13-3484667,2019-0742,9457
"The Sake Club, Inc. dba Kiosku 211 E 43rd Street, 1st Floor New York, NY 10017",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,1,3/20/2020Amendment: 10/13/2020,Separation for one (1) employee occurred on 10/13/2020.,-----,Unforeseeable business circumstances prompted by COVID-19.,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Sakura Yagi, COO",(212) 228-3030,13-3862302,2019-0766,9456
"Sobaya Restaurant Inc., dba HI-COLLAR 214 East 10th StreetNew York, NY 10003",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,9,3/20/2020Amendment: 10/13/2020,"Permanent plant closing effective 9/1/2020; restaurant relocated to 231 E. 9th St., NYC; 9 employees permanently separated effective 10/13/2020.",9/1/2020,Unforeseeable business circumstances prompted by COVID-19.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Sakura Yagi, COO",(212) 228-3030,-----,2019-0885,9455
"Shinko Foods, Inc. dba Curry-Ya 214 East 10th Street New York, NY 10003",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,4,3/20/2020Amendment: 10/13/2020,"Permanent plant closing effective 9/1/2020; restaurant relocated to 218 E. 10th St., NYC; 4 employees permanently separated effective 10/13/2020.",9/1/2020,Unforeseeable business circumstances prompted by COVID-19.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Sakura Yagi, COO",(212) 228-3030,13-3637210,2019-0763,9454
"Burger & Lobster Flatiron LLC 39 West 19th St. New York, NY 10011",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,44,12/14/2020,The restaurant temporarily closed effective 12/14/2020 impacting 44 employees.,12/14/2020,Unforeseeable business circumstances prompted by COVID-19.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Lolita Jones, Director of Human Resources",(917) 930-7336,46-3309945,2020-0405,9453
"Funburger Corporation dba Curry-Ya 1467 Amsterdam Ave New York, NY 10027",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,1,3/25/2020Amendment: 10/13/2020,Permanent plant closing effective 7/1/2020; 1 employee permanently separated effective 10/13/2020.,7/1/2020,Unforeseeable business circumstances prompted by COVID-19.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Sakura Yagi, COO",(212) 228-3030,46-5522046,2019-1442,9452
"Lucky Riceburger Ltd. dba Curry-Ya 746 9th Ave. New York, NY 10019",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,9,3/25/2020Amendment: 10/13/2020,Permanent plant closing effective 8/9/2020; 9 employees permanently separated effective 10/13/2020.,8/9/2020,Unforeseeable business circumstances prompted by COVID-19.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Sakura Yagi, COO",(212) 228-3030,81-2694104,2019-1176,9451
"Curry Ya 45, Inc. dba Curry-Ya 844 Second Ave. New York, NY 10017",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,2,3/20/2020Amendment: 10/13/2020,Permanent plant closing effective 7/1/2020; 2 employees permanently separated effective 10/13/2020.,7/1/2020,Unforeseeable business circumstances prompted by COVID-19.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Sakura Yahi, COO",(212) 228-3030,82-2016921,2019-0762,9450
"Quick Pickle, LLC aka Jacob's Pickles TOM 55 Water Street, Unit #K6 Brooklyn, NY 11201",Restaurant,Kings | WDB Name: NEW YORK CITY | Region: New York City,10,10,3/25/2020Amendment: 12/14/2020,"A total of 4 employees that were previously temporarily separated starting on 3/16/2020 have been permanently separated effective 12/14/2020 due to the closing of the restaurant. At this time, the business is unsure whether the closing will be temporary or permanent.",3/15/2020,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Closing,Temporary Plant Closing,The employees are not represented by a union.,"Josiph Suero, Director of Human Resources",(212) 671-2711,83-3592863,2019-0755,9449
"Sixty Hospitality, LLC dba Avra Madison Estiatorio 14 East 60th Street New York, NY 10022",Restaurant,New York |WDB Name: NEW YORK CITY | Region: New York City,212,212,3/23/2020Amendment: 12/15/2020,A total of 42 employees who were temporarily separated starting on 3/23/2020 and subsequently recalled have again been temporarily separated on 12/14/2020.,-----,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Layoff,Temporary Plant Layoff,The employees are not represented by a union.,"Al Diblasio, Chief Financial Officer",(212) 365-5300,47-4524738,2019-0719,9448
"The Pickle People, LLC aka Maison Pickle 2315 Broadway New York, NY 10024",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,67,67,3/25/2020Amendment: 12/14/2020,A total of 18 employees that were previously temporarily separated starting on 3/16/2020 have been permanently separated effective 12/14/2020.,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,Plant Layoff,Plant Layoff,The employees are not represented by a union,"Josiph Suero, Director of Human Resources",(212) 671-2711,47-5162585,2019-0756,9447
"New York Beer Co., LLC dba Jacob's Pickles 509 Amsterdam Avenue New York, NY 10024",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,82,3/25/2020Amendment: 12/14/2020,An additional 16 employees have been permanently separated effective 12/14/2020.,-----,Unforeseeable business circumstances prompted by COVID-19.,Plant Layoff,Plant Layoff,The employees are not represented by a union,"Josiph Suero, Director of Human Resources",(212) 671-2711,-----,2019-0751,9446
"Tiki Chicki, LLC dba Tiki Chick 517 Amsterdam Avenue New York, NY 10024",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,23,3/25/2020Amendment: 12/14/2020,A total of 4 employees that were previously temporarily separated starting on 3/16/2020 have been permanently separated effective 12/14/2020.,----,Unforeseeable business circumstances prompted by COVID-19.,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Josiph Suero, Director of Human Resources",(212) 671-2711,83-1836508,2019-0750,9445
"1650 Broadway Associates, Inc. 1650 Broadway New York, NY 10019",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,----,280,4/17/2020Amendment: 12/8/2020,A total of 186 employees that were temporarily furloughed the week of 3/16/2020 and subsequently recalled have again been temporarily laid off effective 12/14/2020.,----,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Closing,Temporary Plant Closing,The employees are not represented by a union.,"Adrianna Constantinescu, Controller",(212) 582-0161,13-3684169,2019-1414,9444
"Fedcap Rehabilitation Services, Inc. (Jail 2 Jobs & Rikers SMART programs at Rikers Island Jail )",Vocational Rehabilitation Services (Jail 2 Jobs & Rikers SMART programs),Bronx/New York |WDB Name: NEW YORK CITY | Region: New York City,31,31 (Total affected for both sites),12/21/2020,12/31/2020; 1/8/2021,2/31/2020; 1/8/2021,The business’s contract with the City of New York to operate the Jails to Jobs and Rikers SMART programs at Rikers Island Jail has been terminated by the city effective 12/31/2020 and 1/8/2021 respectively.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Kimberly Quinonez-Francois, Director, Human Resources",(646) 931-2483,13-5645879,2020-0402,9443
"Rye YMCA 21 Locust Ave. Rye, NY 10528",Community services,Westchester | WDB Name: WESTCH/PTNM | Region: Mid-Hudson,219,41,12/20/2020,Furloughs that began on 6/20/2020 for 41 employees will become temporary layoffs effective 2/19/2021.,----,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Layoff,Temporary Plant Layoff,The employees are not represented by a union.,"Andrea Robinson, HR Director",(914) 715-7097,13-1740515,2020-0401,9442
"Carlisle Etcetera LLC - Corporate Headquarters 16 E 52nd Street, 16th Floor New York, NY 10022",Curated women's luxury apparel,New York | WDB Name: NEW YORK CITY | Region: New York City,----,32,12/18/2020,A total of 32 employees that were previously furloughed beginning on 3/27/2020 will be permanently separated starting on 3/27/2021 and continuing through 6/5/2021.,----,Unforeseeable business circumstances prompted by COVID-19.,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Melissa Evwiehor, HR Manager",(845) 521-2297,45-5022305,2020-0400,9441
"LAZ Parking New York New Jersey, LLC (Regional Office) 333 W. 39th Street, Suite 602 New York, NY 10018",Parking,New York | WDB Name: NEW YORK CITY | Region: New York City,----,110,4/20/2020Amendment: 11/23/2020,Twenty-five (25) employees that were previously temporarily separated starting on 3/11/2020 have been permanently separated effective 11/23/2020.,----,Unforeseeable business circumstances prompted by COVID-19.,Temporay Plant Layoff/Plant Layoff,Temporay Plant Layoff/Plant Layoff,"Teamsters Local 272, Teamsters Local 917, SEIU Local 32BJ","Maggie DiPaolo, Sr. Manager, Human Resources",(312) 771-1939,26-1172383,2019-1936,9440
"The Phillips Club Management Company 155 W. 66th Street New York, NY 10023",NYC Hotel,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,25,11/5/2020Amendment: 12/16/2020,"Separations for 25 employees will be effective between December 29, 2020 through January 11, 2021 and furloughs could last for more than 6 months.",-----,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Layoff/Plant Layoff,Temporary Plant Layoff/Plant Layoff,The employees are not represented by a union.,"Stephanie Myers, Director of Human Resources",(212) 453-7984,13-3902194,2020-0345,9439
"Michael Page International Inc. 622 Third Avenue, 29th Floor New York, NY 10017",Employment Agency,New York | WDB Name: NEW YORK CITY | Region: New York City,----,219,4/8/2020Amendment: 12/22/2020,An additional three (3) employees have been permanently separated between 4/9/2020 through 12/18/2020.,-----,Unforeseeable business circumstances prompted by COVID-19.,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Alyssa Williams, Head of HR Operations",(203) 905-5216,65-0790985,2019-1187,9438
"China Management Two Pennsylvania Plaza, 19th Floor New York, NY 10121",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,----,5,12/18/2020,"Five (5) temporary employee separations occurred on December 18, 2020.",----,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Layoff,Temporary Plant Layoff,The employees are not represented by a union.,"Steven Lugerner, General Counsel",(212) 776-9220,26-1596542,2020-0397,9437
"IHI-NY, LLC (ilili Restaurant) 236 5th Avenue New York, NY 10001",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,46,12/14/2020,"Forty-six (46) permanent employee separations will commence on December 14, 2020.",-----,Unforeseeable business circumstances prompted by COVID-19.,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Alex Massoud, CFO",(212) 481-0141,47-1108226,2020-0398,9436
"Gold's Pure Foods LLC 1 Brooklyn Road Hempstead, NY 11550",American food-manufacturing company,Nassau | WDB Name: HEMPSTEAD | Region: Long Island,48,48,12/22/2020,Separations are expected to occur between 3/22/2021 and 4/5/2021.,4/5/2021,The business will be ceasing operations due to the sale of the company impacting 48 employees.,Plant Closing,Plant Closing,Teamsters Local 802,"Amanda Samlal, Director of Human Resources",(516) 534-2018,47-4367812,2020-0399,9435
"BD Stanhope, LLC dba TAO Downtown (NYC) 92 9th Avenue New York, NY 10011",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,----,53,8/11/2020Amendment: 12/15/2020,"There were 53 additional employee layoffs effective December 14, 2020; due to the mandate that restaurant's cease interior dining operations.",----,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Layoff,Temporary Plant Layoff,The employees are not represented by a union.,"Steven Lugerner, General Counsel",(212) 776-9220,13-3926040,2020-0125,9434
"Dr. Howard Dr. Fine, LLC dba La Mercerie 53 Howard Street New York, NY 10013",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,----,15,12/11/2020,"There were 15 employee layoffs effective December 14, 2020; due to the mandate that restaurant's cease interior dining operations.",------,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Closing/Plant Layoff,Temporary Plant Closing/Plant Layoff,The employees are not represented by a union.,"Melissa MacLeod, Vice President and General Counsel",(267) 312-1644,38-4039464,2020-0393,9433
"210 The G, LLC dba Electric Lemon35 Hudson YardsNew York, NY 10001",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,55,55,12/11/2020,"There were 55 employee layoffs effective December 14, 2020; due to the mandate that restaurant's cease interior dining operations.",12/14/2020,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Closing/Plant Layoff,Temporary Plant Closing/Plant Layoff,The employees are not represented by a union.,"Melissa MacLeod,Vice President and General Counsel",(267) 312-1644,35-2625470,2020-0395,9432
"Havatequila Restaurant Partners, LLC dba El Vez NY 259 Vesey Street New York, NY 10282",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,44,44,12/11/2020,"There were 44 employee layoffs effective December 14, 2020; due to the mandate that restaurant's cease interior dining operations.",-----,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Closing/Plant Layoff,Temporary Plant Closing/Plant Layoff,The employees are not represented by a union.,"Melissa MacLeod,Vice President and General Counsel",(267) 312-1644,27-4844151,2020-0396,9431
"Buddakan NY, L.P. dba Buddakan NYC 75 9th Avenue New York, NY 10011",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,28,28,12/11/2020,"There were 28 employee layoffs effective December 14, 2020; due to the mandate that restaurant's cease interior dining operations.",----,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Closing/Plant Layoff,Temporary Plant Closing/Plant Layoff,The employees are not represented by a union.,"Melissa MacLeod, Vice President and General Counsel",(267) 312-1644,74-3114576,2020-0392,9430
"26th Street Restaurant, LLC dba Upland NYC 345 Park Avenue South New York, NY 10010",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,18,18,12/11/2020,"There were 18 employee layoffs effective December 14, 2020; due to the mandate that restaurant's cease interior dining operations.",-----,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Closing/Plant Layoff,Temporary Plant Closing/Plant Layoff,The employees are not represented by a union.,"Melissa MacLeod, Vice President and General Counsel",(267) 312-1644,46-4813440,2020-0394,9429
"Crystal Run Health Plan, LLC 109 Rykowski Lane Middletown, NY 10941",Health Insurance,Orange | WDB Name: ORANGE | Region: Mid-Hudson,----,4,10/6/2020Amendment: 12/18/2020,"Separation have been extended from 1/8/2021 to 2/5/2021 (1), 3/5/2021 (1), and 5/31/2022 (1).",----,Economic,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Mary DeFreitas, Chief HR Officer",(845) 703-6106,46-1206022,2020-0293,9428
"Crystal Run Health Plan, LLC 109 Rykowski Lane Middletown, NY 10941",Health Plans,Orange | WDB Name: ORANGE | Region: Mid-Hudson,----,1,7/31/2020Amendment: 12/18/2020,"Separation has been extended from January 8, 2021 to January 31, 2021 for one employee.",5/31/2022,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Mary DeFreitas, Chief Human Resource Officer",(845) 703-6106,46-1206022,2020-0079,9427
"Le Tote, Inc. 750 White Plains Rd. Scarsdale, NY 10583",Clothing rental subscription service,Westchester | WDB Name: WESTCH/PTNM | Region: Mid-Hudson,----,115,10/1/2020Amendment: 12/1/2020,The store closing and separations have been postponed from the 14-day period starting on 12/31/2020 to the 14-day period starting on 2/14/2021.,2/14/2021,Unforeseeable business circumstances prompted by COVID-19.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Mark Nechita, Company Liaison",(646) 949-5050,20-5344961,2020-0276,9425
"Le Tote, Inc. 1440 Northern Blvd. Manhasset, NY 11030",Clothing rental subscription service,Hempstead | WDB Name: HEMPSTEAD | Region: Long Island,----,76,10/1/2020Amendment: 12/1/2020,The store closing and separations have been postponed from the 14-day period starting on 12/31/2020 to the 14-day period starting on 2/14/2021.,2/14/2021,Unforeseeable business circumstances prompted by COVID-19.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Mark Nechita, Company Liaison",(646) 949-5050,20-5344961,2020-0271,9424
"Le Tote, Inc. 1200 Franklin Ave. Garden City, NY 11501",Clothing rental subscription service,Hempstead | WDB Name: HEMPSTEAD | Region: Long Island,----,101,10/1/2020Amendment: 12/1/2020,The store closing and separations have been postponed from the 14-day period starting on 12/31/2020 to the 14-day period starting on 2/14/2021.,2/14/2021,Unforeseeable business circumstances prompted by COVID-19.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Mark Nechita, Company Liaison",(646) 949-5050,20-5344961,2020-0270,9423
"Columbus Restaurant Fund IV, LLC dba Porter House New York 10 Columbus Circle, Ste 4 New York, NY 10019",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,----,43,12/16/2020,"Layoffs of 43 employees will occur during the 14-day period commencing on December 11, 2020. Temporary shutdown of restaurant operations due to the major economic downturn stemming from the COVID-19 virus pandemic.","December 11, 2020",Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Closing,Temporary Plant Closing,The employees are not represented by a union.,"Alex Kurland, Associate Director of Restaurant Operations",(212) 823-9500,13-4182701,2020-0391,9422
"Le Tote, Inc. 7979 Pittford Victor Rd. Rochester, NY 14564",Clothing rental subscription service,Monroe | WDB Name: MONROE | Region: Finger Lakes,----,34,10/1/2020Amendment: 12/1/2020,The store closing and separations have been postponed from the 14-day starting on 12/31/2020 to the 14-day starting on 2/14/2021.,2/14/2021,Unforeseeable business circumstances prompted by COVID-19.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Mark Nechita, Company Liaison",(646) 949-5050,20-5344961,2020-0269,9421
"The Hoxton, Williamsburg LLC 97 Wythe Ave. Brooklyn, NY 11249",Restaurant,Kings | WDB Name: NEW YORK CITY | Region: New York City,-----,121,3/20/2020Amendment: 12/14/2020,"Of the 121 employees that were furloughed in March 2020, 36 were subsequently re-hired in July 2020 and again have been separated on 12/14/2020 due to the indefinite closing of the hotel.",12/14/2020,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Closing/Plant Layoff,Temporary Plant Closing/Plant Layoff,The employees are not represented by a union.,"Kelsey Terrell, People Director, North America",(718) 215-7100,42-1776811,2019-0473,9420
"Pryor Cashman LLP 7 Times Square New York, NY 10036",Law Firm,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,53,4/1/2020Amendment: 11/16/2020,"Of the total 53 employees that were furloughed on 3/31/2020, 29 employees were permanently separated on 12/1/2020.",-----,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Layoff/Plant Layoff,Temporary Plant Layoff/Plant Layoff,The employees are not represented by a union.,"Nicole Behard, Director of Human Resources",(212) 326-0462,13-1859294,2019-0980,9419
"125 EMS Hotel, LLC (Hyatt Regency Rochester) 125 E. Main Street Rochester, NY 14804",Hotel,Monroe | WDB Name: MONROE | Region: Finger Lakes,137,120,10/13/2020Amendment: 12/16/2020,The re-opening date for the hotel is now anticipated to occur on 3/29/2021 rather than on 2/10/2021. No layoffs are planned at this time and staff furloughs will continue.,10/5/2020 – 3/29/2021,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Closing,Temporary Plant Closing,The employees are not represented by a union.,"Patrick Miller, Human Resources Director",(585) 794-4755,81-1019111,2020-0305,9418
"Incarnation Children's Center 142 Audubon Ave. New York, NY 10032",Skilled nursing facility providing specialized care for children and adolescents living with HIV/AIDS.,New York | WDB Name: NEW YORK CITY | Region: New York City,67,67,12/11/2020,"The business will be closing its skilled nursing facility impacting 67 employees. Employment separations are expected to occur on 3/11/2021, or within 14 days thereafter.",3/11/2021,"The are multiple reasons for this closure, but the main reason is that due to improvements in medications and treatments, very few babies today are born with HIV/AIDS, so there has been a continuing decline in the need for these services.",Plant Closing,Plant Closing,1199 SEIU United Healthcare Workers East,"Carolyn Castro, Executive Director",(212) 928-2590 Ext: 1320,13-4071063,2020-0390,9417
Le Bernardin & Aldo Sohm Wine Bar,Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,76,76 (total employees at both sites),12/14/2020,"The employee layoffs are expected to occur on December 14, 2020 due to the full re-closure of all indoor dining.",12/14/2020,Unforeseeable business circumstances prompted by COVID-19.,Temporary Plant Closing,Temporary Plant Closing,The employees are not represented by a union.,"Katie Broad, Director of Operations",(212) 554-1114,13-3307516,2020-0389,9416
"Restaurant Associates 611 Fifth Avenue, 9th Floor New York, NY 10022",Food Services,New York | WDB Name: NEW YORK CITY | Region: New York City,----,60,12/14/2020,Temporary layoffs that began in March 2020 will become permanent for 60 impacted employees effective 12/18/2020.,----,Unforeseeable business circumstances prompted by COVID-19.,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Catherine Leak, HR Business Partner",(202) 805-2987,56-1874931,2020-0388,9415
