Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,FEIN NUM,Event Number,Case_ID
"Xerox Corporation - Webster Parts Distribution Center800 Phillips Road (Bldg. 214)Webster, NY 14580",Photographic & Photocopying Equipment Manufacturer,Monroe | WDB Name: MONROE | Region:Finger Lakes Region,135,23,12/18/2017,"The last day of active employment for the second wave of impacted employees will be no earlier than March 15, 2018 but no later than March 28, 2018.",3/28/2018,Economic,Plant Unit Closing,Plant Unit Closing,"WURRJB, Local 14A","Diana Inman BUSC, HR Bargaining Rights",(585) 422-4229,16-0468020,2017-0168,6158
"Sears Full Line Store (#01784)Oakdale MallJohnson City, NY 13790",Retail and Automotive Stores,Broome | WDB Name: BROOME/TIOGA | Region:Southern Region,50,50,6/22/2017,"Employment separations expected to occur during a 14-day period beginning on September 17, 2017.",9/17/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Tanya Rowe-Hill, Regional HR Manager",(706) 342-6970,36-1750680,2017-0173,6157
"Sears Full Line Store (#01794)4000 Jericho TurnpikeE Northport, NY 11731",Retail and Automotive Stores,Suffolk | WDB Name:SUFFOLK | Region:Long Island,85,85,6/22/2017,"Employment separations expected to occur during a 14-day period beginning on September 17, 2017.",9/17/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Tanya Rowe-Hill, Regional HR Manager",(706) 342-6970,36-1750680,2017-0171,6156
"Sears Full Line Store (# 01103)1425 Central Avenue Albany, NY 12205",Retail and Automotive Stores,Schenectady | WDB Name:CAPITAL DISTRICT | Region:Capital Region,120,120,6/22/2017,"Employment separations expected to occur during a 14-day period beginning on September 17, 2017.",9/17/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Tanya Rowe-Hill, Regional HR Manager",(706) 342-6970,36-1750680,2017-0169,6155
"Lutheran Augustana Center for Extended Care & Rehabilitation (NYU Langone Health)5434 Second AvenueBrooklyn, NY 11220",Nursing Home,Brooklyn | WDB Name: NEW YORK CITY | Region:New York City,286,286,12/15/2017,3/31/2018,6/30/2018,Economic,Plant Closing,Plant Closing,Local 1199 SEIU United Healthcare Workers East and the Federation of Nurses/UFT Local 2,Melissa Greiner,(347) 377-4397,11-2150953,2017-0167,6154
"NIKE, Inc. (Niketown Midtown) 6 East 57th Street New York, NY 10022",Retail Store,New York | WDB Name:NEW YORK CITY | Region:New York City,357,357,12/14/2017,"The affected employees will be permanently laid off on, or within a 14-day period of, March 17, 2018.",3/17/2018,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Bo Munna, Human Resources Manager",(646) 276-6470,93-0891124,2017-0166,6153
"The New York LaGuardia Airport Marriott102-05 Ditmars BivdEast Elmhurst, NY 11369",Hotel,Queens | WDB Name:NEW YORK CITY | Region:New York City,140,140,10/11/2017,2/8/2018,2/8/2018,Extensive renovations at the hotel,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Sandra Nunez, Director of Human Resources",(718) 533-3074,20-5978431,2017-0165,6151
"Hutchin Hill Capital, LP & Hutchin Hill Portfolio Management, LLC888 Seventh AvenueNew York, NY 10166",Employee owned hedge fund sponsor,New York | WDB Name: NEW YORK CITY | Region:New York City,121,121,11/30/2017,"The separations of employment are expected to occur on February 28, 2018.",-----,Economic,PlantClosing,Plant Closing,The affected workers are not represented by a union.,Amy Yates,(646) 616-2098,26-0535838,2017-0160,6150
"Middletown Community Health Care, Inc. 10 Benton AvenueMiddletown, NY 10980",Non-profit federally qualified community health center,Orange | WDB Name:ORANGE | Region:Mid-Hudson Region,112 (Total affected workers at all sites),42,11/27/2017 Revised:12/13/2017,2/19/2018,To be determined,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Sybil Medina, Interim Chief Executive Officer",(845) 551-6715,14-1588402,2017-0154,6149
"Warner Music Inc. (Office)1633 BroadwayNew York, NY 10019",Music Industry,New York | WDB Name: NEW YORK CITY | Region:New York City,27,21,12/12/2017,"This second phase of employee separations is scheduled to begin during the 14-day period starting on March 16, 2018.",9/30/2018,"Relocation of Accounting Operations, Cash Management and Recorded Music Rights Administration departments",Plant Unit Closing,Plant Unit Closing,The affected workers are not represented by a union.,"Monica Ramirez, Senior Director",(629) 203-5305,13-3565869,2017-0164,6148
"Pfizer, Inc.64 Maple StreetRouses Point, NY 12979",Pharmaceuticals (production),Clinton | WDB Name:C-E-F-H | Region: North Country Region,108,3,12/5/2017,"3/2/2018 (2), 3/19/2018 (1)",12/31/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Daniel Naiman, SR. Director of Human Resources",(212) 733-2110,13-0430890,2017-0163,6147
"Lindy's Restaurant (52nd 8th Operating Inc.)825 7th AvenueNew York, NY 10019",Restaurant,New York | WDB Name:NEW YORK CITY | Region:New York City,27,27,9/29/2017 Amendment: 12/12/2017,"The layoffs have been extended from January 7, 2018 to February 7, 2018.",2/7/2018,Economic,Plant Closing,Plant Closing,UNITE Here Local 100,"Mr. Brett Trimarchi, District Supervisor",(917) 836-1250,,2017-0087,6146
"DynaServ Industries, Inc.5830 64th StreetMaspeth, NY 11378",Specialized Services,Queens | WDB Name: NEW YORK CITY | Region: New York City,122,85(7 affected workers notices have been rescinded),9/11/2017  Rescission: 12/11/2017,"All employee separations are expected to occur during the 14-day period starting on December 11, 2017.",-----,Loss of client contract,Plant Layoff,Plant Layoff,IBEW Local 3,"Noemi Diaz, Human Resources Manager",(718) 416-0252 Ext: 6010,11-2110991,2017-0048,6145
"Mashable, Inc.114 Fifth AvenueNew York, NY 10011",Digital media website,New York | WDB Name:NEW YORK CITY | Region:New York City,156,49,12/5/2017,3/5/2018,-----,Sale of Business,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Carrie Farlier, Chief-of-Staff & SVP Operations",(646) 598-1759,74-3258519,2017-0146,6143
"Public Service Insurance Company, in RehabilitationOne Park Avenue, 15th FloorNew York, NY 10016","Provides auto, home, life and health insurance",New York | WDB Name: NEW YORK CITY | Region:New York City,46,34,10/12/2017 Amended: 12/8/2017,"Two (2) affected workers’ separations extended from January 12, 2018 to March 9, 2018.",To be determined,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Gary Stewart, Vice President and Director of Human Resources",(212) 591-9410,,2017-0113,6142
"Public Service Insurance Company, in RehabilitationOne Park Avenue, 15th FloorNew York, NY 10016","Provides auto, home, life and health insurance",New York | WDB Name: NEW YORK CITY | Region:New York City,46,34,10/12/2017 Amended: 12/1/2017,"Ten (10) affected workers’ separations extended from January 12, 2018 to March 2, 2018.",To be determined,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Gary Stewart, Vice President and Director of Human Resources",(212) 591-9410,,2017-0113,6141
"Hutchin Hill Capital, LP & Hutchin Hill Portfolio Management, LLC888 Seventh AvenueNew York, NY 10166",Employee owned hedge fund sponsor,New York | WDB Name: NEW YORK CITY | Region:New York City,121,121,11/30/2017,"The separations of employment are expected to occur on February 28, 2018.",-----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,Amy Yates,(646) 616-2098,-----,2017-0160,6138
"Middletown Community Health Care, Inc.10 Benton AvenueMiddletown, NY 10980",Non-profit federally qualified community health center,Orange | WDB Name:ORANGE | Region:Mid-Hudson Region,124,124 (Total affected workers at all sites),11/27/2017,2/19/2018,-----,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Sybil Medina, Interim Chief Executive Officer",(845) 551-6715,-----,2017-0154,6137
"Sanmina Corporation1200 Taylor RoadOwego, NY 13827",Manufacturer of printed circuit boards,Tioga | WDB Name:BROOME/TIOGA | Region:Southern Region,274,161,12/6/2017,"The first employee separations in connection with this action are expected to commence during the 14-day period starting on March 7, 2018.",To be determined,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Theresa Nugent-White, Human Resources Manager",(607) 689-5571,77-0228183,2017-0153,6136
"Alstom Signaling, Inc.1025 John StreetWest Henrietta, NY 14586",Communications Equipment Manufacturer for transport sector,Monroe | WDB Name:MONROE | Region:Finger Lakes Region,450,86,11/17/2017,"Employment terminations shall occur on or about March 31, 2018. Five employment terminations shall occur on or about July 31, 2018.",-----,Relocation of manufacturing activities to Missouri,Plant Layoff,Plant Layoff,"International Union of Electronic, Electrical, Salaried, Machine and Furniture Workers/Communications Workers of America, Local #323","Shane Murray, Human Resource Director",(585) 730-2369,-----,2017-0150,6135
"Eastman Kodak Company (Kodak Office)343 State StreetRochester, NY 14650",Photographic equipment and Supplies,Monroe | WDB Name:MONROE | Region: Finger Lakes Region,-----,2,11/30/2017,2/27/2018,-----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,16-0417150,2017-0151,6134
"InnsideNew YorkNoMad (Food and Beverage Department)132 West 27th StreetNew York, NY 10001",Hotel services,New York | WDB Name:NEW YORK CITY | Region: New York City,46,46,12/1/2017,3/6/2018,3/6/2018,Food and Beverage Department will be outsourced,Plant Unit Closing,Plant Unit Closing,The affected workers are not represented by a union.,"Amber Allen, Director of Human Resources",(917) 409-5176,13-5630853,2017-0148,6133
"LSC Communications US, LLC31 East 2nd StreetMineola, NY 11501",Create and customize print and digital supply chain solutions.,Nassau | WDB Name:HEMPSTEAD | Region: Long Island,31,31,12/4/2017,"Separations will commence during a 14-day period commencing on April 30, 2018.",4/30/2018,Relocation of warehouse operations,Plant Unit Closing,Plant Unit Closing,The affected workers are not represented by a union.,"Kristin Goetze, Human Resources Manager",(516) 294-7000 Ext: 100,13-5630853,2017-0149,6132
"Shiel Holdings, LLC (Shiel Medical Laboratory (a division of Fresenius Medical Care, NA)Brooklyn Navy Yard, Building 29263 Flushing AvenueBrooklyn, NY 11205",Medical Laboratory,Kings | WIB Name:NEW YORK CITY | Region:New York City,239,239 (208 affected workers at 63 Flusing Ave. site; 31 affected workers at the other NY locations),9/27/2017  Amendment: 12/1/2017,"12/31/2017 (Separations for eight affected workers’ postponed from December 31, 2017 to January 31, 2018.)",12/31/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Sheryl Morgan, Director, Human Resources",(201) 767-7070 Ext. 5845,,2017-0085,6130
"Courtyard by Marriott LaGuardia Hotel90-10 Grand Central ParkwayEast Elmhurst, NY11368",Hotel,Queens | WDB Name:NEW YORK CITY | Region:New York City,138,138,6/28/2017 Amendment: 12/3/2017,"The closure of the hotel and permanent layoff of all employees is being extended from December 3, 2017 until on or about December 31, 2017.",12/31/2017,Economic,Plant Closing,Plant Closing,"New York Hotel & Motel Trades Council, AFL-CIO","Mark Ranieri, General Manager",(718) 308-4803,,2016-0299,6128
"Amesbury Truth, Inc.1555 Jefferson RoadRochester, NY 14623",Provider of products in the window and door industry.,Rochester | WDB Name:MONROE | Region:Finger Lakes Region,142,142,12/1/2017,"Layoffs are expected to commence on March 1, 2018 or within the 14-day period of that date and expected to continue through December 2018.",----,Conversion of product lines and transfer of production to another facility.,Plant Closing,Plant Closing,"Rochester Regional Joint Board, Workers United, Unite Local 3T","Nina Cypher, Human Resources Manager",(585) 627-5991,16-1539687,2017-0147,6127
"Morgan Stanley & Co LLC1585 BroadwayNew York, NY 10036",Financial services,New York | WDB Name:NEW YORK CITY | Region:New York City,-----,29,11/29/2017,"The terminations of 15 affected workers are expected to occur on March 1, 2018, and terminations of the remaining 14 affected workers expected to occur on June 30, 2018.",-----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Patricia Hynes, Executive Director, Human Resources",(212) 761-7467,-----,2017-0145,6125
"Leake & Watts Services, Inc. at Woodfield Cottage Detention Center 20 Hammond House Road Valhalla, NY 10595",Intellectual/Developmental disablities services,Westchester | WDB Name:WESTCH/PTNM | Region:Mid-Hudson Region,34,34,11/22/2017,12/31/2017,12/31/2017,Contract cancellation at Woodfield Cottage Detention Center,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Roanica Paisley, Director of Human Resources",(914) 410-5521,13-1860451,2017-0141,6124
"Baumann Bus Company, Inc.107 Lawson BoulevardOceanside, NY 11572",Transportation services,Nassau | WDB Name:HEMPSTEAD | Region: Long Island,-----,98,11/24/2017,May commence on 11/28/2017,-----,"Loss of contractwith New York City Department of Education, Office of Pupil Transportation",Plant Layoff,Plant Layoff,Transport Workers Union of America Local 252,"Wendy Sidman, Human Resources",(631) 471-4600,80-0969631,2017-0144,6123
"Luxfer Magtech Inc.680 Elton StreetRiverhead, NY 11901",Global leader in self-heating technology,Suffolk | WDB Name:SUFFOLK | Region: Long Island,60,60,11/22/2017,2/28/2017,2/28/2017,Economic,Plant Closing,Plant Closing,United Food and Commercial Workers Local 1102,"Marc Lamensdorf, President",(631) 740-9510,47-1002161,2017-0143,6122
"Mettler-Toledo, LLC Hi-Speed Division5 Barr RoadIthaca, NY 14850","Offer precision instruments and services for many applications in research and development, quality control, production, logistics and retail to customers.",Tompkins | WDB Name: TOMPKINS | Region:Southern Region,69,69,11/22/2017,"Employees are expected to be separated from employment beginning on March 1, 2018, with all separations accomplished by January 1, 2019.",7/1/2018,"Relocation to Tampa, Florida",Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Ron Rathbun, Head of Human Resources",(607) 266-5462,00-2995176,2017-0142,6121
"Pfizer, Inc.64 Maple StreetRouses Point, NY 12979",Pharmaceuticals (production),Clinton | WDB Name:C-E-F-H | Region: North Country Region,-----,5,11/20/2017,2/16/2018,12/31/2017,Economic,Plant Closing,Plant Closing,International Chemical Workers Union/UFCW Local 95c,"Daniel Naiman, SR. Director of Human Resources",(212) 733-2110,13-0430890,2017-0140,6120
"Baumann Bus Company, Inc.107 Lawson BoulevardOceanside, NY 11572",Transportation services,Nassau | WDB Name: HEMPSTEAD | Region:Long Island,-----,134,11/18/2017,Commencing on 11/20/2017,-----,Loss of contract with Hicksville School District and Rockville Centre School District,Plant Layoff,Plant Layoff,Transport Workers Union of America Local 252,"Wendy Sidman, Human Resources",(631) 471-4600,80-0969631,2017-0139,6118
"B&H Foto and Electronics Corp. (Navy Yard Facility)63 Flushing Avenue, Bldg. 64Brooklyn, NY 11205",Photo and electronics,Kings | WDB Name:NEW YORK CITY | Region:New York City,239,239,8/21/2017 Amendment: 11/17/2017,"Separations are now being extended from November 19, 2017 and December 2, 2017 to between January 30. 2018 and February 12, 2018.",2/12/2018,Relocation to New Jersey.,Plant Closing,Plant Closing,United Steelworkers District 4,"Jacob Mittelman, Vice President of Operations",(212) 239-7500,13-2768071,2017-0034,6116
"Courtyard by Marriott LaGuardia Hotel90-10 Grand Central ParkwayEast Elmhurst, NY11368",Hotel,Queens | WDB Name:NEW YORK CITY | Region:New York City,134,134,6/28/2017 Amendment: 11/17/2017,"The closure of the hotel and permanent layoff of all employees is being extended from November 19, 2017 until on or about December 3, 2017.",12/3/2017,Economic,Plant Closing,Plant Closing,"New York Hotel & Motel Trades Council, AFL-CIO","Mark Ranieri, General Manager",(718) 308-4803,06-1555126,2016-0299,6115
"TLC Health Network, Inc./TLC Lake Shore Health Care CenterLong Term Care Unit & Medical Surgical Unit845 Routes 5&20 (Main Road)Irving, NY 14081",Long-Term Care Unit and Medical Surgical Unit,Chautauqua | WDB Name:CHAUTAUQUA | Region:Western Region,38,0,8/21/2017 Rescission: 11/16/2017,Normal operations will continue with no reduction to staff levels from the Medical Surgical Unit. TLCs service lines are being expanded or new programs as part of the bankruptcy reorganization/transformation plan.,11/30/2017,Economic,Plant Unit Closing,Plant Unit Closing,1199 SEIU United Healthcare Workers East,"Shannon Bobseine, Human Resource Director",(716) 951-7037,16-0772474,2017-0033,6113
"DynaServ Industries, Inc.5830 64th StreetMaspeth, NY 11378",Specialized Services,Queens | WDB Name:NEW YORK CITY | Region:New York City,122,92(6 affected workers notices have been rescinded),9/11/2017 Rescission: 11/15/2017,"All employee separations are expected to occur during the 14-day period starting on December 11, 2017.",-----,Loss of client contract,Plant Layoff,Plant Layoff,IBEW Local 3,"Noemi Diaz, Human Resources Manager",(718) 416-0252 Ext: 6010,11-2110991,2017-0048,6112
"Terrafina, LLC 1610 Bathgate Avenue Bronx, NY 10457",Healthy snacks,Bronx | WDB Name: NEW YORK CITY  | Region: New York City,109,109,11/10/2017,2/15/2018,2/15/2018,Relocation of operations,Plant Closing,Plant Closing,The affected  workers are not represented by a union.,"James Locke, CEO",(212) 365-0491,20-3238499,2017-0138,6111
"WestRock44 Island Container PlazaWheatley Heights, NY 11798",Manufacturer of corrugated boxes.,Suffolk | WDB Name:SUFFOLK | Region:Long Island,94,94,7/17/2017 Amended:11/3/2017,"52 separations occurred on October 13, 2017.The remainder will be separated on or before January 10, 2018.","On or before January 10, 2018",Economic,Plant Closing,Plant Closing,"United Steelworkers Local 381, International Brotherhood of the Teamsters (IBT) Local Union No. 813","Colleen Garrity, Human Resources Manager",(612) 845-4705,32-0116528,2017-0011,6110
"AVX Corporation (Olean Advanced Products) 1695 Seneca Avenue Olean, NY 14760",Manufacturing ceramic capacitors,Cattaraugus | WDB Name: ALL/CAT  | Region: Western Region,67,1,11/3/2017,,To be  determined,Economic,Plant Closing,Plant Closing,The affected  worker is not represented by a union.,Karen Smith. Director of Corporate,(864) 228-8990,33-0379007,2017-0137,6108
"Restaurant Associates (Barclays Executive Dining Room)745 7th Ave.New York, NY 10019",Food services,New York | WDB Name:NEW YORK CITY | Region: New York City,37 (total at both site locations),29,11/2/2017,12/29/2017,12/29/2017,Contractual agreement loss,Plant Closing,Plant Closing,"UNITE HERE, Local 100","Jason DiChiara, Vice President of Operations",(203) 461-5166,56-1874931,2017-0133,6107
"Capital One Financial (Originations Operating Unit)275 Broadhollow RoadMelville, NY 11747",Originations Operating Unit,Suffolk | WDB Name:SUFFOLK | Region: Long Island,----,26,11/8/2017,"Separations occurring February 5, 2018 and the last separation expected to occur on or about March 7, 2018.",3/7/2018,These job eliminations are occurring due to Capital One exiting Originations in Mortgage and Home Equity.,Plant Unit Closing,Plant Unit Closing,The affected workers are not represented by a union.,"Jan Snead, Human Resources",(804) 814-6380,11-6561904,2017-0135,6105
"API Technologies, Corp.72 Perinton ParkwayFairport, NY 14450","Technology provider of RF/microwave, microelectronics, and security technologies.",Monroe | WDB Name: MONROE | Region: Finger Lakes Region,61,61,10/27/2017,"Separations will begin on or after January 24, 2018, and all layoffs will be completed no later than February 7, 2018.",2/7/2018,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Paul Lozito, Company liaison",(585) 425-3390,16-0999268,2017-0136,6104
"Courtyard by Marriott  LaGuardia Hotel 90-10 Grand Central Parkway East Elmhurst, NY 11368",Hotel,Queens | WDB Name: NEW YORK CITY  | Region: New York City,138,138,6/28/2017Amendment: 10/31/2017,,11/19/2017,Economic,Plant Closing,Plant Closing,"New York Hotel & Motel Trades Council, AFL-CIO","Mark Ranieri, General Manager",(718) 308-4803,,2016-0299,6103
"Lanco Corporation 2905 Veterans Memorial Highway Ronkonkoma, NY 11779","Variety of office stationery, computer items, personal  items, etc.",Suffolk | WDB Name: SUFFOLK  | Region:Long Island,130,130,11/3/2017,12/1/2017,12/1/2017,Economic,Plant Closing,Plant Closing,The affected  workers are not represented by a union.,"Scott Slade, President",(631) 231-2300,11-2715599,2017-0132,6102
"Shake-N-Go Fashion, Inc. 85 Harbor Road Port Washington, NY 11050",Design and manufacture human and synthetic hair products.,Nassau | WDB Name: OYSTER BAY | Region:Long Island,92,92,11/2/2017,"The affected employees are scheduled to be permanently laid off between March 29, 2018 and April 30, 2018. Some of the affected workers will remain on site at the NY facility.",4/30/2018,"Relocating warehouse to Suwanee, Georgia",Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Ms. Bo K. Chun, General Counsel, Mr. Sung Bum Ahn, HR Manager or Mr. Young Ryoo, Warehouse Manager",(516) 944-7777,11-3086312,2017-0131,6101
"New Media News, LLC810 7th Avenue Suite 800New York, NY 10019",An online news service that focused on neighborhood news in New York City,New York | WDB Name: NEW YORK CITY | Region:New York City,74,74,11/3/2017,2/2/2018,2/2/2018,Economic,Plant Closing,Plant Closing,"Writers Guild of America, East","Gary Held, Human Resources",(303) 962-0013,26-2532223,2017-0130,6100
"New Media News, LLC810 7th Avenue Suite 800New York, NY 10019",An online news service that focused on neighborhood news in New York City,New York | WDB Name:NEW YORK CITY | Region:New York City,74,74,11/3/2017,2/2/2018,2/2/2018,Economic,Plant Closing,Plant Closing,"Writers Guild of America, East","Gary Held, Human Resources",(303) 962-0013,-----,2017-0130,6099
"Apogee Retail NY LLC d/b/a Unique408 Fulton StreetBrooklyn, NY 11201",Thrift Store,Kings | WDB Name:NEW YORK CITY | Region: New York City,58,58,10/31/2017,1/31/2018,1/31/2018,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Bruce A. Smith, CFO",(480) 659-4102,26-3943223,2017-0129,6098
"Tops Markets, LLC1357 US Highway 9Wappingers Falls, NY 12590",Market/grocery store,Dutchess | WDB Name:DUTCHESS | Region:Mid-Hudson Region,83,83,11/3/2017,2/1/2018,2/1/2018,Economic,Plant Closing,Plant Closing,UFCW Local 464A and UFCW Local 1500,"Joseph Topini, Manager Human Resources",(860) 334-4598,16-1592810,2017-0128,6097
"Casabella Holdings, LLC(Warehouse facility)225 North Route 303, Unit 106Congers, NY 10920",Design stylish functional home products,Rockland | WDB Name:ROCKLAND | Region:Mid-Hudson Region,66,43,10/20/2017,3/1/2018,-----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Tom Cavallucci, Human Resources Manager",(845) 348-0012 Ext. 122,20-5701335,2017-0126,6096
"Rana USA, LLC d/b/a Giovanni Rana Pastificio & Cucina75 9th Ave.New York, NY 10011",Restaurant,New York | WDB Name: NEW YORK CITY | Region:New York City,98,98,10/27/2017,2/22/2018,2/22/2018,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Vicky Apinya Nimmolrat, Human Resources Manager",(773) 332-2113,27-3845796,2017-0127,6095
"100 Sardines Management LLC d/b/a Lupulo835 6th Ave.New York, NY 10001",Restaurant,New York | WDB Name:NEW YORK CITY | Region:New York City,55,55,10/20/2017,12/21/2017,12/21/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"George Mendes, Managing Member",(212) 675-7723,46-5721239,2017-0125,6093
