Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
"Keywell, L.L.C.300 Falconer StreetFrewsburg, NY 14738",Aerospace Metals and Specialty Steels recycling,Chautauqua | WIB Name: CHAUTAUQUA | Region: Western Region,49,49,8/30/2013Amended: 12/18/2013,Terminations will take place 9/6/2013 through 9/19/2013 and 12/31/2013 through 1/13/2014.,12/17/2013,Economic,Plant Closing,Plant Closing,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC, on behalf of USW Local 9367.","Jack Joyce, Vice President - HR",(773) 660-2060 ext. 235,4406
"Delaware North Companies Travel Hospitality Services, Inc.Syracuse Hancock International Airport, 1000 Colonel Eileen Collins BoulevardN. Syracuse, NY 13212",Food and Beverage Concessions,Onondaga | WIB Name: ONONDAGA| Region: Central Region,93,93,12/17/2013,-----,3/31/2014,Expired lease agreement,Plant Closing,Plant Closing,UNITE HERE,"Justine Moretta, HR Business Partner",(716) 858-5083,4405
"Loehmann's, Inc.2500 Halsey StreetBronx, NY 10461",Corporate office,Bronx | WIB Name: NEW YORK CITY | Region: New York City,63,63,12/17/2013,Began on 10/30/2013 and have occurred in phases until the office closed on 12/16/2013.,12/16/2013,Bankruptcy-sale of assets,Plant Closing,Plant Closing,There are no bumping rights.,"Nancy Straface, Senior Vice President",(718) 430-5308,4404
"SUNY Downstate Medical Center at LICH - StaffCo.339 Hicks StreetBrooklyn, NY 11201",Medical Center,Kings | WIB Name: NEW YORK CITY | Region: New York City,"1,442","1,442",3/25/2013 Amended: 12/16/2013,Layoffs are postponed to occur between 1/21/2014 and 2/3/2014,Postponed to occur between 1/21/2014 and 2/3/2014,Economic,Plant Closing,Plant Closing,"1199 SEIU United Healthcare Workers East, New York State Nurses Association, Local 30 & 30 A-B-C-D of the International Union of Operating Engineers, and Special and Superior Officers Benevolent Association","Francesca Tinti, Assistant Vice President for Human Resources",(718) 780-1500,4403
"LIR Management Corp/Food Court1 Penn PlazaNew York, NY 10001",Food service establishments,New York | WIB Name: NEW YORK CITY | Region: New York City,124,124,12/12/2013,-----,3/16/2014,Economic,Plant Closing,Plant Closing,Unite Here Local 100,"Ann Martinez, CFO",(212) 560-1658,4402
"Worthington Cylinders (formerly BernzOmatic)One BernzOmatic DriveMedina, NY 14103",Hand & Edge Tool Manufacturing,Orleans | WIB Name: GLOW | Region: Finger Lakes Region,155,155,12/12/2013,Will occur in stages beginning on 3/1/2014 and will run through closing date with a few employees remaining after the closing to wind down operations.,5/1/2014,Relocating operations to Wisconsin plant,Plant Closing,Plant Closing,Workers United Local 1802,"Dan Thomas, Human Resources Manager",(513) 539-6302,4401
"RJM Acquisitions LLC575 Underhill Blvd, Suite 224Syosset, NY 11791",Debt collection,Oyster Bay | WIB Name: OYSTER BAY| Region: Long Island,55,Undetermined at this time,12/10/2013,3/10/2014,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights.,"Jamie Rozansky, Director of Operations",(516) 714-1305,4399
"Interfaith Medical Center1545 Atlantic AvenueBrooklyn, NY 11213",Medical Center,Kings | WIB Name: NEW YORK CITY | Region: New York City,1405,1405,8/2/2013 Amended: 12/10/2013,"Layoffs are postponed to commence on December 26, 2013, or within 14 days thereafter.",Undetermined at this time,Funding cuts,Plant Closing,Plant Closing,"1199 SEIU United Healthcare Workers East, New York State Nurses Association, NYSNA, The Committee of Residents and Interns/SEIU, New York State Federation of Physicians and Dentists, AFL-CIO","M. Denise McLellan, SPHR, CEBS, Director of Human Resources",(718) 613-6560,4398
"AVON - Service Model Transformation Project (SMT)44 South BroadwayWhite Plains, NY 10601",Beauty Supplies for Women,Westchester | WIB Name: WESTCHESTER | Region: Mid-Hudson Region,130,130,12/10/2013,-----,3/10/2014,Economic,Plant Closing,Plant Closing,No bumping rights exist.,"Lara Braca, Senior Manager, Human Resources",(914) 288-1961,4397
"Sterling National Bank145 East 40th StreetNew York, NY 10017",Bank,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,2,12/9/2013,To occur between 2/10/2014 and 3/11/2014,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights for Sterling employees.,"Jean Strella, M.S., CBP, CCP, SPRH, Senior Vice President",(845) 369-8086,4396
"VNS CHOICE Community Care (VNSNY)1200 Waters PlaceBronx, NY 10461",Visiting Nurse Service,New York/Bronx/Kings/Queens | WIB Name: NEW YORK CITY | Region: New York CityOyster Bay/Hempstead | WIB Name: OYSTER BAY| Region: Long Island,-----,37,10/28/2013 Amended 12/9/2013,1/24/2014,-----,Economic,Plant Layoff,Plant Layoff,United Federation of Teachers,"Marian Hass, Vice President, Human Resources Policy & Practice",(212) 609-7880,4395
"The River Club of New York, Inc.447 East 52nd StreetNew York, New York 10022",Private Country Club,New York | WIB Name: NEW YORK CITY| Region: New York City,90,90,10/9/2013Rescinded: 12/6/2013,12/31/2013,12/31/2013,Potential loss of lease. (A lease extension has been granted through June 2014).,Potential Plant Closing,Potential Plant Closing,"New York Hotel & Motel Trades Council, Local 6","Eric Ruehlmann, General Manager",(212) 751-0100 x115,4393
"Bombardier Mass Transit Corporation-Overhaul Division7940 State Route 415Bath, NY 14810",Rail equipment manufacturing,Steuben | WIB Name: CSS | Region: Southern Region,42,0,10/10/2013,"The affected employees will be separated between January 17, 2014 and January 31, 2014.",-----,Economic,Plant Layoff,Plant Layoff,The affected employees are not represented by a union.,"Tracy Tirrell, Human Resources",(609) 315-0630,4391
"Bombardier Mass Transit Corporation-Overhaul Division7940 State Route 415Bath, NY 14810",Rail equipment manufacturing,Steuben | WIB Name: CSS| Region: Southern Region,42,6,10/3/2013 Amended 12/6/2013,"Separations will occur between January 10, 2014 and January 24, 2014.",-----,Economic,Plant Layoff,Plant Layoff,The affected employees are not represented by a union.,"Tracy Tirrell, Human Resources",(609) 315-0630,4390
"Bombardier Mass Transit Corporation-Overhaul Division7940 State Route 415Bath, NY 14810",Rail equipment manufacturing,Steuben | WIB Name: CSS | Region: Southern Region,-----,15,9/27/2013 Amended 12/6/2013,"15 total, 12 affected on 12/27/2013, 3 affected on 1/3/2014",-----,Economic,Plant Layoff,Plant Layoff,There is no employee representative.,"Tracy Tirrell, Human Resources",(609) 315-0630,4389
"Residence Inn by Marriott, LLC @ Residence Inn Fishkill14 Schuyler BlvdFishkill, NY 12524",Residential Hotel,Dutchess | WIB Name: DUTCHESS| Region: Mid-Hudson Region,32,32,9/30/2013  Amended: 12/4/2013,To occur between 1/31/2014 and 2/13/2014,1/31/2014,"The Residence Inn by Marriott, LLC will permanently cease managing the Residence Inn Fishkill. New management will take over this function.",Plant Closing,Plant Closing,Affected employees will have no bumping rights.,"Laila Batista, Acting General Manager",(845) 896-5210,4387
"Spellman High Voltage Electronics Corporation475 Wireless Blvd.Hauppauge, NY 11788",High Voltage Power Supplies Manufacturing,Suffolk | WIB Name: SUFFOLK | Region: Long Island,290,27,11/26/2013  Amended 12/2/2013,2/3/2014,-----,"Relocation of jobs to Matamoros, Mexico",Plant Layoff,Plant Layoff,There are no bumping rights and the employees are not represented by any union.,"Erica Simon, Human Resources",(631) 630-3695,4383
"Eastman Kodak Kodak Office343 State StreetRochester, NY 14650",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,4,11/29/2013,11/14/2013,-----,Economic,Plant Layoff,Plant Layoff,There is no employee representative of record.,"Mary C. Lazzar-Whyte, Director, HR Americas Employee Services",(585) 781-1896,4382
"Spellman High Voltage Electronics Corporation475 Wireless Blvd.Hauppauge, NY 11788",High Voltage Power Supplies Manufacturing,Suffolk | WIB Name: SUFFOLK | Region: Long Island,-----,47 in both locations,11/26/2013,2/3/2014,-----,"Relocation of jobs to Matamoros, Mexico",Plant Layoff,Plant Layoff,There are no bumping rights and the employees are not represented by any union.,"Erica Simon, Human Resources",(631) 630-3695,4381
"PricewaterhouseCoopers LLP300 Madison AvenueNew York, NY 10017","Audit and assurance, tax, and consulting services",New York | WIB Name: NEW YORK CITY | Region: New York City,-----,27,11/25/2013,2/28/2014,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights in connection with these separations.,"Timothy Grimes, Managing Director, US IT Operations",(813) 348-7334,4379
"Juicy Couture, Inc.1440 BroadwayNew York, NY 10018",Retail Clothing Sales,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,61,11/25/2013,Will commence on 11/22/2013 and continue in phases through 1/31/2014,-----,Sale of business to a third party,Plant Layoff,Plant Layoff,There are no bumping rights and there is no employee representative.,"Jean-Rose Bishop, Director of Human Resources",(201) 295-7531,4378
"Fab.com, Inc.95 Morton StreetNew York, NY 10014",Operates online pop-up sales,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,79,11/21/2013,2/15/2014,------,Economic,Plant Layoff,Plant Layoff,"None of the affected employees are represented by a union, and none are entitled to bumping rights pursuant to a collective bargaining agreement or otherwise.","Allison Rutledge-Parisi, Chief People Officer",(646) 684-3076,4377
"SUNY Downstate Medical Center  at LICH - StaffCo. 339 Hicks Street Brooklyn, NY 11201",Medical Center,Kings | WIB Name: NEW YORK CITY| Region: New York City,"1,442","1,442",3/25/2013Amended: 11/20/2013,Layoffs are postponed to occur between 12/16/2013 and 12/29/2013,Postponed  to occur between 12/16/2013  and 12/29/2013,Economic,Plant Closing,Plant Closing,"1199 SEIU United Healthcare Workers East, New York  State Nurses Association, Local 30 & 30 A-B-C-D of the International Union  of Operating Engineers, and Special and Superior Officers Benevolent  Association","Francesca  Tinti, Assistant Vice President for Human Resources",(718) 780-1500,4376
"First National Bank of New York538 Broadhollow RoadMelville, NY 11747",Bank,Suffolk | WIB Name: SUFFOLK| Region: Long Island,36,36,11/19/2013,-----,2/14/2014,Merger,Plant Closing,Plant Closing,Bumping rights do not exist.,"Deborah McGrory, Senior Vice President, Director of Human Resources",(631) 537-1000 Ext 7297,4375
"12th Restaurant Inc. (Nathan's/ Roy Roger's/Tim Horton's - Food Court)401 Seventh AvenueNew York, NY",Restaurants,New York | WIB Name: NEW YORK CITY| Region: New York City,21,21,11/14/2013,2/18/2014 or during the 14-day period following that date to wind down operations,2/18/2014,Economic,Plant Closing,Plant Closing,Unite Here Local 100 Union,"Ann Martinez, CFO",(212) 560-1658,4374
"Excelsior Packaging Group 159 Alexander Street Yonkers, NY 10701","Manufacturing: cellophane bags, wrapper and seal  printing and engraving service",Westchester | WIB Name: WESTCHESTER| Region: Mid-Hudson  Region,112,112,11/12/2013,-----,2/5/2014,Economic,Plant Closing,Plant Closing,"Consolidated Commercial Workers of America, Local 528",Ronnie Shemesh,(914) 968-1300,4373
"PLPL Development, LLC d/b/a Budwey's Supermarket416 Kenmore AvenueBuffalo, NY 14223",Supermarket,Erie | WIB Name: ERIE | Region: Western Region,156,156,11/13/2013,-----,2/7/2014,Sale of Business to Dash's Market,Plant Closing,Plant Closing,No bumping rights exist.,"Frank Budwey, Owner",(716) 807-5362,4372
"Atlantic Express Transportation Corp. including all subsidiaries below:127-45 34th AvenueFlushing, NY 11368",Transportation,Queens/Kings/Bronx/Richmond | WIB Name: NEW YORK CITY | Region: New York City Oyster Bay/Hempstead | WIB Name: OYSTER BAY/HEMPSTEAD | Region: Long Island,199,199,11/13/2013,-----,12/31/2013,Economic,Plant Closing,Plant Closing,Amalgamated Transit Union Local 1181,"Jerome Dente, Chief Operating Officer",(718) 442-7000,4371
"Sterling National Bank500 7th AvenueNew York, NY 10018",Bank,New York | WIB Name: NEW YORK CITY | Region: New York CityOyster Bay | WIB Name: OYSTER BAY | Region: Long IslandRockland | WIB Name: ROCKLAND | Region: Mid-Hudson Region,-----,16,11/8/2013,To occur between 2/2/2014 and 3/31/2014,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights for Sterling employees.,"Jean Strella, M.S., CBP, CCP, SPRH, Senior Vice President",(845) 369-8086,4370
"Pfizer Inc.64 Maple StreetRouses Point, NY 12979",Pharmaceuticals,Clinton | WIB Name: C-E-F-H| Region: North Country Region,-----,31-11 non-union and 20 union,10/22/2013Amended 11/12/2013,31-30 to be separated on 1/25/2014 and one worker to be separated on 2/8/2014,12/31/2013,Economic,Plant Closing,Plant Closing,Local 95c International Chemical Workers Union/UFCW,"Elaine Reynolds, Senior Manager, Human Resources",(518) 297-1697,4369
"Interfaith Medical Center1545 Atlantic AvenueBrooklyn, NY 11213",Medical Center,Kings | WIB Name: NEW YORK CITY | Region: New York City,1542,1542,8/2/2013 Amended: 11/8/2013,"Layoffs scheduled to commence on October 25, 2013, are now postponed and are expected to commence on November 22, 2013, or within 14 days thereafter.",Undetermined at this time,Funding cuts,Plant Closing,Plant Closing,"1199 SEIU United Healthcare Workers East, New York State Nurses Association, NYSNA, The Committee of Residents and Interns/SEIU, New York State Federation of Physicians and Dentists, AFL-CIO","M. Denise McLellan, SPHR, CEBS, Director of Human Resources",(718) 613-6560,4367
"The Bon Ton Stores Inc.15 Miracle Mile DriveRochester, NY 14623",Retail Store,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,73,73,11/5/2013,2/7/2014,3/26/2014,Lease will not be renewed,Plant Closing,Plant Closing,No bumping rights for any affected employee.,"Denise Domian, Senior Vice President, Human Resources",(414) 212+-6789,4366
"SUNY Downstate Medical Center at LICH - StaffCo.339 Hicks StreetBrooklyn, NY 11201",Medical Center,Kings | WIB Name: NEW YORK CITY | Region: New York City,"1,469","1,469",3/25/2013 Amended: 11/4/2013,Layoffs are postponed to occur between 11/7/2013 and 11/20/2013,Postponed to occur between 11/7/2013 and 11/20/2013,Economic,Plant Closing,Plant Closing,"1199 SEIU United Healthcare Workers East, New York State Nurses Association, Local 30 & 30 A-B-C-D of the International Union of Operating Engineers, and Special and Superior Officers Benevolent Association","Francesca Tinti, Assistant Vice President for Human Resources",(718) 780-1500,4362
"NCO Financial Systems, Inc. 150 Crosspoint Parkway Getzville, NY 14068",Debt collection agency,Erie | WIB Name: ERIE| Region: Western Region,382,104,10/29/2013Amended: 11/4/2013,To occur  between 10/29/2013 and closing date of  1/27/2014.,1/27/2014,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist.,"Patti Greene, Employee Relations Manager",(800) 227-4000 Ext 2396,4361
"SUNY Downstate Medical Center at LICH - StaffCo.339 Hicks StreetBrooklyn, NY 11201",Medical Center,Kings | WIB Name: NEW YORK CITY| Region: New York City,1533,1533,3/25/2013Amended: 11/1/2013,Layoffs are postponed to occur between 11/7/2013 and 11/20/2013,Postponed to occur between 11/7/2013 and 11/20/2013,Economic,Plant Closing,Plant Closing,"1199 SEIU United Healthcare Workers East, New York State Nurses Association, Local 30 & 30 A-B-C-D of the International Union of Operating Engineers, and Special and Superior Officers Benevolent Association","Francesca Tinti, Assistant Vice President for Human Resources",(718) 780-1500,4359
"Sylvania Lighting Services Corp.73-06 88h StreetGlendale, NY",Lighting products,Queens | WIB Name: NEW YORK CITY| Region: New York City,47,47,11/1/2013,To commence on 2/1/2014 and continue through March of 2014,3/31/2014,Economic,Plant Closing,Plant Closing,"International Brotherhood of Electrical Workers, Local 3",Michael Amthor,(603) 767-9269,4358
"PJP Health Agency Inc.3 Huntington Quadrangle, Suite 400NMelville, NY 11747",Health Insurance Brokerage,Suffolk | WIB Name: SUFFOLK | Region: Long Island,55,55,10/29/2013,-----,10/21/2013,Loss of operating license,Plant Closing,Plant Closing,-----,"Phillip Teseo, Sr.",(631) 465-8140,4357
"Quandt's Foodservice Distributors, Inc.105 Quist Road PO Box 700Amsterdam, NY 12010",Food Service Product Distributor,Montgomery | WIB Name: FMS | Region: Mohawk Valley Region,-----,116,10/31/2013,To occur between 2/6/2014 and 2/20/2014,-----,Sale of business,Plant Layoff,Plant Layoff,Employees are not unionized and bumping rights do not exist.,"Robert S. Quandt, Chief Executive Officer",(518) 842-1550,4356
"NCO Financial Systems, Inc.150 Crosspoint ParkwayGetzville, NY 14068",Debt collection agency,Erie | WIB Name: ERIE | Region: Western Region,382,102,10/29/2013 Amended 10/31/2013,To occur between 10/29/2013 and closing date of 1/27/2014.,1/27/2014,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist.,"Patti Greene, Employee Relations Manager",(800) 227-4000 Ext 2396,4355
"Villager Construction Inc.425 Old Macedon Center Rd.Fairport, NY 14450",Construction,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,200,100,10/25/2013,will commence on 9/17/2013 and run through December,-----,Economic,Plant Layoff,Plant Layoff,No union involvement,"Casey L. Leeson, HR Manager",(585) 223-7697 x 126,4354
"NCO Financial Systems, Inc.150 Crosspoint ParkwayGetzville, NY 14068",Debt collection agency,Erie | WIB Name: ERIE | Region: Western Region,101,101,10/29/2013,To occur between 10/29/2013 and closing date of 1/27/2014.,1/27/2014,Economic,Plant Closing,Plant Closing,Bumping rights do not exist.,"Patti Greene, Employee Relations Manager",(800) 227-4000 Ext 2396,4352
"Advanced Institutional Support Services dba AdvancedMealVan Duyn Home and Hospital 5075 W. Seneca TurnpikeSyracuse, NY 13215",Food Services,Onondaga | WIB Name: ONONDAGA | Region: Central Region,58,58,9/27/2013  Amended 10/29/2013,-----,11/30/2013,Sale of business,Plant Closing,Plant Closing,Unite HERE International Union Local 150,"Jocelyn Vega, HR Operations Manager",(315) 413-3144,4351
"VNS CHOICE Community Care (VNSNY)1200 Waters PlaceBronx, NY 10461",Visiting Nurse Service,New York/Bronx/Kings/Queens | WIB Name: NEW YORK CITY| Region: New York CityOyster Bay/Hempstead | WIB Name: OYSTER BAY| Region: Long Island,-----,37,10/28/2013,1/24/2014,-----,Economic,Plant Layoff,Plant Layoff,United Federation of Teachers,"Marian Hass, Vice President, Human Resources Policy & Practice",(212) 609-7880,4350
"Visiting Nurse Service of New York Home Care (VNSNY)5 Penn PlazaNew York, NY 10001",Visiting Nurse Service,New York/Bronx/Kings/Queens | WIB Name: NEW YORK CITY| Region: New York CityOyster Bay/Hempstead | WIB Name: OYSTER BAY| Region: Long Island,-----,5,10/28/2013,1/24/2014,-----,Economic,Plant Layoff,Plant Layoff,United Federation of Teachers,"Marian Hass, Vice President, Human Resources Policy & Practice",(212) 609-7880,4349
"Lenroc, L.P. at the Holiday Inn Hotel222 S. Cayuga StreetIthaca, NY 14850",Hotel,Tompkins | WIB Name: TOMPKINS| Region: Southern Region,95,95,8/26/2013,11/22/2013,11/2/2013,Renovations to Hotel-no renovations to occur,Temporary Plant Closing,Temporary Plant Closing,Bumping rights do not exist for the affected employees as they are all non-union.,Mark Frantz,(716) 893-6551,4345
"Pfizer Inc.64 Maple StreetRouses Point, NY 12979",Pharmaceuticals,Clinton | WIB Name: C-E-F-H| Region: North Country Region,-----,37-11 non-union and 26 union,10/22/2013,36- to be separated on 1/25/2014 and one worker to be separated on 2/8/2014,12/31/2013,Economic,Plant Closing,Plant Closing,Local 95c International Chemical Workers Union/UFCW,"Elaine Reynolds, Senior Manager, Human Resources",(518) 297-1697,4344
"SUNY Downstate Medical Center at LICH - StaffCo.339 Hicks StreetBrooklyn, NY 11201",Medical Center,Kings | WIB Name: NEW YORK CITY| Region: New York City,1485,1485,3/25/2013 Amended: 10/21/2013,Layoffs are postponed to occur between 10/24/2013 and 11/06/2013,Postponed to occur between 10/24/2013 and 11/06/2013,Economic,Plant Closing,Plant Closing,"1199 SEIU United Healthcare Workers East, New York State Nurses Association, Local 30 & 30 A-B-C-D of the International Union of Operating Engineers, and Special and Superior Officers Benevolent Association","Francesca Tinti, Assistant Vice President for Human Resources",(718) 780-1500,4343
"Travelers Indemnity Company-Personal Insurance Business Center440 South Warren StreetSyracuse, NY 13202",Insurance Business Center,Onondaga | WIB Name: ONONDAGA| Region: Central Region,226,159,10/20/2013,Will commence on 1/15/2014 and continue through 9/30/2014,9/30/2014,Transferring operations from Syracuse,Plant Layoff,Plant Layoff,There are no bumping rights.,"Charles F. Collins Jr., Human Resources Director",(315) 424-5508,4342
"Bausch & Lomb Inc./Valeant PharmaceuticalsOne Bausch and & Lomb PlaceRochester, NY 14604",Optical Instrument & Lens Manufacturing including Headquarters and R&D Management/Administrative/Scientific,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,106,8/7/2013 Revised: 10/11/2013,Layoffs will commence on 11/3/2013 and run through the end of 2013,-----,Company acquisition,Plant Layoff,Plant Layoff,Employees do not belong to a bargaining unit nor do they possess bumping rights.,"Kelly Webber, Vice President, Human Resources, Valeant Pharmaceuticals",(908) 927-1710,4341
"Asteelflash US East Corporation941 State Route 38Owego, NY 13827",Drafting Services,Tioga | WIB Name: BROOME/TIOGA | Region: Southern Region,-----,34,10/18/2013,1/17/2014,-----,Economic,Plant Layoff,Plant Layoff,No bumping rights exist.,"Phung Tran, Human Resources",(919) 882-4585,4340
"TGI Friday's484 8th AvenueNew York, NY 10001",Restaurant,New York | WIB Name: NEW YORK CITY| Region: New York City,77,77,10/17/2013,-----,1/19/2014,Economic,Plant Closing,Plant Closing,These employees are not represented by a union nor by any other employee representative. No bumping rights exist among these non-union employees.,"Ms. Ann Martinez, CFO",(212) 560-1658,4339
"TLC Health Network/Lake Shore Health Care Center845 Routes 5 & 20Irving, NY 14081",Health Center,Chautauqua | WIB Name: CHAUTAUQUA| Region: Western RegionCattaraugus | WIB Name: ALL/CAT| Region: Western Region,438,438,10/17/2013,Separations will occur between 1/20/2014 and 1/31/2014.,1/31/2014,Economic,Plant Closing,Plant Closing,1199 SEIU United Health Care Workers East,"Jack Davis, SPHR, Vice President for Administrative Services",(716) 363-7260,4338
"Pan American Hotel79-00 Queens Blvd.Elmhurst, NY 11373",Hotel,Queens | WIB Name: NEW YORK CITY| Region: New York City,45,45,10/15/2013,-----,1/7/2014,Economic,Plant Closing,Plant Closing,"NY Hotel & Motel Trades Council, AFL-CIO","Joel Butnick, General Manager",(718) 446-7676,4333
"Daikin McQuay4900 Technology Park BoulevardAuburn, NY 13021",Air conditioning manufacturing,Cayuga | WIB Name: CAYUGA/CORT| Region: Central Region,307,307,6/18/2013,"Will occur in phases between 9/23/2013 and 10/4/2013 and 3/2014, 8/2014 & 12/31/2014.",12/31/2014,Economic,Plant Closing,Plant Closing,"United Steelworkers, Local 32","Elizabeth J. Hoey, Director, Human Resources",(315) 282-6296,4332
