Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Event Number,Case_ID
"GE Transportation6 Northway LaneLatham, NY 12110",Locomotive turbo charger manufacturing plant,Albany | WIB Name: CAPITAL DISTRICT | Region: Capital Region,41,41,12/16/2016,Layoffs will begin on 4/1/2017 and continue through 5/24/2017.,5/25/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Bob Castagnero, Employee Human Resource Manager",(814) 873-4087,2016-0103,5772
"PHH Mortgage Corporation1760 Wehrle DriveWilliamsville, NY 14221",Real Estate Credit,Erie | WIB Name: ERIE | Region: Western Region,254,80,12/15/2016,"The second round of layoffs is scheduled to begin within fourteen days of March 31, 2017.",During the second half of 2017.,Reduction in loan originations,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Terence P. Zirnheld, Director, HR Business Partner",(856) 917-3312,2016-0102,5771
"B.R. Guest Holdings, LLCCorporate Office315 Park Avenue South, 13th flrNew York, NY 10010","Dining, hospitality, entertainment, and gaming",New York | WIB Name: NEW YORK CITY | Region: New York City,54,54,12/5/2016,"Layoffs will occur as of date of sale, 12/5/2016 through 4/30/2017.",4/30/2017,"Due to the acquisition, buyer is closing the Corporate office headquarters.",Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Julia Liebelt, VP of Human Resources",(713) 386-7198,2016-0101,5769
"HMS Host CorporationJFK International Airport, Terminal 7Jamaica, NY 11430",Travel Dining Services,Queens | WIB Name: NEW YORK CITY | Region: New York City,122,122,12/12/2016,3/12/2017,3/12/2017,Cessation of concessionaire sublease agreement,Plant Closing,Plant Closing,UNITE HERE Local 100,"Nydia Garcia-Wayne, Human Resources Manager",(718) 995-7796,2016-0100,5768
"Executive Jet Management38 Loop RoadWhite Plains, NY 10604",Repair station and Line services for aircrafts,Westchester | WIB Name: WESTCH/PTNM | Region: Mid-Hudson Region,37,37,12/6/2016,3/20/2017,3/20/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Linda Blessing, Vice President Human Resources",(513) 979-6019,2016-0099,5767
"DSV\UTi230-39 International Airport Center Blvd., Ste 1000Springfield Gardens, NY 11413","Global, supply chain services and logistics company",Queens | WIB Name: NEW YORK CITY | Region: New York City,73,73,12/6/2016,The expected date of separation will take place between 2/1/2017 and 4/1/2017.,4/1/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Fernando Padron, Sr. Manager, Human Resources",(305) 477-6800 Ext. 4266,2016-0097,5766
"Kleer Fax, Inc.750 New Horizons Blvd.Amityville, NY 11701",Manufacuturers of Quality Office Products,Suffolk | WIB Name: SUFFOLK | Region: Long Island,70,70,12/12/2016,3/11/2017,3/11/2017,Economic,Plant Closing,Plant Closing,GCC/IBT-Local One-L,"Louis Nigro, President",(631) 225-1100 Ext. 333,2016-0098,5765
"Elmhurst Dairy, Inc. 155-25 Styler Road Jamaica, NY 11433",Dairy Plant,Queens | WIB Name: NEW YORK CITY | Region: New York City,273,273,8/1/2016  Amended: 12/2/2016,Employees will be separated during the 14-day period beginning on 10/30/2016. Nine (9) remaining employees will be separated during the 14-day period of 12/23/16 through 1/6/2017.,1/6/2017,Economic,Plant Closing,Plant Closing,"Local 553, Intrernational Brotherhood of Teamsters",Matthew Bergen,(718) 526-3442,2016-0020,5763
"NRG Energy, Inc.Dunkirk Power Plant106 Point Drive NorthDunkirk, NY 14048",Power Plant,Chautauqua | WIB Name: CHAUTAUQUA | Region: Western Region,64,64,11/18/2015 Amended: 12/2/2016,to occur between 2/22/2016 and 1/20/2017.,1/20/2017,Economic,Plant Closing,Plant Closing,International Brotherhood of Electrical Workers - Local Union 97,"Tammy Hall, Human Resources Manager",(716) 560-3451,,5762
"NRG Energy, Inc.Huntley Generating Station3500 River RoadTonawanda, NY 14150",Power Plant,Erie | WIB Name: ERIE | Region: Western Region,72,72,12/18/2015 Amended: 12/2/2016,to occur between 3/4/2016 and 11/30/2016.,11/30/2016,Economic,Plant Closing,Plant Closing,International Brotherhood of Electrical Workers - Local Union 97,"Tammy Hall, Human Resources Manager",(716) 560-3451,,5761
"General Electric Company Flight Operations169 Route 17K, Stewart International AirportNewburgh, NY 12550",Flight operations.,Orange | WIB Name: ORANGE | Region: Mid-Hudson Region,40,8,12/2/2016,3/3/2017,To be determined.,Sale of the Corporate Air Transport hangar.,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Gabriel Cassillo, Human Resources Specialist",(203) 229-3601,2016-0092,5760
"GTA Americas, LLCOperations & Finance Department5 Pennsylvania PlazaNew York, NY 10001",Provide ground travel products and services to the travel industry.,New York | WIB Name: NEW YORK CITY | Region: New York City,190,59,12/6/2016,3/6/2017,"Employee separations commence in phases during the14-day period starting on 3/6/2017, 3/31/2017, 6/30/2016, 7/31/2017 and 12/31/2017.",Outsourcing of its Operations and Finance departments.,Plant Unit Closing,Plant Unit Closing,The affected workers are not represented by a Union.,"Linda Petrone, Head of Human Resources, Americas",(212) 376-5460,2016-0096,5759
"The Resource Center701 Seneca Street, Suite 620Buffalo, NY 14210",Sewing operation manufacturing products for the military.,Buffalo | WIB Name: ERIE | Region: Western Region,57,57,12/6/2016,3/10/2017,3/10/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Leslie West, Human Resource Administrator",(716) 661-1445,2016-0095,5758
"Shiel Holdings, LLC (Shiel Medical Laboratory, a division of Fresenius Medical Care, NA)Brooklyn Navy Yard, Building 292, 63 Flushing AvenueBrooklyn, NY 11205",Medical Laboratory,Kings | WIB Name: NEW YORK CITY | Region: New York City,264,10,12/6/2016,3/7/2017,-----,"Relocation of certain functions to the Company’s facility in Rockleigh, New Jersey.",Plant Layoff,Plant Layoff,The affected workers are not represented by a Union.,"Sheryl Morgan, Director, Human Resources",(201) 767-7070,2016-0094,5757
"Café Pushkin Central LLC d/b/a Betony41 W. 57th StreetNew York, NY 10019",Restaurant business,New York | WIB Name: NEW YORK CITY | Region: New York City,70,70,11/30/2016,1/1/2017,1/1/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Eamon Rockery, General Manager of Betony",(917) 396-8886,2016-0093,5756
"EveryWare Global Inc.163-181 Kenwood AvenueOneida, NY 13421",Global marketer of tabletop and food preparation products.,Oneida | WIB Name: HMO | Region: Mohawk Valley Region,38,38,11/30/2016,"The layoffs will occur on a rolling basis on February 28, 2017, March 30, 2017, April 30, 2017, and May 15, 2017.",4/30/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Darla Carlson, Vice President, Human Resources",(740) 681-6381,2016-0090,5755
"Trilogy Spa Operations LLC d/b/a Guerlain Spa100 E 50th St.New York, NY 10022",Spa Operations,New York | WIB Name: NEW YORK CITY | Region: New York City,53,53,11/29/2016,2/28/2017,2/28/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Carina Unger Esq, Director of Human Resources & Legal Affairs",(201) 858-2127,2016-0091,5754
"Shiel Holdings, LLC (Shiel Medical Laboratory (a division of Fresenius Medical Care, NA))Brooklyn Navy Yard, Building 29263 Flushing AvenueBrooklyn, NY 11205",Medical Laboratory,Kings | WIB Name: NEW YORK CITY | Region: New York City,264,3,11/29/2016,2/28/2017,-----,"Relocation of certain functions to the Company’s facility in Rockleigh, New Jersey.",Plant Layoff,Plant Layoff,The affected workers are not represented by a Union.,"Sheryl Morgan, Director, Human Resources",(201) 767-7070,2016-0089,5752
"Charter Communications60 Columbus CircleNew York, NY 10023",Telecommunications provider,New York | WIB Name: NEW YORK CITY | Region: New York City,43,43,11/23/2016,Terminations will take place between 8/1/2016 and 12/29/2016.,12/29/2016,"Merger with Time Warner Cable, Inc.",Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Kathy Bryson, Senior Manager, Employee Services Center",(704) 206-2573,2016-0088,5749
"Marriott International, Inc. (StarLab Operations)417 5th Avenue, 9th FloorNew York, NY 10016",Office and R&D Center,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,2,11/28/2016,2/28/2017,-----,Reorganization of operations,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Jennifer Royal, Vice President, Human Resources",(203) 351-3557,2016-0087,5748
"Schnurmacher Center for Rehabilitation Nursing Home12 Tibbits AvenueWhite Plains, New York 10606",Nursing Home,Westchester | WIB Name: Westchester | Region:Mid-Hudson,235,235,3/4/2016  Amended: 11/4/2016,The effective date of the closing changed from 6/5/2016 to 11/30/2016.,11/30/2016,Sale of facility to Centers Health Care,Plant Closing,Plant Closing,"1199 National Health and Human Services Employment Union, SEIU-UHWE and New York State Nurses Association","Melissa Nagelbush, Human Resources Business Partner",(347) 978-3980,2016-0086,5746
"Beth Abraham Nursing Home612 Allerton AvenueBronx, New York 10467",Nursing Home,Bronx | WIB Name: New York City | Region: New York City,580,580,3/4/2016  Amended: 11/4/2016,The effective date of the closing changed from 6/5/2016 to 11/30/2016.,11/30/2016,Sale of facility to Centers Health Care,Plant Closing,Plant Closing,"1199 National Health and Human Services Employment Union, SEIU-UHWE and New York State Nurses Association","Melissa Nagelbush, Human Resources Business Partner",(347) 978-3980,2016-0085,5745
"Beth Abraham Nursing Home612 Allerton AvenueBronx, New York 10467",Nursing Home,Bronx | WIB Name: New York City | Region: New York City,580,580,3/4/2016,6/5/2016,6/5/2016,Sale of facility to Centers Health Care,Plant Closing,Plant Closing,"1199 National Health and Human Services Employment Union, SEIU-UHWE and New York State Nurses Association","Glenn Courounis, Chief Human Resources Officer",(718) 519-4231,2016-0085,5744
"Schnurmacher Center for Rehabilitation Nursing Home12 Tibbits AvenueWhite Plains, New York 10606",Nursing Home,Westchester | WIB Name: Westchester | Region: Mid-Hudson,235,235,3/4/2016,6/5/2016,6/5/2016,Sale of facility to Centers Health Care,Plant Closing,Plant Closing,"1199 National Health and Human Services Employment Union, SEIU-UHWE and New York State Nurses Association","Glenn Courounis, Chief Human Resources Officer",(718) 519-4231,2016-0086,5743
"Entertainment One22 Harbor Park DrivePort Washington, NY 11050",Media content and distribution company,Nassau | WIB Name: HEMPSTEAD | Region:Long Island,65,65,11/17/2016,Layoffs will begin on 12/31/2016 and end approximately in June 2017.,June 2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,Michele Koch,(516) 484-1000 ext. 5173,2016-0084,5741
"Dickard Widder Industries56-02 Maspeth AvenueMaspeth, NY 11378",Sample Card Manufacturer,Queens | WIB Name: NEW YORK CITY | Region: New York City,94,94,11/8/2016,2/11/2017,2/11/2017,Ecomonic,Plant Closing,Plant Closing,United Steelworkers (USW) AFL-CIO,Irina Shumilin,(718) 416-7526,2016-0083,5740
"Pfizer, Inc. 64 Maple Street Rouses Point, NY 12979",Pharmaceuticals (production),Clinton | WIB Name: C-E-F-H | Region: North Country  Region,-----,8,9/23/2016,12/23/2016,December 2017,Economic,Plant Closing,Plant Closing,Local 95c ICWU/UFCW,"Mariana Arteaga, Human Resources Director",(845) 602-3611,2016-0082,5739
"Yeshiva University - Israel Henry Beren Campus Technology Services Division 245 Lexington Avenue New York, NY 10016",Informational Technology Services,New York | WIB Name: NEW YORK CITY | Region:New York City,52 total affected workers,4,11/14/2016,Layoffs will occur during the 14-day period starting on 2/17/2017.,2/17/2017,Outsourcing services,Plant Closing,Plant Closing,None of the affected workers are represented by a union.,"Julie Auster, Chief Human Resources Officer",(646) 592-4333,2016-0078,5738
"MGS Mfg. Group, Inc. - Buffalo Division2400 Walden Ave.Buffalo, NY 14225",Injection molding facility,Erie | WIB Name: ERIE | Region: Western Region,62,62,11/16/2016,14-day period beginning on 2/14/2017,2/14/2017,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a Union.,"Patti Fales, Human Resources Manager",(716) 686-7231,2016-0077,5737
"Waldorf Astoria - New York301 Park AvenueNew York, NY 10022",Hotel,New York | WIB Name: NEW YORK CITY | Region: New York City,"1,441","1,441",11/14/2016,3/1/2017,3/1/2017,The building will be renovated into a smaller hotel and a condominium complex.,Plant Closing,Plant Closing,"New York Hotel & Motel Trades Council, AFL-CIO","Vicente Jaramillo, Director of Human Resources",(212) 312-2161,2016-0076,5736
"Elmhurst Dairy, Inc.155-25 Styler RoadJamaica, NY 11433",Dairy Plant,Queens | WIB Name: NEW YORK CITY | Region: New York City,273,273,8/1/2016Amended: 11/11/2016,"The separation for the remaining 11 employees will be postponed for purposes of winding down operations. As a result, seven employees will be separated during the 14 day period of 11/18/2016 through 12/2/2016, while the remaining four employees will be separated during the 14 day period of 12/23/16 through 1/6/2017.",1/6/2017,Economic,Plant Closing,Plant Closing,"Local 553, Intrernational Brotherhood of Teamsters",Matthew Bergen,(718) 526-3442,2016-0020,5735
"New York Life Insurance Company-Information Technology and Finance OperationsOne Rockwood RoadSleepy Hollow, NY 10591",Information Technology and Fincance,Westchester | WIB Name: WESTCHESTER| Region: Mid-Hudson Region,-----,45,11/4/2016,Layoffs will begin on 2/17/2017 and run through 3/2/2018.,-----,Relocate and/or Outsource some IT and Finance functions.,Plant Layoff,Plant Layoff,The affected workers are not represented by a Union.,"Donald P. Vandergrift, Jr. , VP of Human Resources",(212) 576-6598,2016-0075,5733
"Caire, Inc.500 Commerce DriveAmherst, NY 14228",Respiratory Products Manufacturer,Erie | WIB Name: ERIE | Region: Western Region,142,142,11/9/2016,Layoffs will occur during the 14-day period starting on 2/10/2017 and will run through 11/1/2017.,11/1/2017,Consolidation of operations to Georgia,Plant Closing,Plant Closing,None of the affected workers are represented by a union.,"Gina Orsini, Sr. HR Business Partner",(716) 691-0202,2016-0074,5732
"Esplanade of White Plains Venture Partnership d/b/a The Esplanade 95 South BroadwayWhite Plains, NY 10601",Senior Residences,Westchester | WIB Name: WESTCH/PTNM | Region: Mid-Hudson Region,65,65,4/15/2016Amended: 11/7/2016,14-day period beginning on 7/14/2016 (1 layoff extended from 14-day period starting on 10/25/2016 to 14-day period commencing on 3/31/2017).,TBD,Multi year overhaul of building,Plant Closing,Plant Closing,UNITE HERE Local 100,"Joseph Kaufman, Controller",(914) 761-8100 ext 7124,,5731
"Amertex Textile Services, Inc.231 Rider AvenueBronx, NY 10451",Laundry Service,Bronx | WIB Name: NEW YORK CITY | Region: New York City,58,58,5/8/2015  Amended: 11/8/2016,Layoffs postponed from 11/16/2016 to 12/5/2016. Some employees will remain after 12/5/2016 to wind down operations.,12/5/2016,Economic,Plant Closing,Plant Closing,Laundry Distribution and Food Service Joint Board,"Michael Newby, President",(718) 665-2225,,5730
"Morrison Management Specialists, Inc. (Morrison Community Living at Genesee County Nursing Home)278 Bank StreetBatavia, NY 14020",Food services,Genesee | WIB Name: GLOW | Region: Finger Lakes Region,46,46,11/1/2016,TBD,TBD,Potential loss of food services contract due to pending sale of Genesee County Nursing Home.,Possible Plant Closing,Possible Plant Closing,The affected workers are not represented by a union.,"Denise Swedish, Field HR Consultant, Compass Group USA, Inc.",(518) 235-9165,2016-0073,5729
"Symrise, Inc.45 Leone LaneChester, NY 10918",Fragrance Manufacturing facility,Orange | WIB Name: ORANGE | Region: Mid-Hudson Region,36,36,10/31/2016,2/1/2017,TBD,Consolidation of Operations to New Jersey facility,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Bill Ruby, V.P. Human Resources, N.A.",(201) 462-5555,2016-0072,5728
"People's United Bank N.A. (Suffolk County National Bank)4 West Second StreetRiverhead, NY 11901",Bank,Suffolk | WIB Name: SUFFOLK | Region: Long Island,76 total affected at both sites,65,10/28/2016,"Separations will occur during the 14-day period beginning on January 26, 2017.",-----,"People’s United Financial, Inc., the holding company for People’s United Bank, N.A. is acquiring Suffolk Bancorp, the holding company for Suffolk County National Bank.",Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Kathleen Spellman, Human Resources Manager",(631) 208-2314,2016-0070,5721
"Eastman Kodak Company (Kodak Office)343 State StreetRochester, NY 14650",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,5,10/25/2016,1/22/2017,-----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,2016-0069,5720
"Trusted Media Brands, Inc.(Studio Fun International US Operations)44 South Broadway, 7th FloorWhite Plains, NY 10601",Media and direct marketing,Westchester | WIB Name: WESTCH/PTNM | Region: Mid-Hudson Region,31,31,7/21/2016 Amended: 10/24/2016,Separations will occur commencing on 10/21/2016 and run through 4/30/2017.,4/30/2017,"Sale of certain assets to Readerlink Distribution Services, LLC",Plant Closing,Plant Closing,The affected employees are not represented by any union.,Heather Schwartz,(914) 244-5334,2016-0008,5719
"American Capital, Ltd.505 Fifth AvenueNew York, NY 10017",Asset management and private equity firm,New York | WIB Name: NEW YORK CITY | Region: New York City,53,53,8/31/2016 Amended: 10/24/2016,Layoffs postponed from 14-day period starting on 12/1/2016 to 14-day period starting on 1/1/2017.,12/14/2016,Merger,Plant Closing,Plant Closing,None of the affected workers are represented by a union.,"Dana M. Smith, Chief Human Resources Officer",(301) 841-1371,2016-0037,5718
"Triumph Structures - Long Island, LLC717 Main StreetWestbury, NY 11590",Aerospace structural products manufacturer,Nassau | WIB Name: HEMPSTEAD | Region: Long Island,90,90,10/24/2016,Layoffs will begin on 1/15/2017 and run through the closing date.,8/15/2017,Consolidation of operations,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Alesia Campanile, HR Manager",(516) 997-5757,2016-0068,5717
"Phoenix House Foundation, Inc. and Phoenix Houses of New York, Inc.42-50 Jay StreetBrooklyn, NY 11201",Drug Rehabilitation - Clinical Unit,Kings | WIB Name: NEW YORK CITY | Region: New York City,109,6,10/21/2016,1/19/2017,1/19/2017,Operational Changes,Plant Unit Closing,Plant Unit Closing,The affected workers are not represented by a union.,"Mark G. White, VP Director of Human Resources",(718) 222-6649,2016-0067,5716
"Berry Plastics Corporation3565 Chadwick DriveDunkirk, NY 14048",Plastic packaging and protection products,Chautauqua | WIB Name: CHAUTAUQUA | Region: Western Region,54,54,7/12/2016  Amended: 10/24/2016,12/2/2016 (a few employees will remain beyond this date to meet customer needs),12/2/2016,Transfer of manufacturing operations,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Janet Szymanski, Human Resources Manager",(716) 363-8704,2016-0004,5715
"Goldman, Sachs & Co.200 West StreetNew York, NY 10282",Investment Brokerage/Dealer,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,20,10/21/2016,Terminations will take place between 11/7/2016 and 1/5/2017.,-----,Economic,Plant Layoff,Plant Layoff,None of the affected workers are represented by a union.,"Gena Palumbo, Managing Director & Associate General Counsel",(212) 357-2191,2016-0066,5714
"Verizon Wireless (Call Center)2000 Corporate DriveOrangeburg, NY 10962",Telesales - Call Center,Rockland | WIB Name: ROCKLAND | Region: Mid-Hudson Region,724,259,10/14/2016,Two (2) Recruiter jobs will be terminated on 1/13/2017 and all other non-recruiting jobs will be terminated on or within 14 days after 6/1/2017.,6/14/2017,Consolidation of Operations,Plant Unit Closing,Plant Unit Closing,The affected workers are not represented by a union.,Eileen Lambert,(845) 365-7395,2016-0065,5712
"Verizon Wireless (Call Center)133 Calkins RoadRochester, NY 14623",Customer Service Call Center,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,763,648,10/14/2016,One (1) Recruiter job will be terminated on 1/13/2017 and all other non-recruiting jobs will be terminated on or within 14 days after 1/28/2017.,2/12/2017,Consolidation of Operations,Plant Unit Closing,Plant Unit Closing,The affected workers are not represented by a union.,Harry Furlow,(615) 372-2080,2016-0064,5711
"Catholic Charities Neighborhood Services, Inc.OPWDD Residences and Day Habilitation ProgramsProgram Administration & Relief Pool, 225 Brooklyn AvenueBrooklyn, NY 11213",OPWDD Residences and Day Habilitation Programs,Kings/Queens | WIB Name: NEW YORK CITY| Region: New York City,91,91,6/30/2016,9/30/2016,9/30/2016,Transfer of operations to Cerebral Palsy Associations of NYS,Plant Closing,Plant Closing,"District Council 1707, AFSCME AFL-CIO, UFCW Local 888","Jacqueline Gibbons, Senior Vice Preident of Human Resources",(718) 722-6181,2015-0401,5710
"Eastman Kodak Company (Rochester Tech Park)789 Elmgrove Road, Building 9Rochester, NY 14624",Photographic equipment and Supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,10/7/2016,1/4/2017,-----,Economic,Plant Layoff,Plant Layoff,The affected worker is not represented by a union.,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,2016-0063,5709
"Perry Capital767 Fifth Avenue, Floor 20New York, NY 10153",Stock Brocker & Dealer,New York | WIB Name: NEW YORK CITY | Region: New York City,58,32,10/11/2016,"Eighteen individuals are being separated on 10/31/2016, and 14 are being separated on 12/31/2016.",The final closing of Perry Capital is not anticipated for at least a year.,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Brian Shanly, Co-Chief Financial Officer",(212) 583-4092,2016-0062,5708
"A&P Coat, Apron & Linen Supply dba Unitex Textile Rental Services192 Mohagen AvenueMiddletown, NY 10940",Healthcare uniform and linen rental company and laundry and linen services,Orange | WIB Name: ORANGE | Region: Mid-Hudson Region,65,65,10/7/2016,1/7/2017,1/7/2017,Economic,Plant Closing,Plant Closing,Workers United,"Robert Potack, VP Operations",(914) 840-3242,2016-0060,5707
"Data Listing Services (Jamestown), LLC dba The Connection1010 Wayne StreetOlean, NY 14760",Call Center,Cattaraugus | WIB Name: ALL/CAT | Region: Western Region,-----,147 (It Works Group and some support staff),10/10/2016,1/8/2017,-----,Loss of Contract,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Cyndi McDurmott, Vice President, Human Resources",(952) 948-5353,2016-0061,5705
"Eastman Kodak Company (Kodak Research Labs)1999 Lake AvenueRochester, NY 14650",Photographic equipment and Supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,10/3/2016,12/31/2016,-----,Economic,Plant Layoff,Plant Layoff,The affected worker is not represented by a union.,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,2016-0059,5704
"Professional Charter Service, Inc.2350 Hermany AvenueBronx, NY 10473",Charter Bus Service,Bronx and Kings | WIB Name: NEW YORK CITY | Region: New York City,57,6,9/30/2016,12/31/2016,-----,Economic,Plant Layoff,Plant Layoff,"International Brotherhood of Teamsters, Local Union No. 553","Joseph Antoci, Personnel Manager",(718) 346-9600 x270,2016-0057,5703
"Sears Holdings Corporation (Kmart Unit 4176)2055 Walden AvenueCheektowaga, NY 14225",Department Store,Erie | WIB Name: ERIE | Region: Western Region,101,101,9/16/2016,All employee separations are expected to occur during the 14-day period commencing on 12/14/2016.,12/27/2016,Economic,Plant Closing,Plant Closing,None of the affected workers are represented by a union.,"Mike Smith, Regional HR Director",(847) 286-5904,2016-0055,5702
"Sears Holdings Corporation (Kmart Unit 3521)33 West State StreetBinghamton, NY 13901",Department Store,Broome | WIB Name: BROOME/TIOGA | Region: Southern Region,69,69,9/16/2016,All employee separations are expected to occur during the 14-day period commencing on 12/14/2016.,12/27/2016,Economic,Plant Closing,Plant Closing,The affected workers are not represented by a union.,"Mike Smith, Regional HR Director",(847) 286-5904,2016-0054,5701
"Rowab Enterprise Ltd. d/b/a Carnegie Deli854 7th AvenueNew York, NY 10019",Restaurant,New York | WIB Name: NEW YORK CITY | Region: New York City,58,58,9/30/2016,12/31/2016,12/31/2016,Economic,Plant Closing,Plant Closing,"Unite Here Local 100, Food Service Division","Gisela Moreno, Human Resources Director",(212) 757-2245,2016-0056,5700
