Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
,AIRPORT GROUND SERVICES,,73,73,2/3/05 Control Number: 2004-103,3/1/05,3/1/05,ECONOMIC- SALE OF ASSETS,PLANT CLOSING,UNIT CLOSING,"AI&TNW , LO. 223; ROCCO MIRANTI",SAM KWAK 718 244-0900,,1054
,MANUFACTURE OF VINYL RECORDS,,151,151,2/4/05 Control Number: 2004-104,4/805,5/6/05,ECONOMIC,PLANT CLOSING,CLOSING,"UNITE, LO. 348",KATHY YOUNG 317 595-5273,,1055
,HOSPITAL,,---,151,2/4/05 Control Number: 2004-104,4/8/05,---,ECONOMIC,OTHER,LAYOFF,AFSME;UFCW,JO ANN GONZALEZ 212 886-4060,,1056
SODEXHO,FOOD SERVICE,NEW YORK | WIB: NEW YORK CITY | Region: NEW YORK CITY,45,45,2/11/2005 Control Number: 2004-106,3/11/2005,3/11/2005,ECONOMIC,OTHER,3 UNIT CLOSINGS,,CHRISTINE MURPHY Phone: 781 372-6138,,1060
,MFG. OF PLASTIC CUPS; FOOD SERVICES,,58,58,2/14/05 Control Number: 2004-109,BY 12/31/05,BY 12/31/05,ECONOMIC,PLANT CLOSING,CLOSING,---,"GEOFF GAILEY, VPHR 800 323-4067",,1061
,MUSIC STORE,,Approx. 30+,Approx. 30 +,2/14/05 Control Number: 2004-111,by 4/24/05,by 4/24/05,ECONOMIC,OTHER,CLOSING,---,"JIM POOLE, VP, FINANCE; 315 652-4326",,1062
,MFG. OF OFFICE PAPER SUPPLIES,,APPROX. 200+,APPROX. 200+,2/14/05 Control Number: 2004-110,3/31/05,3/31/05,SALE OF THE BUILDING,PLANT CLOSING,CLOSING,"PS & PPU, LO. 447; JOHN HALL",KEN BERNSTEIN 212 315-4700,,1063
,COMMUNICATIONS,,--,22,2/18/05 Control Number: 2004-112,2/15/05,---,ECONOMIC,OTHER,LAYOFF OF CUSTOMER CARE MANAGERS,--,RALPH SCARPELLI - 973 326-4548,,1068
SPHERION ATLANTIC WORKFORCE LLC,STAFFING SERVICES,WESTCHESTER | WIB: WESTCH/PTNM | Region: HUDSON VALLEY,175,0,2/23/2005 Control Number: 2004-113,4/1/2005,---,"IBM, WHICH CONTRACTS WITH SPHERION FOR STAFFING SERVICES, HAS DECIDED TO NOW CONTRACT WITH MANPOWER.. MANPOWER IS",CONDITIONAL NOTICE,CHANGING OF STAFFING PROVIDER,,"MARK HARTUNG, MGR. HR; 954 308-4474",,1069
"DONNKENNY APPAREL, INC.",APPAREL,NEW YORK | WIB: NEW YORK CITY | Region: NEW YORK CITY,77,77,2/23/2005 Control Number: 2004-114,4/1/2005,4/29/2005,BANKRUPTCY,PLANT CLOSING,CLOSING,,"LYNN GOLUBCHIK, VPHR",212 790-3964,1070
,AIRLINE,,---,14 (1 PILOT AND 13 FLIGHT ATTENDANTS),2/25/05 Control Number: 2004-115,4/26/05,---,C-11 BANKRUPTCY,OTHER,REDUCTION IN FLIGHT SCHEDULE,AFA,"BRIAN T. HUNT, SR. VP.; 317 247-2000",,1073
ONEIDA LTD.,MANUFACTURE OF TABLEWARE,ONEIDA | SSA Name: HMO | Region: CENTRAL REGION,375,Unknown at this time,"11/30/2004 Control Number: 2004-076, 077 2004-076",---,---,Now this dislocation may be averted.,CONDITIONAL NOTICE,CONDITIONAL NOTIFICATION,,WILBER ALLEN; 315 361-3943,,1074
JOHNSON OUTDOORS (Brand Name - Eureka),MFG. OF OUTDOOR EQUIPMENT - TENTS AND SEASONAL STRUCTURES,BROOME | WIB: BROOME/TIOGA | Region: SOUTHERN TIER,245,70 - 90,3/2/2005 Control Number: 2004-116,4/29 - 5/12/2005,---,ECONOMIC - The layoffs are because of the uncertain nature of the,MASS LAYOFF,LAYOFF,,"JANET M. KLOOS, DIR.H.R.",607 779-2200,1075
THE PLAZA HOTEL,HOTEL,NEW YORK | WIB: NEW YORK CITY | Region: NEW YORK CITY,946,946,3/2/2005 Control Number: 2004-117,4/30/2005,4/30/2005,ECONOMIC,PLANT CLOSING,CLOSING,NYH&MTC; HEREIU,"GARY SCHWEIKERT, 212 546-5323",,1076
USA MOBILITY,WIRELESS COMMUNICATION,LATHAM | WIB: CAPITAL DISTRICT | Region: CAPITAL DISTRICT,89,89,3/3/2005 Control Number: 2004-118,BEGINNING 5/9/2005,TO BE DETERMINED,MERGER - COMPANY FORMERLY KNOWN AS,,CLOSING,,"DOUG MERTES , DIR. H.R.",703 660-6677,1078
"HS SYSTEMS, INC.",HEALTH EVALUATIONS,NEW YORK | WIB: NEW YORK CITY | Region: NEW YORK CITY,149,0,3/7/2005 Control Number: 2004-119,To be determined,---,LOSS OF CONTRACT - Their contract to provide diagnostic and health evaluations for NYC has not been renewed. It is yet to be determined how many will be laid off.,CONDITIONAL,POSSIBLE DISLOCATION,,"YVONNE PORTER, DIR HR; 212 664-1590",,1079
CABLEVISION SYSTEMS CORPORATION,DIRECT BROADCAST SATELLITE,NASSAU | WIB: HEMPSTEAD | Region: LONG ISLAND,347,347,3/7/2005 Control Number: 2004-120,3/4/2005,3/31/2005,ECONOMIC,PLANT CLOSING,CLOSINGS,,"THOMAS M. RUTLEDGE, CEO; 516 803-1010",,1080
FELIX SCHOELLER TECHNICAL PAPERS,PHOTOGRAPHIC AND SPECIALTY PAPERS,OSWEGO | WIB: OSWEGO | Region: CENTRAL REGION,196,160,3/11/2005 Control Number: 2004-w121,BEGINNING 5/13/2005,12/31/2005,ECONOMIC,MASS LAYOFF,LAYOFF,,ROGER D. WOODS,315 298-8400,1081
,LAW FIRM,,170,170,3/11/2005 Control Number: 2004-122,BEGINNING 4/1/2005,4/14/2005,“ UNFORSEEN BUSINESS CIRCUMSTANCES”,PLANT CLOSING (UNIT),UNIT CLOSING,,"MARK ATKINSON, DIR.H.R.",214 661-1435,1082
,BUS COMPANIES,,APPROX. 1285,0,3/15/2005 Control Number: 2004-123,---,---,"FUNDING: In the event the City of New York does not adjust the funding of these operations and extend the operating authority of the bus companies, there could be layoffs and/or closings on May 1, 2005.",CONDITIONAL,CONDITIONAL NOTICE,,JEROME COOPER,718 526-0800,1084
"MERIDIAN AUTOMOTIVE SYSTEMS, INC.",AUTOMOTIVE,ONTARIO | WIB: FINGER LAKES | Region: FINGER LAKES,---,92,3/15/2005 Control Number: 2004-124,5/13/2005 - 9/15/05,---,ECONOMIC,LAYOFF,LAYOFF,,"DICK VAN MANEN, GE. MGR. Phone: 585 396-7075",,1085
"TOOTSIE ROLL INDUSTRIES, INC.",MFG. OF CANDY,NEW YORK | WIB: NEW YORK CITY | Region: NEW YORK CITY,73,73,3/15/2005 Control Number: 2004-125,5/5/2005,5/5/2005,ECONOMIC,PLANT CLOSING,CLOSING,"BCTGM IU, LO 102","JOHN GRODOSKI, DIR. H.R.",773 838-3574,1086
UNIPRISE (UNITEDHEALTH GROUP),INSURANCE,ONEIDA | WIB: HMO | Region: CENTRAL REGION,---,195,3/5/2005 Control Number: 2004-126,5/13/2005,---,ECONOMIC -,LAYOFF,LAYOFF,,MARK BACOM,713 596-1684,1088
GENZYME GENETICS,MEDICAL PRODUCTS AND SERVICES,NEW YORK | WIB: NEW YORK CITY | Region: NEW YORK CITY,60,60,3/17/2005 Control Number: 2004-127,4/29/2005,8/31/2005,ECONOMIC - closing of the Reimbursement unit,PLANT CLOSING (UNIT ),UNIT CLOSING,,DEBORA SHAPIRO Phone: 508 389-6622,,1089
STURTEVANT MILLWORK CORP.,"MFG. OF DOORS, WINDOWS, MOULDINGS, ETC.",SUFFOLK | WIB: SUFFOLK | Region: LONG ISLAND,40,40,3/18/2005 Control Number: 2004-128,5/16/2005,5/16/2005,ECONOMIC,,CLOSING,,KEVIN FITZPATRICK,631 667-6400,1092
"EDWARD FIELDS, INC.",RETAIL,QUEENS | WIB: NEW YORK CITY | Region: NEW YORK CITY,67,67,3/25/2005 Control Number: 2004-129,5/20/2005,TO BE DETERMINED,ECONOMIC,PLANT CLOSING,CLOSING,,JOEL LAZAR,718 961-6280,1093
LONG ISLAND MORTGAGE GROUP,MORTGAGE,SUFFOLK | WIB: SUFFOLK | Region: LONG ISLAND,63,63,4/1/2005 Control Number: 2004-130,5/31/2005,5/31/2005,ECONOMIC,PLANT CLOSING,UNIT CLOSING,,CARRIE GOUDY,904 928-1199,1100
,,,,,,,,,,,,,,1102
"DELAVAN INDUSTRIES, INC.",AUTOMOTIVE,ERIE | WIB: ERIE | Region: WESTERN REGION,---,68,4/5/2005 Control Number: 2004-133,5/29/2005,---,ECONOMIC,OTHER,LAYOFF,"UAW, LO. 55; PAUL SYZMANSKI",MICHAEL BEVILACQUA,716 677-4080,1103
IVY HILL CORPORATION,MULTIMEDIA,SUFFOLK | WIB: SUFFOLK | Region: LONG ISLAND,115,115,4/7/2005 Control Number: 2004-134,4/6/2005,4/6/2005,ECONOMIC,PLANT CLOSING,CLOSINGS,,SCOTT APEL,570 383-3501,1104
MERIDIAN AUTOMOTIVE SYSTEMS,AUTOMOTIVE,ONTARIO | WIB: FINGER LAKES | Region: FINGER LAKES,---,92,4/7/2005 Control Number: 2004-W135,5/13/2005 THRU 9/15/05,N/A,ECONOMIC,LAYOFF,LAYOFF,"UAW, LO. 3034",DICK VAN MANEN Phone: 585 396-7075,,1105
TRANSPRO. INC.,MFG. OF AUTO PARTS,ERIE | WIB: ERIE | Region: WESTERN REGION,47,47,4/12/2005 Control Number: 2004-135,6/3/2005,7/15/2005,ECONOMIC - All aluminum heater production will be moved to their facility in Mexico.,OTHER,UNIT CLOSING,,"JEFF JACKSON, VPHR",203 859-3562,1111
INGRAM MICRO,BUSINESS MANAGEMENT,ERIE | WIB: ERIE | Region: WESTERN REGION,---,128,4/12/2005 Control Number: 2004-136,4/11/2005 THRU 1/27/06,N/A,ECONOMIC,OTHER,LAYOFF,NONE,"JEFF STREB, SR. HR CONSULTANT, 716 633-3600",,1112
MELROSE HOTEL,HOTEL,NEW YORK | WIB: NEW YORK CITY | Region: NEW YORK CITY,162,162,4/13/2005 Control Number: 2004-137,6/30/2005,6/30/05,ECONOMIC,PLANT CLOSING,CONVERSION OF HOTEL OPERATIONS TO CONDOMINIUMS,"NYHMTC, AFL/CIO","BARRY HOWARD, EXEC. V.P.",215 575-2419,1113
WEST VALLEY NUCLEAR SERVICES CO.,NUCLEAR,CATTARAGUS | WIB: ALL/CAT | Region: WESTERN REGION,---,TO BE DETERMINED - the first phase of the reduction will be a “Self-Select Program” which gives salried employees the opportunity to voluntarily leave the company and receive full separation benefits.,4/13/2005 Control Number: 2004-138,Beginning 6/14/2005,N/A,ECONOMIC,OTHER,REDUCTION,,"TONI SAWYER , 716 942-4949",,1114
ABD INTL. INC.,PRINTING,MONROE | WIB: MONROE | Region: FINGER LAKES,50,50,4/15/2005 Control Number: 2004-139,BEGINNING 6/17/2005,8/31/2005,ECONOMIC,PLANT CLOSING,CLOSING,,"CATHLEEN CAVANNA, DIR.H.R.",603 594-8585,1120
NEW YORK BUS SERVICE,TRANSPORTATION,BRONX | WIB: NEW YORK CITY | Region: NEW YORK CITY,---,563,4/20/2005 Control Number: 2004-140,6/30/2005,---,ECONOMIC - Layoff due to the termination of school bus service and the,MASS LAYOFF,LAYOFF,,"JIM O'REILLY, PRES.",718 994-5500,1122
MENORAH HOME AND HOSPITAL,NURSING HOME,KINGS | WIB: NEW YORK CITY | Region: NEW YORK CITY,183,183,4/21/2005 Control Number: 2004-141,6/20/2005,6/20/2005,ECONOMIC,PLANT CLOSING,CLOSING,SEIU 1199 - BUMPING RIGHTS EXIST TO THE MANHATTAN BEACH FACILITY,DEBORAH ABELOW,718 443-3000,1127
ROCHESTER LEADERSHIP ACADEMY,SCHOOL,MONROE CO./ FINGER LAKES REGION,62,62,4/26/2005 Control Number: 2004-142,6/17/2005,8/20/2005,ECONOMIC,PLANT CLOSING,CLOSING,,PETER G. RUPPERT,585 594-6308,1129
"NORSTAN APPAREL SHOPS, INC.",APPAREL,QUEENS | WIB: NEW YORK CITY | Region: NEW YORK CITY,82,82,5/2/2005 Control Number: 2004-143,6/30/2005,6/30/2005,ECONOMIC,PLANT CLOSING,CLOSING,"UNITE, LO 99","MICHAEL J. KNATZ, CFO; 718 7865959",,1130
EDISON SCHOOLS,SCHOOL,MONROE | WIB: MONROE | Region: FINGER LAKES,238,238,5/2/2005 Control Number: 2004-144,6/30/2005,6/30/2005,Revocation of the school’s charter by NYS Charter Schools Institute,,CLOSING,,MICHAEL DRUHOT; 212 419-1865,,1131
DIAM USA,SELLS DISPLAYS AND RETAIL FIXTURES,QUEENS | WIB: NEW YORK CITY | Region: NEW YORK CITY,124,124,"5/2/2005 Control Number: 2004-145, 2004-146",6/30/2005,6/30/2005,ECONOMIC,PLANT CLOSING,2 CLOSINGS,"UBC, LO 2682","SCOTT KATCHER, VP; 718 316-6328",,1132
BUFFALO CHINA,MFG. OF DINNERWARE,ERIE | WIB: ERIE | Region: WESTERN REGION,55,55,"5/3/2005 Control Number: 2004-147, 148",7/31/2005,7/31/2005,ECONOMIC (The main plant closed in March -this is for the 2 warehouses),PLANT CLOSING,2 WAREHOUSE CLOSINGS,,WILBER ALLEN ; 315 361-3943,,1133
SEAMAN'S FURNITURE,FURNITURE,SUFFOLK | WIB: SUFFOLK | Region: LONG ISLAND,80,80,5/4/2005 Control Number: 2004-149,7/1/2005,7/1/2005,ECONOMIC,PLANT CLOSING,DISTRIBUTION FACILITY CLOSING,"IBT, LO 810",MICHAEL RUDMAN; 516 496-9560,,1134
VICTORIA CLASSICS,HOME FASHIONS,NEW YORK | WIB: NEW YORK CITY | Region: NEW YORK CITY,61,61,5/5/2005 Control Number: 2004-150,7/31/2005,7/31/2005,RELOCATION OF OPERATIONS TO NEW JERSEY-,PLANT CLOSING,CLOSING/ RELOCATION,,HASKEL JOE COHEN; 212 213-1828,,1136
TD WATERHOUSE INVESTOR SERVICES,BUSINESS SERVICES,NEW YORK | WIB: NEW YORK CITY | Region: NEW YORK CITY,218,55,5/9/2005 Control Number: 2004-151,5/30/2005,7/2/2005,Some operations are being outsourced. AFFECTED EMPLOYEES WILL BE PAID WARN PAY THRU JULY 2 PER EMPLOYER.,MASS LAYOFF,2 DISLOCATIONS,,"JESSICA BEDNAROVSKY, VPHR",212 908-7424,1137
"WARD PRODUCTS, LLC","CABLE, AUTO PARTS MANUFACTURING",MONTGOMERY | WIB: FMS | Region: CENTRAL REGION,247,160,5/10/2005 Control Number: 2004-153,7/8/2005 - 1/15/2006,N/A,ECONOMIC : Suspension of the cable assembly operations - other operations will remain in the Amsterdam plant.,MASS LAYOFF,LAYOFF,"IBEW, LO. 1968, ANDREW BUBNIAK- There are union bumping rights.","LARRY BODDEN, SR.V.P.",732 846-7515,1138
RICH PRODUCTS CORPORATION - RICH'S,DAIRY,ERIE | WIB: ERIE | Region: WESTERN REGION,---,127,5/11/2005 Control Number: 2004-154,7/1/2005,---,ECONOMIC,LAYOFF,LAYOFF,"BCTW AND GMIU, LO 110- GARY BAZINET -There are bumping rights and severance benefits.","SIL DAN, HR MGR., 716 878-8894",,1139
