Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Case_ID
"MCCADAM CHEESE CO., INC.
  14 ANNETTE ST.
  HEUVELTON, NY 13654
  County: ST. LAWRENCE | SSA Name: ST LAWRENCE | Region: CAPITAL DISTRICT",MANUFACTURE OF CHEESE,,82,82,,3/31/2003,3/31/2003,"SALE OF TWO SITES; this plant is closing and the one 
  below
  (the Chateaugay site) will be sold to Cabot, VT and remain open. The purchaser
  may re-employ the workers, but there is no guarantee.",PLANT CLOSING,SALE OF TWO FACILITIES,"TEAMSTERS LO. 687, 14 ELM ST., POTSDAM, NY 13676; FRED CARTER, PRES.","BRIAN LEE, PRESIDENT, 315 344-2441",528
"ERICSSON INC.
  49 WIRELESS BLVD.
  HAUPPAUGE, NY 
  County: SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND",WIRELESS COMMUNICATION,,260,93,,"1/30/2003 (Actual layoff date was 11/19- Warn pay give in lieu 
  of notice)",N/A,SALE,MASS LAYOFF,PENDING SALE,,"LAURA BIDERMAN, 631 357-8400 OR CAROL DARLING, ESQ.",526
"XEROX CORPORATION
  800 PHILLIPS ROAD
  WEBSTER, NY 
  County: MONROE | SSA Name: MONROE | Region: FINGER LAKES",MANUFACTURE OF PHOTOGRAPHIC EQUIPMENT,,6958,369,,11/5/2002,N/A,ECONOMIC,OTHER,LAYOFFS AT 2 LOCATIONS,,GAIL MURRAY 585 737-7653,522
"NEW YORK BUS TOURS, INC. (NY Bus Service)
  INTERSTATE 95 AT EXIT 13
  BRONX, NY 10475
  County: BRONX | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",TRANSPORTATION,,546,231,,1/12/2003,n/a,"ECONOMIC- loss of funding. The employer states: ""…the 
  company was compelled to take this action because of the failure
  of the City of New York to fund the express bus service operation as agreed.""
  They further state that they are prepared to bargain upon request with representatives
  of the TWU, Lo. 100 concerning the impact of the termination of its members
  in accordance with the National Labor Relations Act.",MASS LAYOFF,"TERMINATION OF THE EXPRESS BUS SERVICE
  FROM THE BRONX TO MANHATTAN","Transport Workers Union of America, Local 100","JIM O'REILLY, PRESIDENT, 718 994-6927",520
"KMART CORPORATION
  3195 SOUTHWESTERN BLVD.
  ORCHARD PARK, NY 
  County: ERIE | SSA Name: ERIE | Region: WESTERN REGION",RETAIL STORE,,100,100,,1/15/2003,1/15/2003,ECONOMIC,PLANT CLOSING,STORE CLOSING,,DAVE LANNI Phone: 248 463-1000,519
"QUALITY HOUSE OF GRAPHICS
  47-47 VAN DAM STREET
  LIC, NY 11101
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",PRINTING,,141,141,,1/17/2003,1/17/2003,ECONOMIC,PLANT CLOSING,CLOSING,"ALA, LO. 1, PATRICK LOPRESTI, PRESIDENT","DOUG SCHARA OR JOHN ASLANIAN, PRESIDENT 718 784-7400",518
"ITT INDUSTRIES, INC.
  30 PIXLEY INDUSTRIAL PKY.
  ROCHESTER, NY 14624
  County: ROCHESTER | SSA Name: MONROE | Region: FINGER LAKES",MANUFACTURE OF AUTOMOBILE PARTS,,95,95,,2/15/2003,7/1/2003,ECONOMIC,PLANT CLOSING,CLOSING DUE TO PRODUCTION SHIFT TO MEXICO,"IUE, LO. 337, MICHAEL CARPENTER, PRES. 585 426-1410","JEAN A. BEARD, HR MGR., 585 426-1410",515
"ITT INDUSTRIES, INC.
  30 PIXLEY INDUSTRIAL PKY.
  ROCHESTER, NY 14624
  County: ROCHESTER | SSA Name: MONROE | Region: FINGER LAKES",MANUFACTURE OF AUTOMOBILE PARTS,,95,95,,2/15/2003,7/1/2003,ECONOMIC,PLANT CLOSING,CLOSING DUE TO PRODUCTION SHIFT TO MEXICO,"IUE, LO. 337, MICHAEL CARPENTER, PRES. 585 426-1410","JEAN A. BEARD, HR MGR., 585 426-1410",514
"BANK OF NEW YORK
  3 MANHATTANVILLE ROAD
  PURCHASE, NY 10577
  County: WESTCHESTER | SSA Name: WESTCH/PTNM | Region: HUDSON VALLEY",BANKING,,71,51,,TO BE DETERMINED,,"ECONOMIC- OUTSOURCING OF EMPLOYEE INVESTMENT
  PLANS OPERATIONS",MASS LAYOFF,LAYOFF,NONE,"DONALD MCCARTHY, VPHR, Phone: 212 815-2903",513
"DELTA AIRLINES
  JFK INTL. AIRPORT
  NEW YORK, NY 
  County: | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",AIRLINE,,2048,298,11/7/2002,1/1/03 - 4/1/03,N/A,ECONOMIC,OTHER,LAYOFF OF FLIGHT ATTENDANTS,,"CHERIE CALDWELL, DIRECTOR H.R., 404 773-3985",508
"NESTLE CONFECTIONS & SNACKS
  555 SOUTH FOURTH STREET
  FULTON, NY 13069
  County: OSWEGO | SSA Name: OSWEGO | Region: CENTRAL REGION",MANUFACTURE OF CONFECTIONS,,466,466,11/7/2002,1/2/2003,5/2/2003,ECONOMIC,PLANT CLOSING,PLANT CLOSING,,"DONNA CHILTON, HR MGR. , 315 593-4526",507
"ADVANCE MAGAZINE PUBLISHERS INC.
  (Division of Conde Nast Publications/ AMPI)
  FOUR TIMES SQUARE
  NEW YORK, NY 10036
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",PUBLISHING,,81,"81 (The shutdown of the major portion of the accounting and 
  finance dept. will result in some layoffs- the exact no. has not been determined.)",11/4/2002,1/3/2003,1/3/2003,CONSOLIDATION,PLANT CLOSING,COMPANY CONSOLIDATION,NONE,"JOHN BELLANDO, EXEC. V.P. Phone: 212 286-8375",506
"LSG SKY CHEFS
  JFK INTL. AIRPORT, BLDG. 139, JAMAICA
  NEW YORK, NY 11430
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",AIRLINE CATERING SERVICES,,250,80,11/4/2002,1/1/2003,N/A,ECONOMIC,OTHER,LAYOFF,,"BERT SHIMABUKKURO, MGR. LABOR CONTRACT 
  ADMINISTRATOR Phone: 817 792-1981",505
"AMERICAN EAGLE AIRLINES, INC
  HANGAR 85, SICKER ROAD
  LATHAM, NY 12110
  County: ALBANY | SSA Name: CAPITAL DISTRICT | Region: CAPITAL DISTRICT",AIRLINE,,68,68,,1/2/2003,1/31/2003,ECONOMIC,PLANT CLOSING,UNIT CLOSING- MAY BE TEMPORARY OR PERMANENT,TWU,"MIKE COSTELLO, VP, 817 967-3113",504
"MOTOR COMPONENTS, LLC
  2243 CORNING ROAD
  ELMIRA HEIGHTS, NY 14903
  County: CHEMUNG | SSA Name: CSS | Region: SOUTHERN TIER",MANUFACTURE OF AUTO PARTS,,140,50,,12/9/2002,N/A,ECONOMIC,MASS LAYOFF,LAYOFF,"UAW, LO. 604, EUGENE THOMAS, PRESIDENT,
  225 OAKWOOD AVE., ELMIRA HEIGHTS, NY 14903","ELAINE HENNINGER BOX, HR DIR., 607 737-8011",502
"HMS HOST
  234 42ND ST., 3RD. FL.
  NEW YORK, NY 10036
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",EATERY,,122,122,,11/1/2002,12/31/2002,ECONOMIC,PLANT CLOSING,CLOSING,,"MARK DAVIS, GENERAL MANAGER 212 869-7899",501
"AMERICAN TACK AND HARDWARE (AMERTAC)
  25 ROBERT PITT DR.
  MONSEY, NY 10952
  County: ROCKLAND | SSA Name: ROCKLAND | Region: HUDSON VALLEY",HARDWARE,,122,122,,12/31/2002,12/31/2002,ECONOMIC,PLANT CLOSING,PLANT CLOSING,"SEIU, LO. 74, PRES., 24-09 38TH AVE., LIC, NY 11101","TOM NATHANSON, CEO, 845 352-2400",499
"VERIZON
  75 WALL STREET
  NEW YORK, NY 10260
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",COMMUNICATIONS,,138,138,,BEGINNING 12/1/2002,12/23/2002,"CANCELLATION OF A CONTRACT BY
  JP MORGAN/CHASE FOR CUSTOMER SERVICES",PLANT CLOSING,UNIT CLOSING,NONE,"PATRICIA O'LEARY, MANAGER, HUMAN RESOURCES 212 235-5032",498
"FREIHOFER BAKING COMPANY
  290 MARGARET STREET
  PLATTSBURGH, NY 12901
  County: CLINTON | SSA Name: ACCESS | Region: CAPITAL DISTRICT",BAKERY,,"95 
  (The sales office - 20 employees; and the bakery outlet - 4 , will remain at 
  this location.)",71,,10/25/02,"10/25/02 (The employees will be paid thru 12/24 -12/31/02,
  depending on the exact date of their layoff)",ECONOMIC,PLANT CLOSING (UNIT),CLOSING OF MANUFACTURING OPERATIONS,"BAKERY, CONFECTIONERY AND TOBACCO WORKER & GRAIN MILLERS
  UNION AFL-CIO, LO. 50, JOYCE ALSTON, PRES., 438 MAIN ST., SPOTSWOOD, 
  NJ 08884","JACK MARRO, DIR. H.R., 518 463-2221; PETER E. ROLLINS, 
  VP/GEN. MGR., 522 WASHINGTON AVENUE, ALBANY, NY 12203",495
"TRIADVANTAGE CREDIT SERVICES
  100 QUENTIN ROOSEVELT BLVD.
  GARDEN CITY, NY 11530
  County: NASSAU | SSA Name: HEMPSTEAD | Region: LONG ISLAND",CREDIT SERVICES,,65,65,,12/31/2002,12/31/2002,ECONOMIC,PLANT CLOSING,CLOSING,NONE,"CECELIA KEENAN, 800 764-3201
  MENDOTA HEIGHTS, MN 55120",494
"ROSIE'S MAGAZINE (G & J ROSIE'S MAGAZINE LLC)
  375 LEXINGTON AVENUE
  NEW YORK, NY 10017
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",MAGAZINE PUBLISHING,,70,59,,10/19/2002,10/19/2002,"SUSPENSION OF ""ROSIE"" MAGAZINE",MASS LAYOFF,LAYOFF,,"GEANIE VILLOMANN, VPHR, 212 499-2212
  Gruner & Jahr USA Publishing",493
"GETRONICS GOVERNMENT SOLUTIONS
  26 FEDERAL PLAZA
  NEW YORK, NY 10278
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",COMPUTER CONSULTING,,,"21 - It is expected that the new contractor, Northrup Grumman,
  will pick up all the employees
  Total Employees: 21 
  (There are 10 employees at this location a 11 additional scattered thruout the 
  state.)",,11/30/2002,11/30/2002,LOSS OF CONTRACT,OTHER,UNIT CLOSING,,"J. ELIZABETH BAUER, DIR. H.R., 703 563-7646
  OR JIM DOWER, VP, 1325 G ST., STE. 930, NW, WASHINGTON, DC 20005",492
"CABLEVISION SYSTEMS CORPORATION
  6 EXECUTIVE PLAZA
  YONKERS, NY 
  County: WESTCHESTER | SSA Name: YONKERS | Region: HUDSON VALLEY",CABLE,,80,80,,12/4/2002,12/4/2002,"ECONOMIC - Relocation of call center operation to Stratford, 
  Connecticut",PLANT CLOSING ( Unit Closing),UNIT RELOCATION,,"ROCKY BOLER, VP, CUSTOMER SERVICE, 516 803-2365",491
"CBCA
  ONE HUNTINGTON QUADRANGLE
  MELVILLE, NY 11747
  County: SUFFOLK | SSA Name: SUFFOLK | Region: LONG ISLAND",MANAGEMENT CONSULTING,,210,175,,12/31/2002 - 6/30/03,N/A,ECONOMIC,MASS LAYOFF,LAYOFF,,"BARBARA L. BURDMAN, 631 719-8280",490
"HONEYWELL INTERNATIONAL, INC.
  178 MICHAEL DRIVE
  SYOSSET, NY 11791
  County: NASSAU | SSA Name: OYSTER BAY | Region: LONG ISLAND",MANUFACTURE OF ABRASIVES,,"100 (In the production unit; there are 700 additional
  employees at this facility.)",50,,In phases through 6/30/2003,N/A,ECONOMIC - Production jobs going to Mexico,MASS LAYOFF,LAYOFF (In the production unit),,"BARBARA FISHER, H.R. MANAGER, 516 921-6704",486
"HUDSON RCI
  5439 STATE ROUTE 40
  ARGYLE, NY 12809
  County: WASHINGTON | SSA Name: SAR/WAR/WAS | 
  Region: CAPITAL DISTRICT",RESPIRATORY CARE,,144,85,,12/6/2002,12/20/2002,ECONOMIC,MASS LAYOFF,LAYOFF,NONE,"LYNN BRAYTON, 518 638-1070 OR KIM K. MELTON, HR,
  27711 DIAZ RD., TEMECULA, CA 92589, 909 676-5611",483
"JC PENNEY CORP., INC.
  100 IRONDEQUOIT MALL DRIVE
  ROCHESTER, NY 14622
  County: MONROE | SSA Name: MONROE | Region: FINGER LAKES",RETAIL STORE,,143,143,,BEGINNING 1/4/2003,1/18/2003,ECONOMIC,PLANT CLOSING,TWO STORE CLOSINGS,,"WAYNE A. RUSTIN, SR. COUNSEL, 972 431-2787",481
"NORTHWEST AIRLINES
  JFK INTL. AIRPORT, TERMINAL 4
  JAMAICA, NY 
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",AIRLINE,,INA,104,,"BEGINNING 10/31/2002 
  (LAYOFF SCHEDULE: 10/31- 35; 12/1-5; 12/31- 30; 2/1-34)",N/A,ECONOMIC,OTHER,LAYOFF,,"STEPHEN W. SIMMONS , 612 726-2291, INFLIGHT SERVICES, 2620 WORLDGATEWAY 
  PLACE, ROMULUS, MI 48242",479
"TYCO ELECTRONICS
  699 HERTEL AVENUE
  BUFFALO, NY 
  County: ERIE | SSA Name: ERIE | Region: WESTERN REGION",WHOLESALE DISTR. OF ELECTRICAL EQUIPMENT,,61,61,,NOT KNOWN AT THIS TIME,TO BE DETERMINED,ECONOMIC,PLANT CLOSING,CLOSING,NONE,"JANE A LEIPOLD, VPHR, 717 810-4947",478
"METRO CHANNEL L.L.C.
  11 PENN PLAZA
  NEW YORK, NY 10001
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",MEDIA,,APPROX. 146,50,,10/4/2002 - 12/2/02,N/A,ECONOMIC,MASS LAYOFF,LAYOFF,N/A,"GREGORY MOYER, PRES. REG. PROGRAMMING 516 803-4926",477
"ITS - INTERNATIONAL TOTAL SERVICES, INC.
  LAGUARDIA INTL. AIRPORT
  FLUSHING, NY 11371
  County: QUEENS | SSA Name: NEW YORK CITY | Region: NYC",AIRPORT SCREENING SERVICES,,298,298,,,,"TAKEOVER BY THE TSA
  ( The Federal Transportation Security Administration)",PLANT CLOSING,"Closings and takeover of screening operations by 
  TSA",,"KATHY HOFACRE OR SCOTT E. BREWER, SR. V.P. 
  216 642-4522",476
"BOMBARDIER TRANSPORTATION
  151 ORCHARD ST.
  AUBURN, NY 
  County: CAYUGA | SSA Name: CAYUGA/CORT | Region: CENTRAL REGION",MANUFACTURE OF AIRCRAFT AND RAILCAR PARTS,,286,106,,11/12/2002,N/A,ECONOMIC,MASS LAYOFF,LAYOFF,"USW, LO. 3842, THOMAS BIANCO","JAMES P. TOOLEY, GENERAL MANAGER, 315 255-7800",475
"CONSOLIDATED FREIGHTWAYS
  WAYNE M. BOLIO, VPHR, 360 448-4291,
  PO BOX 871390, VANCOVER, WA 98684",TRANSPORT:,,,,,9/1/2002,9/1/2002,ECONOMIC,"PLANT CLOSING
  ------------------------------------------------",CLOSINGS,"IBT, 25 LOUISIANA AVE., NW, WASHINGTON, CD 20001;
  IAM, THOMAS BUFFENBARGER, 900 MACHINIST PL., 
  UPPER MARLBORO, MD 20072; OPEIU, MICHAEL GOODWIN,
  265 W. 14TH ST., NYC 10011",,473
"AGRILINK FOODS
  14018 KEELEY ROAD
  RED CREEK, NY 13143
  County: WAYNE | SSA Name: FINGER LAKES | Region: FINGER LAKES",FOOD PROCESSING,,92,92,,11/4/2002,Exact date unknown at this time,ECONOMIC - discontinuance of their applesauce operation,PLANT CLOSING,CLOSING,"AFL-CIO - CANNERY WORKERS LO. NO. 244; MICHAEL FLANERY, 
  BUSINESS AGENT","LOIS WARLICK-JARVIE, VPHR , 585 264-3188
  90 LINDEN OAKS, ROCHESTER, NY 14625",471
"AMERICAN AIRLINES
  BUFFALO NIAGARA INTL. AIRPORT
  BUFFALO, NY 14225
  County: ERIE | SSA Name: ERIE | Region: WESTERN REGION",AIRLINE,,53,53,9/5/2002,1/31/2003,1/31/2003,"ECONOMIC: American Airlines is eliminating jet service 
  to 
  these 2 locations. American Eagle will take over the routes. They are considered
  a separate entity and may or may not hire the affected workers.",PLANT CLOSINGS,TWO UNIT CLOSINGS,"TRANSPORT WORKERS UNION OF AMERICA, AFL CIO
  JAMES C. LITTLE, DIR., 1791 HURSTVIEW DR., HURST, TX 76054","JOHN A. CARPENTER, 817 967-1575, PO BOX 619616,
  DALLAS/FORT WORTH AIRPORT, TEXAS 75261-9616",470
"CARBIDE/ GRAPHITE GROUP, INC.
  110-24TH STREET
  NIAGARA FALLS, NY 14303
  County: NIAGARA | SSA Name: NIAGARA | Region: WESTERN REGION",MANUFACTURE OF GRAPHITE ELECTRODES,,188,188,,10/31/2002,10/31/2002,"ECONOMIC - Employer states that they are in bankruptcy
  and a sale may occur, but there is no guarantee of the outcome. Even if a sale
  is completed the employees may not be rehired by the new entity.",PLANT CLOSING,PENDING CLOSING,"PACE, JAMES BRIGGS; BRICKLAYERS, DAN ROSE","LARRY BASTA, HR DIR. , 716 286-0271 OR WALTER DAMIAN
  ONE GATEWAY CTR., PITTSBURGH, PA 412 562-3783",469
"THE WIZ
        1111 STEWART AVENUE 
        BETHPAGE, NY 11714

        Contact: JEFFERY YAPP, PRESIDENT RETAIL GROUP, 516 803-5200",RETAIL ELECTRONICS STORES,,,,,LIQUIDATION OF INVENTORY BEGINNING 8/22/2002,9/28/2002 OR 14 DAYS THEREAFTER,ECONOMIC,"PLANT CLOSING
        ----------------------------------------------",STORE CLOSINGS,,,468
"THERMO SPECTRONIC
  820 LINDEN AVENUE
  ROCHESTER, NY 14625",MANUF. OF ELECTRONIC MEDICAL EQUIPMENT,MONROE | SSA Name: MONROE | Region: FINGER LAKES,69,69,,BEGINNING 11/1/2002,4/11/2003,"RELOCATION OF CERTAIN MANUFACTURING OPERATIONS 
  TO THEIR WISCONSIN FACILITY; SOME EMPLOYEES
  WILL REMAIN IN ROCHESTER IN OTHER UNITS (46).",PLANT CLOSING (UNIT),UNIT CLOSING,NONE,"ANN MARIE MARFIONE, DIR. H.R., 585 248-4155 OR
  MARK G. WHITEMAN, PRESIDENT",466
"ACCOR RESERVATIONS SERVICE OF NY
  245 MAIN ST.
  WHITE PLAINS, NY 10601 
  County: WESTCHESTER | SSA Name: WESTCH/PTNM | Region: HUDSON VALLEY",HOTELS,,40,40,,BEGINNING 3/1/2003,SEVERAL MONTHS AFTER 3/1/03,"ECONOMIC - CONSOLIDATION OF OPERATIONS TO OTHER CALL 
  CENTERS",OTHER,CLOSING,,DALE S. WIELGUS 212 699-5957,465
"EMPIRE BLUE CROSS
  11 WEST 42ND ST.
  NEW YORK, NY 10036
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",INSURANCE,,42,42,,10/4/2002,10/28/2002,ECONOMIC,"PLANT CLOSING
  -----------------------------------------------------------------",THREE UNIT CLOSINGS,IAM LO. 1839,"ROBERT LAWRENCE, SR.V.P.H.R. 212 476-1982",464
"CHAUTAUQUA HARDWARE
  31-35 WATER STREET
  JAMESTOWN, NY 14702
  County: CHAUTAUQUA | SSA Name: CHAUTAUQUA | Region: WESTERN REGION",MANUFACTURE OF HARDWARE,,142,102,,8/1/2002,10/28/2002,ECONOMIC,"PLANT CLOSING
  -----------------------------------------------------------------",DISLOCATIONS,IAM LO. 1839,KATRINA JONES 716 661-4176,463
"ENTERPRISE PRESS (MAIL-WELL)
  627 GREENWICH STREET
  NEW YORK, NY 10014
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",COMMERCIAL PRINTING,,83,83,,10/27/2002,10/27/2002,ECONOMIC,PLANT CLOSING,CLOSING,"GCIU, LOCALS 51-23M AND 119B-43B; TEAMSTERS LOC 102","JOHANNA FITZGERALD, HR MGR. 212 741-2111",462
"INTERNATIONAL PAPER
  15 PINE STREET
  CORINTH, NY 12822
  County: SARATOGA | SSA Name: SAR/WAR/WAS | Region: CAPITAL DISTRICT",PAPER MILL,,287,287,,10/28/2002,11/10/2002,"ECONOMIC- The employer states that they are still trying 
  to secure a purchaser. In the event they do, they will update this information.",PLANT CLOSING,PLANT CLOSING,"PACE, LOCAL 4, DAVID MILLER; PACE LOCAL 6, JEFFREY LAWRENCE; 
  NCFO, LOCAL 106, TERRY TOOKER","PETER CONNERY, MILL MANAGER, 518 654-3428",459
"GERLING GLOBAL REINSURANCE CORP.
  717 FIFTH AVENUE
  NEW YORK, NY 10022
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",INSURING OF INSURANCE COMPANIES,,106,52,,BEGINNING 9/3/2002,"10/22/2002 - AFFECTED EMPLOYEES WILL BE PAID THRU
  THIS DATE INCLUDING FULL BENEFITS EVEN THOUGH THEY MAY NOT BE REQUIRED TO REPORT 
  TO WORK; THEY WILL THEN BE TERMINATED FROM EMPLOYMENT AND RECEIVE SEVERANCE.",CONSOLIDATION,MASS LAYOFF,COMPANY CONSOLIDATION,,THOMAS J. HILL 212 821-0488,455
"INVESTEC ERNST AND COMPANY
  ONE BATTERY PARK PLAZA
  NEW YORK, NY 10004
  County: NEW YORK | SSA Name: NEW YORK CITY | Region: NEW YORK CITY",SECURITIES,,283,117,,12/31/2002,NA,ECONOMIC,MASS LAYOFF,LAYOFF,,"DAVID R. RAPPAPORT, GEN. COUNSEL 212 898-7447",454
