Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
,Retail home goods,Erie | WIB Name: ERIE| Region: Western Region,30,30,12/9/2010,12/17/2010,12/31/2010,Economic,Plant Closing,Plant Closing,Employees are not represented by a union.,"Dean J. Rallo, President",(716) 656-5383 Ext 510,2954
,Wagering Operations,New York | WIB: NEW YORK CITY| Region: NEW YORK CITY,1034,1034,12/7/2010,-----,12/7/2010,Bankruptcy Court,Plant Closing,Plant Closing,District Council 37 & Local 858 The shutdown will affect all areas of operation of,Adrien Ellenberg,(212) 221-5200 Ext 5253,2953
,Medical supply manufacturing facility,Oneida | WIB Name: HMO| Region: Mohawk Valley Region,169,169,12/7/2010,Layoffs will begin on or about 3/18/2011 and continue through closing of facility.,12/31/2011,Economic,Plant Closing,Plant Closing,There are no bumping rights available. None of these individuals are represented by a union.,"Juanita G. Staton, Plant Human Resources Manager",(315) 821-3204,2952
,Financial,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,25,12/3/2010,3/1/2011,-----,Economic,Plant Layoff,Plant Layoff,No bumping rights exist. Associates are not represented by a union.,"John Collingwood, Senior VP",(202) 661-7130,2951
,Health Plan Administrators,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,18,12/3/2010,3/4/2011,-----,Economic,Plant Layoff,Plant Layoff,"None of the employees are unionized and there are no provisions regarding transfer, bumping, or reassignment rights.","Diane Rodes, Director, of Organization Effectiveness",(916) 935-1489,2950
,Service Station,Nassau | WIB Name: HEMPSTEAD| Region: Long Island,34,34,12/2/2010,-----,1/15/2011,Sale of facility to Cumberland Farms,Plant Closing,Plant Closing,Atlantic Independent Union-No bumping or transfer rights exist.,"Tom Kaukialo, Fleet Operations Manager",(847) 956-3517,2948
,Research,Erie | WIB Name: ERIE| Region: Western Region,-----,62,12/2/2010,2/28/2011,-----,Loss of Certain Contracts,Plant Layoff,Plant Layoff,Employees do not have bumping rights.,"Sandra Cochran, Director of Human Resources",(716) 878-4046,2947
,Adult Home Care,Kings | WIB Name: NEW YORK CITY | Region: New York City,506,506,11/26/2010,-----,Closing date changed from 12/1/2010 to 1/31/2011,Facility will be sold,Plant Closing,Plant Closing,1199 SEIU,"Barbara Farrell, Director of Employee & Labor Relations",(718) 630-2646,2943
,Photographic equipment and supplies,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,-----,2,11/19/2010,To occur between 2/2/2011 and 2/14/2011,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do exist.,"Mary C. Lazzar-Whyte, Director, US&C Employee Services",(585) 781-1896,2940
,Commercial Real Estate Sales,New Yor | WIB Name: NEW YORK CITY| Region: New York City,38,38,11/18/2010,-----,11/30/2010,Sale of Company,Potential Plant Unit Closing,Potential Plant Unit Closing,No bumping rights exist.,"Anthony Pratofiorito, Head of Human Resources",(212) 671-6481,2939
,Manufacturing Facility,Ulster | WIB Name: ULSTER| Region: Mid-Hudson Region,-----,29,11/16/2010,Layoffs are postponed from 6/30/2010 to on or after 2/13/2011,-----,Economic,Plant Layoff,Plant Layoff,United Steelworkers Local 13226 covers bumping rights.,"Thomas J. Gaffney, Group Human Resources Manager",(845) 334-3227,2938
,Photographic equipment and Supplies,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,-----,1,11/16/2010,Between 1/25/2011 and 2/1/2011,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do exist.,"Mary C. Lazzar-Whyte, Director, HR Americas Employee Services",(585) 781-1896,2937
,Pharmaceutical Products,Rockland | WIB Name: ROCKLAND | Region: Mid-Hudson Region,-----,28,11/12/2010,2/11/2011,-----,Company Restucturing,Plant Layoff,Plant Layoff,-----,"Elaine Cunningham, Human Resources Director",(845) 602-2173,2936
,Farm and Manufacturing operations,Onondaga | WIB Name: ONONDAGA| Region: Central Region,98,98,11/12/2010,-----,11/12/2010,Economic,Plant Closing,Plant Closing,No bumping rights exist.,Roxanne Parmele,(315) 638-0226 Ext 217,2934
,Retail store,New York | WIB Name: NEW YORK CITY| Region: New York City,175,175,11/9/2010,-----,2/28/2011,Moving to a new location-reopening date undetermined at this time.,Plant Closing,Plant Closing,"None of the affected employees are represented by a union, and none have any “bumping” rights.","Kerry Chandler, Senior VP Human Resources",(212) 407-8820,2932
,Nursing Care,Westchester | WIB Name: WESTCH/PTNM | Region: Mid-Hudson Region,58,58,11/9/2010,Will commence between 2/4/2011 and 2/18/2011,2/18/2011,Economic,Plant Closing,Plant Closing,1199 SEIU,"Saul Feintuch, Administrator",(914) 686-8239,2930
,Service recovery compliance,Suffolk | WIB Name: SUFFOLK | Region: Long Island,-----,26,11/9/2010,-----,2/2/2011,Economic,Plant Unit Closing,Plant Unit Closing,The company does not recognize “bumping rights”.,"Paul Hilber, Vice President Human Resources",(516) 803-2426,2929
,Medical Center,New York | WIB: NEW YORK CITY| Region: NEW YORK CITY,-----,250 at both sites,11/9/2010,"Layoff dates postponed, began on 6/1/2010 and employees will be released on various dates through 1/31/2011",No exact closing date given at this time.,Economic,Plant Closing,Plant Closing,"There may be bumping rights with respect to the affected bargaining units initially selected for separation to retain employment. Due to the closure of these facilities, only limited bumping options will be made.","Francesca Tinti, Human Resources",(212) 356-4415,2928
,Software and Media,New York | WIB Name: NEW YORK CITY| Region: New York City,59,59,11/5/2010,-----,1/31/2011,Economic,Plant Closing,Plant Closing,Bumping rights do not exist.,"Rochelle Dire, VP, Human Resources",(212) 775-3020,2927
,Auto parts manufacturing plant,Onondaga | WIB Name: ONONDAGA| Region: Central Region,-----,6,11/5/2010,will commence on 1/31/11 and end on 2/13/11,Not specified at this time.,Economic,Plant Closing,Plant Closing,UAW Local 624,"Tom Albanese, Labor Relations Manager",(315) 432-4094,2926
,Children's Services,Kings | WIB Name: NEW YORK CITY| Region: New York City,----,5 in total at the 3 sites listed in this notice (1 affected at Boerum Place),11/5/2010,To commence on or around 2/1/2011,-----,City Funding Cuts,Plant Layoff,Plant Layoff,The affected employees do not have bumping rights and are not represented by a union.,"Mark S. Kanter, Managing Director of Human Resources",(718) 522-3700,2925
,"Company provides retailers and manufacturers access to electronic, computer, appliance, outdoor power equipment and wireless replacement parts.",New York | WIB Name: NEW YORK CITY| Region: New York City,-----,46,11/1/2010,May occur within days of notice.,----,Loss of Client,Conditional Plant Layoff,Conditional Plant Layoff,-----,"Ron Totaro, Chief Executive Officer",(212) 201-0352,2924
,Transportation,Nassau | WIB Name: Oyster Bay | Region: Long Island,-----,6,11/4/2010,1/2/2011,-----,Possible termination of a contract,Possible Plant Layoff,Possible Plant Layoff,-----,Nickl Bilotti,(631) 231-6984,2923
,Financial Investment,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,72,11/4/2010,1/28/2010,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights available to affected employees.,Laura Torres,(212) 607-5065,2922
,Financial Investment-broker-dealer,New York | WIB Name: NEW YORK CITY| Region: New York City,29,29,11/4/2010,-----,1/28/2011,Economic,Plant Closing,Plant Closing,There are no bumping rights available to affected employees.,Laura Torres,(212) 607-5065,2921
,Wireless Customer Call Center,Stueben | WIB Name: CSS| Region: Southern Region,-----,304,11/4/2010,12/31/2010,-----,Termination of contract,Plant Layoff,Plant Layoff Amended,-----,Andrew Kokes,(615) 301-7116,2920
,Children's Services,Kings | WIB Name: NEW YORK CITY| Region: New York City,----,5 in total at the 3 sites listed in this notice (1 affected at Boerum Place),11/3/2010,To commence on or around 1/4/2011,-----,City Funding Cuts,Plant Layoff,Plant Layoff,The affected employees do not have bumping rights and are not represented by a union.,"Mark S. Kanter, Managing Director of Human Resources",(718) 522-3700,2919
,Wireless Customer Call Center,Stueben | WIB Name: CSS| Region: Southern Region,267,267,11/2/2010,-----,12/31/2010,Termination of contract,Plant Closing,Plant Closing,-----,Andrew Kokes,(615) 301-7116,2917
,Retail Book Store,New York | WIB Name: NEW YORK CITY| Region: New York City,171,171 - 133 permanent & 38 temporary,10/28/2010,-----,1/29/2011,Economic,Plant Closing,Plant Closing,There are no bumping rights.,"Courtney Harrison, Manager of the Human Resources Service Center",(516) 338-8015,2913
,Auto parts manufacturing plant,Onondaga | WIB Name: ONONDAGA| Region: Central Region,-----,220,10/25/2010,1/17/2011-1/30/2011,Not specified at this time.,Economic,Plant Closing,Plant Closing,UAW Local 624,"Tom Albanese, Labor Relations Manager",(315) 432-4094,2911
,Financial institution,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,Potentially up to 250 workers affected,10/21/2010,Began on 9/22/2010 and will continue through 12/31/2010,-----,Economic,Plant Layoff,Plant Layoff,No bumping rights exist.,"Karen Mitchell, Director and Counsel",(212) 538-1485,2910
,Hotel,New York | WIB Name: NEW YORK CITY| Region: New York City,100,100,10/22/2010,To occur in phases between 1/7/2011 and 2/14/2011,2/14/2011,Hotel conversion to residential use,Plant Closing,Plant Closing,No bumping rights exist. New York Hotel and Motel Trades Council,"Rebecca Wilson, Human Resources Director",(502) 499-3255,2907
,Property Management,New York | WIB Name: NEW YORK CITY| Region: New York City,154,154,10/20/2010,-----,10/22/2010,Economic,Plant Closing,Plant Closing,Employees will not have bumping rights.,Michael Butler,(212) 715-0381,2906
,Property Management,New York | WIB Name: NEW YORK CITY| Region: New York City,115,115,10/20/2010,-----,10/22/2010,Economic,Plant Closing,Plant Closing,Company employees will not have bumping rights.,Michael Butler,(212) 715-0381,2905
,Photographic equipment and supplies,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,-----,50,10/20/2010,To occur between 12/25/2010 and 1/3/2011,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do exist.,"Mary C. Lazzar-Whyte, Director, US&C Employee Services",(585) 781-1896,2904
,Transit Company,Ontario | WIB Name: FINGER LAKES| Region: Finger Lakes Region,76,76,10/20/2010,-----,12/31/2010,Contract loss,Plant Closing,Plant Closing,Amalagamated Transit Union Local #282,"Pete Bojorquez, General Manager",(585) 393-2965,2902
,Distribution Center,Oneida | WIB Name: HMO| Region: Mohawk Valley Region,355,355,10/18/2010,1/22/2011,4/30/2011 Exact closing date is undetermined at this time for either sites.,Economic,Plant Closing,Plant Closing,"Teamsters, Chauffeurs, Warehouseman & Helpers Local 182",Steve Chesney,(717) 214-8558,2900
,Home care services,Queens | WIB Name: NEW YORK CITY| Region: New York City,2065,2065,10/14/2010,Will occur from 10/15/2010 until closing,12/31/2010,Loss of contract with NYC Human Resources Administration,Plant Closing,Plant Closing,1191 SEIU There are no bumping rights.,"Callie Tserpelis, Program Director",(718) 726-4444,2899
,Commercial Real Estate Sales,New Yor | WIB Name: NEW YORK CITY| Region: New York City,37,37,7/22/2010,-----,11/1/2010,Sale of Company,Potential Plant Closing,Potential Plant Closing,No bumping rights exist.,"Anthony Pratofiorito, Head of Human Resources",(212) 671-6481,2895
,Restaurant,New York | WIB Name: NEW YORK CITY| Region: New York City,82,82,10/14/2010,-----,Between 1/17/2011 and 1/30/2011,Economic,Plant Closing,Plant Closing,UNITE HERE Local 100,"Raffaele Ruggeri, President",(212) 688-1999,2894
,Pharmaceutical Laboratory,Putnam | WIB Name: WESTCH/PTNM | Region: Mid-Hudson Region,-----,66,10/12/2010,12/31/2010,12/31/2010,Economic,Plant Closing,Plant Closing,-----,"Courtney L. Connor, Human Resources Representative, Sr.",(914) 767-2148,2891
,Bakery,Queens | WIB Name: NEW YORK CITY | Region: New York City,222,222,10/12/2010,1/7/2011or within the following 14-day period,1/21/2011,Economic,Plant Closing,Plant Closing,"BCTGM Local 53, IBT Local 550, Teamsters","Dominick Myrand, North Business Unit Human Resources Director",(718) 262-1542,2890
,Health Plan Administrators,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,20,10/12/2010,1/10/2011,-----,Economic,Plant Layoff,Plant Layoff,"None of the employees are unionized and there are no provisions regarding transfer, bumping, or reassignment rights.","Diane Rodes, Director, of Organization Effectiveness",(916) 935-1489,2889
,Operating and Engineering Services,New York | WIB Name: NEW YORK CITY| Region: New York City,49,49,10/8/2010,-----,10/31/2010,Loss of Contract,Plant Closing,Plant Closing,Local 3 IBEW & Local 94 IUOE,"Stacia Edmonds, Human Resources Representative",(212) 297-9720,2888
,Pharmaceuticals (R&D),Clinton | WIB Name: C-E-F-H| Region: North Country Region,-----,13,10/7/2010,12/31/2010,12/31/2010,Economic,Plant Closing,Plant Closing,Local 95c International Chemical Workers Union/UFCW,"Kent Eldridge, Director, Human Resources",(518) 846-6322,2886
,Hotel,New York | WIB Name: NEW YORK CITY| Region: New York City,250,250,10/6/2010,Commencing week of 1/5/2011,1/7/2011,Extensive renovations,Plant Closing,Plant Closing,"NY Hotel and Motel Trades Council, Local 94A of the Operating Engineers","Mark Miller, General Manager",(646) 769-4416,2885
,Restaurant,New York | WIB Name: NEW YORK CITY| Region: New York City,96,96,10/6/2010,-----,12/30/2010,Economic,Plant Closing,Plant Closing,None of the affected employees have bumping rights and therefore the displaced employees are not permitted to exercise bumping rights in connection with this permanent closure.,"Angelina Buonpane, Director of Human Resources",(646) 747-7209,2884
,Retail Store,Suffolk | WIB Name: SUFFOLK| Region: Long Island,35,35,10/6/2010,11/13/2010,10/9/2010,Economic,Plant Closing,Plant Closing,There are no bumping right and there is no union bargaining agent involved with the affected employees.,"Jerry E. Kirby, Vice President & Associate General Counsel",(212) 451-1746,2883
,Transportation,Bronx | WIB Name: NEW YORK CITY | Region: New York City,61,61,10/6/2010,-----,10/10/2010,Economic,Plant Closing,Plant Closing,No bumping rights exist under these circumstances.,Jay Sabin,(732) 499-3338,2882
,Property Management,New York | WIB Name: NEW YORK CITY| Region: New York City,115,115,10/6/2010,-----,10/13/2010,Economic,Plant Closing,Plant Closing,Company employees will not have bumping rights.,Michael Butler,(212) 715-0381,2881
,Property Management,New York | WIB Name: NEW YORK CITY| Region: New York City,154,154,10/6/2010,-----,10/13/2010,Economic,Plant Closing,Plant Closing,Employees will not have bumping rights.,Michael Butler,(212) 715-0381,2880
,Transportation for the disabled,Queens | WIB Name: NEW YORK CITY| Region: New York City,610,610,10/5/2010,Will commence on or about 10/4/2010 and continue weekly through plant closing date,12/31/2010,Cancelled contract with Transit Authority,Plant Closing,Plant Closing,"Amalgamated Transit Union, United Service Workers Union","Jerome L. Dente, Chief Operating Officer",(718) 556-8075,2879
,Children's Services,Kings | WIB Name: NEW YORK CITY| Region: New York City,----,12,10/5/2010,1/4/2011,2 group homes on 12/31/2010- 2 group homes on 1/31/2011,City Funding Cuts,Plant Layoff,Plant Layoff,The affected employees do not have bumping rights and are not represented by a union.,"Mark S. Kanter, Managing Director of Human Resources",(718) 522-3700,2878
,Textiles,Bronx | WIB Name: NEW YORK CITY| Region: New York City,17,17,10/4/2010,-----,1/15/2011,Economic,Plant Closing,Plant Closing,No bumping rights exist.,Bryan Siegel,(212) 889-6376,2877
,Grocery Store,Richmond | WIB Name: NEW YORK CITY| Region: New York City,72,72,10/4/2010,-----,12/31/2010,Economic,Plant Closing,Plant Closing,UFCW Local 342 & Local 1500 UFCW,"Dominick Fortugno, Vice President of Human Resources",(516) 733-7184,2876
,Transportation,Kings | WIB Name: NEW YORK CITY | Region: New York City,244,244,10/4/2010,Will begin on 10/1/2010 and continue on a weekly basis through operation closing date.,12/31/2010,Contract Loss,Plant Closing,Plant Closing,League of International Federated Employees Local 270,Jacqueline Juliano,(718) 451-2111,2875
,Insurance Company,New York | WIB Name: NEW YORK CITY| Region: New York City,100 (48 of the employees have been offered and accepted relocations to company office in NC),52,9/30/2010,Layoffs will begin 1/1/2011 and run through closing date,5/1/2011,Economic,Plant Closing,Plant Closing,Affected employees are not represented by a union and bumping rights do not exist.,"John G. Calotta, Senior Vice President, Corporate Secretary & General Counsel",(212) 416-1420,2871
,Housekeeping and laundry services,Westchester | WIB Name: WESTCH/PTNM | Region: Mid-Hudson Region,286 (Additional employees included on WARN #2010-0060),235,9/30/2010,-----,12/31/2010,Termination of service agreement,Plant Unit Closing,Plant Unit Closing,The affected employees will have no bumping rights.,"Sandra Schuster, Senior Human Resources Coordinator",(800) 447-4476 Ext 5765192,2870
,Housekeeping and laundry services,Westchester | WIB Name: WESTCH/PTNM | Region: Mid-Hudson Region,-----,60,9/30/2010,-----,12/31/2010,Termination of service agreement,Plant Unit Closing,Plant Unit Closing,The affected employees will have no bumping rights.,"Sandra Schuster, Senior Human Resources Coordinator",(800) 447-4476 Ext 5765192,2869
,Investment Firm,Westchester | WIB: WESTCH/PTNM | Region: HUDSON VALLEY,105 The remainder of the employees were transferred to other New York sites when this site closed.,24,9/29/2010,12/31/2011 Layoffs for last 2 of the 24 affected employees were postponed,6/30/2009,Economic,Plant Closing,Plant Closing,None of the affected employees are represented by a union.,Jean Kamerschen Director of Human Resources,(914) 989-5005,2868
,Photographic equipment and Supplies,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,-----,6,9/28/2010,To occur between 11/29/2010 and 12/11/2010,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do exist.,"Mary C. Lazzar-Whyte, Director, US&C Employee Services",(585) 781-1896,2867
,Transportation,Bronx | WIB Name: NEW YORK CITY | Region: New York City,61,61,9/27/2010,-----,10/3/2010,Economic,Plant Closing,Plant Closing,No bumping rights exist under these circumstances.,Jay Sabin,(732) 499-3338,2864
,Research,Albany | WIB Name: CAPITAL DISTRICT | Region: Capital Region,-----,30,9/24/2010,12/31/2010,-----,Non-renewal of Electronic Eligibility Decision Support Systems contract with the New York State Department of Health for the 2011 project year.,Plant Layoff,Plant Layoff,Employees do not have bumping rights.,"Sandra Cochran, Human Resources Director",(716) 878-4046,2863
,Comic publishing – administrative section,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,80,9/22/2010,Layoffs will begin on 12/27/2010 and will continue through 8/27/2011,-----,Relocation - part of company operations moved to California site,Plant Layoff,Plant Layoff,The affected employees are not union represented; bumping rights are not available.,"June E. Martin, Senior Vice President, Human Resources",(818) 954-7094,2861
,Product testing laboratory,Onondaga | WIB Name: ONONDAGA| Region: Central Region,48 full and part time workers,48,9/21/2010,-----,12/31/2010,Economic,Plant Unit Closing,Plant Unit Closing,Company does not recognize “bumping rights”.,"Nancy Rurkowski, Executive Director & General Manager, Syracuse Operations",(315) 432-2379,2860
,Transportation,Bronx | WIB Name: NEW YORK CITY | Region: New York City,61,61,9/20/2010,-----,9/26/2010,Economic,Plant Closing,Plant Closing,No bumping rights exist under these circumstances.,Jay Sabin,(732) 499-3338,2859
,Tele-Communications,Westchester | WIB Name: WESTCH/PTNM Region: Mid-Hudson Region,-----,1,9/20/2010,-----,12/16/2010,Pending transaction of acquisition for LLC portion only.,Plant Closing,Plant Closing,There are no bumping rights at this location and the affected employees are not represented by any union.,"Jeanne P. Rudell, Senior Vice President Human Resources",(914) 641-3317,2858
,Digital imaging and cross media publishing,,164,164,9/9/2010,8/12/2010,10/15/2010,Economic,Plant Closing,Plant Closing,There are no bumping rights.,"Steven Davi (Farrell-Fritz Law), Attorney for company",(516) 227-0700,2856
,Tele-Communications,Westchester | WIB Name: WESTCH/PTNM Region: Mid-Hudson Region,18,18,9/14/2010,-----,12/13/2010,Pending transaction of acquisition for LLC portion only.,Plant Closing,Plant Closing,There are no bumping rights at this location and the affected employees are not represented by any union.,"Jeanne P. Rudell, Senior Vice President Human Resources",(914) 641-3317,2855
,Property Management,New York | WIB Name: NEW YORK CITY| Region: New York City,115,115,9/14/2010,-----,9/30/2010,Economic,Plant Closing,Plant Closing,Company employees will not have bumping rights.,Michael Butler,(212) 715-0381,2853
,Car rental,Albany | WIB Name: CAPITAL DISTRICT | Region: Capital Region,27,"27- 3 full time, 24 part time affected workers",9/10/2010,-----,12/7/2010,Economic,Plant Closing,Plant Closing,No employee representation.,"Patrick Bresonis, Human Resources Supervisor",(518) 383-3444 Extension 219,2851
,Design Engineering & Manufacturing,Jefferson | WIB Name: JEFF/LEWIS| Region: North Country Region,62,62,9/8/2010,-----,12/8/2010,Economic,Plant Closing,Plant Closing,No bumping rights exist among the employees nor are there are any jobs to which those employees may bump.,Al Veres,(615) 400-1201,2850
,Photographic equipment and Supplies,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,-----,67,9/8/2010,To occur between 11/9/2010 and 11/16/2010,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do exist.,"Mary C. Lazzar-Whyte, Director, US&C Employee Services",(585) 781-1896,2849
,Newspaper publisher,Ulster | WIB Name: ULSTER | Region: Mid-Hudson Region,100,61,9/3/2010,12/7/2010,-----,Restructure,Plant Layoff,Plant Layoff,"The Newspaper Guild, Local 31180, GCIU/IBT, Local 259-M","Ira Fushfeld, Publisher",(845) 331-5000 X 534,2847
,Security Staffing,Kings | WIB Name: NEW YORK CITY| Region: New York City,37,37,9/2/2010,-----,9/30/2010,Economic,Plant Unit Closing,Plant Unit Closing,None of the affected employees are represented by a union and none are entitled to bumping rights.,"Lisa Dzintars-Pahwul, Human Resources",(212) 656-2007,2846
,"Sell warranties for vehicles: cars, motor homes, water craft",Hempstead | WIB Name: HEMPSTEAD| Region: Long Island,-----,2 – 1 layoff will be postponed until 12/1/2010,9/2/2010,,6/30/2010,Relocating operations to Georgia,Plant Closing,Plant Closing,There are no bumping rights at this location.,"Carol E. Vaughn, Vice President of Human Resources",(516) 228-8600 Ext 1179,2845
,Medical Center,New York | WIB Name: NEW YORK CITY| Region: New York City,593 including all employees at satellite locations listed below,593,8/30/2010,-----,12/31/2010,Termination of Affiliation Agreement,Plant Closing,Plant Closing,"United Doctors Association of H. H., United Doctors Council, SEIU, 1199 SEIU, Service Employees International Union","Diane M. Tucker, Chief Human Resources Officer",(212) 305-2695,2843
,Bottled Water Distributor,Suffolk | WIB Name: SUFFOLK | Region: Long Island,67,67,9/1/2010,-----,9/30/2010,Economic,Plant Closing,Plant Closing,None,"Perry S. Heidecker, Esq.",(516) 328-8899,2842
,Spa Services,New York | WIB Name: NEW YORK CITY| Region: New York City,42,"42 (28 full time, 7 part time, 7 other)",8/30/2010,-----,8/20/2010,Chapter 7 liquidation,Plant Closing,Plant Closing,None of the employees are represented by a union and will have no bumping rights.,"Kevin Grossman, Interim CEO",(303) 410-4417,2841
,Adult Home Care,Kings | WIB Name: NEW YORK CITY | Region: New York City,506,506,8/30/2010,-----,12/1/2010,Facility will be sold,Plant Closing,Plant Closing,1199 SEIU,"Barbara Farrell, Director of Employee & Labor Relations",(718) 630-2646,2839
,Photographic equipment and Supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,6,8/27/2010,Between 10/19/10 and 10/26/10,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do exist.,"Mary C. Lazzar-Whyte, Director, HR Americas Employee Services",(585) 781-1896,2838
,Child & Family Services,Kings | WIB Name: NEW YORK CITY| Region: New York City,44,44,8/26/2010,-----,8/31/2010,Inability to reach an agreement on new lease – Lease a agreement has been reached-closing will not occur.,Plant Closing,Plant Closing,"AFSCME Local 205, Local 95, CSA 1, DC 1707","Maria DeJesus, Director of Human Resources",(646) 201-4283,2837
,Equipment Manufacturing,Madison | WIB Name: HMO | Region: Mohawk Valley Region,34,34,8/24/2010,To occur between 11/18/2010-12/1/2010,12/1/2010,Plant relocation to Cortland – all employees have been offered employment in Cortland plant.,Plant Closing,Plant Closing,-----,Jennifer Kaspar,(315) 606-2228,2835
,Manufacturer of electrode ground pads,Oneida | WIB: HMO| Region: MOHAWK VALLEY,-----,69 (12 of these affected workers will have their layoffs postponed),8/23/2010,11/22/2010,-----,Economic,Plant Layoff,Plant Layoff,Employees are not represented by a union and do not have any bumping rights.,"Karen Hutto, Vice President of Human Resources",(315) 624-3190,2834
,Food and Beverage Concessions,Onondaga | WIB Name: ONONDAGA | Region: Central Region,69,69,8/17/2010,-----,During the 14-day period commencing 12/31/2010,Expired lease agreement,Potential Plant Closing,Potential Plant Closing,UNITE HERE,"Trina Achtziger, HR Business Partner",(716) 858-5094,2832
,Pharmaceutical Products,Rockland | WIB Name: ROCKLAND| Region: Mid-Hudson Region,-----,115,8/20/2010,12/17/2010,-----,Company Restucturing,Plant Layoff,Plant Layoff,Bumping rights do not exist with respect to this group of separations.,"Elaine Cunningham, Human Resources Director",(845) 602-2173,2831
,Auto parts manufacturing plant,Onondaga | WIB Name: ONONDAGA| Region: Central Region,-----,107,8/17/2010,11/15/2010,Not specified at this time.,Economic,Plant Closing,Plant Closing,UAW Local 624,"Tom Albanese, Labor Relations Manager",(315) 432-4094,2830
