Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,FEIN NUM,Event Number,Case_ID
"Fieldbrook Foods Corporation's subsidiary Washburn's Dairy, Inc. 145 North Main Street Gloversville, NY 12078",Ice Cream and Frozen Dessert Manufacturing,Fulton | WDB Name: FMS | Region: Mohawk Valley,34,34,11/15/2018,"All employees at the Facility will be separated effective November 30, 2018.",11/30/2018,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Colleen Hutchinson, Human Resource Manager","(716) 366-5400, Ext: 2320",14-1276800,2018-0196,6629
"The Research Foundation for the State University of New York Buffalo State Campus1300 Elmwood AvenueBuffalo, NY 14222",Education research,Erie | WDB Name: ERIE | Region: WesternCounty: Albany | WDB Name: CAPITAL DISTRICT | Region: CapitalCounty: New York | WDB Name: NEW YORK CITY | Region: New York CityCounty: Monroe | WDB Name: MONROE | Region: WesternCounty: Onondaga | WDB Name: ONONDAGA | Region: Central,79 (total affected employees at all sites),11,9/28/2018Amended: 12/6/2018,12/31/2018; 3 on 1/31/2019; one on 3/6/2019; and one on 3/29/2019,-----,Loss of contract,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Christine Goff, HR Coordinator",(716) 878-4091,14-1368361,2018-0102,6628
"Iowa Consultants Inc. (Manhattan Plaza Inc.) 482 West 43rd Street New York, NY 10036",Fitness and recreational sports facilities,New York | WDB Name: NEW YORK CITY | Region: New York City,146,146,12/5/2018,"Separations from employment begin March 1, 2019 and will continue through and until no later than March 7, 2019.",3/7/2019,WTS International hired to assume management of Manhattan Plaza Inc.,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Scott Salmon, General Manager",(212) 563-7001 Ext: 269,13-3101969,2018-0193,6627
"New Era Cap Co., Inc. 8061 Erie Road Derby, NY 14047","Manufactures headwear, apparel, and accessories for men, women, youth, and kids",Erie |WDB Name: ERIE | Region: Western,216,216,12/5/2018,"Employees will be separated during the 14-day period of March 15, 2019 through March 29, 2019.",3/29/2019,Economic,Plant Closing,Plant Closing,"Local 14177, Communications Workers of America","Andrew Cianflone, Sr. Director, Human Resources",(716) 604-9000 Ext. 1419,16-0770131,2018-0192,6625
"Fullscreen, Inc. 315 Park Avenue South, 6th Floor New York, NY 10010",Company research & investing information,New York | WDB Name: NEW YORK CITY | Region: New York City,71,13,12/4/2018,"The layoffs will occur on or about December 4, 2018 or within the two-week period thereafter.",-----,Economic,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Sheauen Chung, Senior Vice President, Human Resources",(310) 740-9530,27-5037263,2018-0190,6624
"Barclays Services Corp.(Chief Operating Office teams)745 Seventh Avenue New York, NY 10019",Investment bank,New York | WDB Name: NEW YORK CITY | Region: New York City,"5,242",308,11/28/2018,"The second wave of separations are scheduled to begin on February 27, 2019 and be completed by March 31, 2019.",-----,"Relocating a number of the Chief Operating Office teams to Whippany, NJ.",Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Linda Fox, Director, Employee Relations",(212) 526-5862,13-3714398,2018-0187,6623
"Pfizer, Inc. 64 Maple Street Rouses Point, NY 12979",Pharmaceuticals (production),Clinton | WDB Name: C-E-F-H | Region: North Country,15,3,12/3/2018,"The separations will occur March 1, 2019.",12/31/2018,Economic,Plant Closing,Plant Closing,International Chemical Workers Union/UFCW Local 95c,"Daniel Naiman, Sr. Director, Human Resources",(212) 733-2110,23-1405012,2018-0189,6622
"Mic Network Inc. One World Trade Center285 Fulton Street, 82nd Floor New York, NY 10007",Digital Publisher,New York |WDB Name: NEW YORK CITY | Region: New York City,120,120,11/29/2018,11/29/2018,11/29/2018,Contract cancellation by major customer,Plant Closing,Plant Closing,"The NewsGuild of New York, Local 31003, CWA","Jessica Way, VP People & Culture",(917) 689-1862,45-0947777,2018-0186,6621
"Sterling National Bank (Huntington) 1229 East Jericho Turnpike  Huntington, NY 11743",Financial Institution,Suffolk  |WDB Name: Suffolk| Region: Long Island Putnam |WBD Name: Westchester/Putnam |  Region: Mid-Hudson Westchester |WBD Name: Westchester/Putnam | Region: Mid-Hudson,7,2,,2/18/2018,,,Plant Closing,Plant Closing,The employees are not represented by a union.,"Gary Zimbalatti, Director HR Business Partners",(516) 327-7624,,,6620
"Emerald South Nursing & Rehabilitation Center 1175 Delaware Ave Buffalo, NY 14209",Nursing Care Facility,Erie | WDB Name: ERIE | Region: Western,160,160,11/19/2018,"Layoffs are anticipated to begin in conjunction with resident discharges, which began the week of 11/12/2018.All employees will be terminated from employment no later than January 31, 2019.",11/8/2018,Economic,Plant Closing,Plant Closing,1199 SEIU United Healthcare Workers East,"Dan Muskin, Regional Vice President",(718) 215-6000,45-5559878,2018-0180,6619
"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station)560 Fifth Avenue, 3rd FloorNew York, NY 10036",Restaurants,New York | WDB Name: NEW YORK CITY | Region: New York City,86,86,7/13/2018Amended: 11/26/2018,Layoffs postponed from a 14-day period beginning on 11/30/2018 to a 14-day period beginning on 12/31/2018.,12/31/2018,Expiration of lease,Plant Closing,Plant Closing,The employees are not represented by a union.,"Ann Martinez, CFO",(212) 560-1658,13-3031720,2018-0006,6618
"Hebeler LLC2000 Military RoadTonawanda, NY 14150",Machinery Manufacturer,Erie | WDB Name: ERIE | Region: Western,92,17,6/28/2018Amended: 11/7/2018,"The company has rescinded the separation of three additional employees and further postponed the separation of two employees until sometime during the 14-day period from December 6, 2018 through December 19, 2018 due to changes in product mix and outsourcing.",-----,Decline in business with major customer,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Angela Nelson, Director of People",(716) 332-4714,47-1578362,2017-0422,6617
"Equifax Inc. 61 Hilton Avenue Garden City, NY 11530",Consumer credit reporting agency.,Nassau | WDB Name: HEMPSTEAD | Region: Long Island,51,33,11/14/2018,"Separations will occur on February 16, 2019, or during a 14-day period beginning on that date.",To Be Determined,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Mike Bause, Vice President - HR People Services",(404) 885-8812,58-0401110,2018-0179,6616
"Thomson Reuters Corporation (Operations and Enablement - Technology, Content Operations  & Legal Editorial) 50 East Broad Street Rochester, NY 14614",,Monroe  |WDB Name: MONROE | Region: Finger Lakes Region,,,11/13/2018,"Layoffs will begin on or about February 12,  2019 with subsequent rounds of layoffs to occur on or about February 28, 2019,  March 29, 2019, on or about May 31, 2019 and throughout 2019 until the office  is closed.","September 30, 2019",,Plant Closing,Plant Closing,The employees are not represented by a union.,"Christine  Hoffman, Human Resources Director, US People Function",(651) 848-3154,,2018-0177,6615
"FLIK International Corporation424 5th Ave New York, NY 10018",Food service contract at Lord and Taylor,New York | WDB Name: NEW YORK CITY | Region: New York City,31,31,11/13/2018,2/11/2019,2/11/2019,Due to Lord and Taylor NYC store closing.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Heather Eisler, HR Business Partner",(201) 803-6189,13-2814803,2018-0178,6612
"Broadcom Inc. 1 Computer Associates Plaza Islandia, NY 11749","Global technology leader that designs, develops and supplies semiconductor and infrastructure software solutions.",Suffolk | WDB Name: SUFFOLK | Region: Long IslandCounty: New York | WDB Name: NEW YORK CITY | Region: New York City,897,241,11/7/2018,"The expected date of the first separations in each location is February 9, 2019.",-----,CA Technologies was acquired by Broadcom Inc.,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Pouya Khani, Sr Director, People Operations",(631) 342-4970,-----,2018-0175,6611
"Kmart Store Unit #09381 (Kmart Corporation) 805 New York Avenue Huntington, NY 11743",Department Store,Suffolk | WDB Name: SUFFOLK | Region: Long Island,76,76,11/8/2018,"Separations will occur on February 05, 2019 or during a 14-day period beginning on that date.",2/5/2019,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Anthony Nass, Director Region HR",(847) 286-2500,38-0729500,2018-0174,6610
"Sears, Roebuck and Co. Full Line Store (#02173)3065 Route 50 Saratoga Springs, NY 12866",Retail Store,Saratoga | WDB Name: SAR/WAR/WAS | Region: Capital,23,23,11/8/2018,2/5/2019,"Separations will occur on February 05, 2019 or during a 14-day period beginning on that date.",Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Anthony Nass, Director Region HR",(847) 286-2500,36-1750680,2018-0172,6609
"Dumas Contracting USA Inc.Empire State Mine Project, 408 Sylvia Lake RoadGouverneur, NY 13642",Construction company,St. Lawrence |WDB Name:ST LAWRENCE | Region: North Country Region,-----,33,10/25/2018,10/31/2018,-----,Economic,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Bertrand De Windt, Director Human Resources",(416) 594-2525,98-0480196,2018-0169,6608
"Eastman Kodak Company (Eastman Business Park) 1669 Lake Avenue Rochester, NY 14650",Photographic equipment and Supplies,Monroe |WDB Name: MONROE  | Region: Finger Lakes Region,-----,1,11/1/2018,1/29/2019,-----,Economic,Plant Layoff,Plant Layoff,The employees  are not represented by a union.,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,16-0417150,2018-0171,6604
"The Research Foundation for  the State University of New York  Buffalo State Campus 1300 Elmwood Avenue Buffalo, NY 14222",Education research,Erie |WDB Name:  ERIE | Region: Western Region County: Albany |WDB Name: CAPITAL  DISTRICT | Region: Capital Region County: New York |WDB Name: NEW YORK CITY  | Region: New York City County: Monroe |WDB Name: MONROE  | Region: Western Region County: Onondaga |WDB Name: ONONDAGA  | Region: Central Region,,,9/28/2018Amendment:10/31/2018,12/31/2018,-----,Loss of contract,Plant Layoff,Plant Layoff,The employees  are not represented by a union.,"Christine Goff, HR Coordinator",(716) 878-4091,14-1368361,2018-0102,6603
"Bak USA  425 Michigan Avenue  Buffalo,  NY 14203",,Erie | WDB Name: ERIE | Region: Western Region,,,11/1/2018,,,,Plant Closing,Plant Closing,The employees are not represented by a union.,"James Grasso,  Esq. at Philips Lytle",(716) 847-8400,,2018-0170,6602
"Ivy Enterprises, Inc.(Warehouse)3 Seaview BlvdPort Washington, NY 11050","Fingernails, Artificial Business",Nassau | WDB Name: HEMPSTEAD | Region: Long Island,132,24,10/9/2018 Amended: 10/31/2018,2/3/2019,2/3/2019,Moving warehouse functions to New Jersey,Plant Closing,Plant Closing,The employees are not represented by a union.,"Heather Han, Senior HR Manager",(516) 625-9292,11-3498468,2018-0126,6600
"Reproductive Specialists of New York, LLP 200 Old Country Road, Suite 350 Mineola, NY 11501",Treating patients with fertility problems,Nassau | WDB Name: OYSTER BAY | Region: Long IslandCounty: Suffolk | WDB Name: SUFFOLK | Region: Long IslandCounty: Kings | WDB Name: NEW YORK CITY | Region: New York City,119 (total employees at all sites),79,11/2/2018,"The expected date of the closing will occur during the fourteen (14) day period commencing on January 31, 2019 and ending on February 13, 2019.",2/13/2019,Acquisition by major hospital.,Plant Closing,Plant Closing,The employees are not represented by a union.,"Michael Pagliuca, Practice Manager",(516) 739-2100 Ext: 115,43-2015054,2018-0165,6599
"Aptos Inc.15 Governor DriveNewburgh, NY 12550",Software developers,Orange | WDB Name: ORANGE | Region: Mid-Hudson,15,2,7/25/2018 Amended: 11/5/2018,"This sixth wave of separations is expected to commence during the 14-day period starting on October 24, 2018. One employee’s separation date has been extended to the 14-day period starting on December 7, 2018.",12/31/2018,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Lisa Rogers, People Business Partner",(845) 926-4226,14-1624962,2018-0016,6598
"Target Corporation (Commack Store T1387) 4 Henry St. Commack, NY 11725",Retail Store,Suffolk | WDB Name: SUFFOLK | Region: Long Island,182,182,10/29/2018,2/2/2019,2/2/2019,Economic,,Plant Closing,The employees are not represented by a union.,"Patricia Schnaars, Human Resources Business Partner",(516) 307-7774,41-0215170,2018-0164,6596
"Fedcap Rehabilitation Services, Inc. (WeCARE Program) 80 Vandam Street, 7th Fl. Manhattan, NY 10013",Provides assistance to clients with medical and/or mental health barriers to employment by providing customized assistance and services to help them achieve their highest levels of self-sufficiency.,New York | WDB Name: NEW YORK CITY | Region: New York CityCounty: Kings| WDB Name: NEW YORK CITY | Region: New York City County: Bronx | WDB Name: NEW YORK CITY | Region: New York CityCounty: Queens| WDB Name: NEW YORK CITY | Region: New York City,(491 total affected employees),107,10/24/2018,1/31/2019,1/31/2019,"Contract with the City of New York expiring on January 31, 2019.",Plant Closing,Plant Closing,The employees are not represented by a union.,"Devon Bryan, Director, Human Resources",(212) 727-4345,13-5645879,2018-0155,6595
"Laboratory Corporation of America Holdings(on behalf of its subsidiary company, Esoterix Genetics Laboratories, LLC dba Integrated Oncology) 521 West 57 Street New York, NY 10019",Medical Laboratory,New York | WDB Name: NEW YORK CITY | Region: New York City,160,114,8/8/2018Amended: 10/31/2018,"Due to business needs, 114 separations will be postponed to occur during a 14-day period starting on 12/8/2018 (74) and a 14-day period starting on 1/31/2019 (40).",-----,"The relocation of operations will result in the permanent elimination of positions assigned to the Accessioning, Administration, Anatomical Pathology, Client Services, Cytogenetics, Distribution, FISH, Flow Cytometry, Histology, Molecular, Oncology Genetics and Quality departments.",Plant Layoff,Plant Layoff,The employees are not represented by a union.,"James Luisi, Human Resources Manager",(212) 485-0789,13-3757370,2018-0033,6594
"LSI Industries, Inc. 500 Hudson Valley Ave. New Windsor, NY 12553",Manufactures indoor lighting products,Orange | WDB Name: ORANGE | Region: Mid-Hudson,136,136,10/29/2018,"The first separations will commence on January 28, 2019 and that it will be completed by June 30, 2019.",6/30/2019,"Production will be transferred to LSI’s Erlanger, Kentucky and Blue Ash, Ohio facilities.",Plant Closing,Plant Closing,"International Brotherhood of Electrical Workers, Local 363","Kristina Stoltz-Miuca, HR Administrator",(845) 220-3209,31-1736160,2018-0154,6593
"Eastman Kodak Company (Eastman Business Park)1669 Lake AvenueRochester, NY 14650",Photographic equipment and Supplies,Monroe | WDB Name: MONROE | Region: Finger Lakes,-----,1,10/25/2018,1/22/2019,-----,Economic,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,16-0417150,2018-0153,6590
"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station)560 Fifth Avenue, 3rd FloorNew York, NY 10036",Restaurants,New York | WDB Name: NEW YORK CITY | Region: New York City,89,89,7/13/2018Amendment: 10/25/2018,Layoffs will occur during a 14-day period beginning on 11/30/2018.,11/30/2018,Expiration of lease,Plant Closing,Plant Closing,The employees are not represented by a union.,"Ann Martinez, CFO",(212) 560-1658,13-3031720,2018-0006,6589
"Conduent Education Services, LLC501 Bleecker St.Utica, NY 13501",Educational Services,Oneida | WDB Name: HMO | Region: Mohawk Valley,96,4,10/25/2018,"This tenth phase of separations will occur on or about January 25, 2019.",To be determined,Change in business needs,Plant Closing,Plant Closing,The employees are not represented by a union.,"Sarah Amoriell, HR Consultant",(801) 567-5432,95-2501112,2018-0152,6588
"A.B.C. Carpet Co., Inc./A.B.C. Oriental Carpets, Inc. 881 Broadway New York, NY 10003",Carpet Retail store,New York | WDB Name: NEW YORK CITY | Region: New York City,26 (Total affected employees at both sites),16,10/17/2018,"Separations from employment will begin on January 14, 2019 and continue through and until January 27, 2019.",1/27/2019,Economic,Plant Layoff,Plant Layoff,Teamsters Local Union No. 810,"Marc Perlowitz, General Counsel",(646) 602-3223,13-1956537,2018-0149,6587
"Nathan's Famous, Inc. 650-666 86th Street Brooklyn, NY 11228",Restaurant,New York | WDB Name: NEW YORK CITY | Region: New York City,20,20,10/24/2018,"All employee separations in connection with this action are expected to occur on January 21, 2019.",1/21/2019,Economic,Plant Closing,Plant Closing,Local 1102 RWDSU UFCW,"Karen Brown, Senior Director of Human Resources",(516) 338-8500,11-1115450,2018-0151,6586
"NSC Wholesale Holdings, LLC dba National Wholesale Liquidators 2201 59th Street Brooklyn, NY 11204",Merchandise Liquidators business,Brooklyn | WDB Name: NEW YORK CITY | Region: New York CityCounty: Nassau | WDB Name: HEMPSTEAD | Region: Long IslandCounty: Queens | WDB Name: NEW YORK CITY | Region: New York CityCounty: Bronx | WDB Name: NEW YORK CITY | Region: New York CityCounty: Orange | WDB Name: ORANGE | Region: Mid-Hudson,458 (total at all sites),66,10/18/2018,Within 30 to 60 days after liquidation process.,To be determined,Economic,Possible Plant Closing,Possible Plant Closing,Amalgamated Local 298 AFL-CIO,"Michael Lustig, Financial Controller",(516) 489-3300,28-3886210,2018-0142,6585
"Warner Media, LLC (formerly Time Warner Inc.)One Time Warner CenterNew York, NY 10019",Media services,New York | WDB Name: NEW YORK CITY | Region: New York City,-----,94,8/9/2018Amendment: 10/19/2018,"Separations will be effective November 9, 2018, or the 14-day period commencing on that date, and December 31, 2018.",-----,Recent Merger,Plant Layoff,Plant Layoff,The employees are not represented by a union.,"Erica Cibella, Vice President, Human Resources",(212) 484-6572,00-3644837 / 74-3067592,2018-0034,6584
"Ingenious Designs LLC, a wholly-owned subsidiary of the Home Shopping Network(Warehouse/distribution and office functions) 2060 9th Avenue Ronkonkoma, NY 11779",Warehouse/distribution center and office functions for Joy Mangano and other household products,Suffolk | WDB Name: SUFFOLK | Region: Long Island,66,66,10/17/2018,"Layoffs will occur during a 14-day period starting on 12/28/2018, 1/18/2019 and 2/28/2019.",2/28/2018,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Dan Owens, VP - People, HSN & CBI",(727) 872-5315,59-3617032,2018-0131,6583
"Sears, Roebuck and Co. Auto Center Store #06424 100 W RT 59Nanuet, NY 10954",Retail Store,Rockland | WDB Name: ROCKLAND | Region: Mid-Hudson,12,12,10/15/2018,"Employment separations will occur on January 31, 2019 or during a 14-day period beginning on that date.",1/31/2019,Economic,Plant Closing,Plant Closing,The employees are not represented by a union.,"Aimee Grabau, HR DVP",(847) 286-1427,36-1750680,2018-0140,6581
"Sears, Roebuck and Co. Full Line Store #01414  3000 Fashion Drive  Nanuet,  NY 10954",,Rockland  |WDB Name: ROCKLAND | Region: Mid-Hudson Region,,,,"Employment separations will occur on January  31, 2019 or during a 14-day period beginning on that date.",,,Plant Closing,,The employees are not represented by a union.,"Aimee Grabau,  HR DVP",(847) 286-1427,,,6580
"Sears, Roebuck and Co. Full Line Store #01944  600 Lee Blvd  Yorktown Heights, NY 10598",,Westchester  |WDB Name: WESTCH/PTNM | Region: Mid-Hudson Region,,,,"Employment separations will occur on January 31,  2019 or during a 14-day period beginning  on that date.",,,Plant Closing,,The employees are not represented by a union.,"Aimee Grabau,  HR DVP",(847) 286-1427,,,6579
"Sears, Roebuck and Co. Full Line Store #02584  RT 394 & Hunt Blvd.  Lakewood, NY 14750",,Chautauqua  |WDB Name: CHAUTAUQUA | Region: Western Region,,,,"Employment separations will occur on January  31, 2019 or during a 14-day period beginning  on that date.",,,Plant Closing,,The employees are not represented by a union.,"Aimee Grabau,  HR DVP",(847) 286-1427,,,6578
