Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Case_ID
"Eastman Kodak  Eastman Business Park 343 State Street Rochester, NY  14650",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,19,11/3/2014,1/31/2015,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist.,"Mary C.  Lazzar-Whyte, Director, HR Americas Employee Services",(585) 781-1896,4861
"The Food Emporium, No 36-767 200 East 32nd Street New York, NY 10016",Grocery Store,New York | WIB Name: NEW YORK CITY | Region: New York City,60,60,10/30/2014,-----,1/24/2015,Economic,Plant Closing,Plant Closing,"UFCW Local 342, Local 338","Derek Kinney, Vice President Human Resources and Labor Relations",(201) 571-4018,4859
"Jacobson Warehouse Company, Inc. 100 Horseshoe Blvd Avon, NY 14414",Warehousing and Distribution,Livingston | WIB Name: GLOW | Region: Finger Lakes Region,11,,10/24/2014,-----,1/22/2015,Relocation of operations to Rochester,Plant Unit Closing,Plant Unit Closing,There is no representative of affected employees.,"Rachel Passage, Director of Field Human Resources",(515) 265-6171Ext 100226,4858
"Windmill Distributing  Company, LP Pier 7, 2 Atlantic Avenue Brooklyn, NY  11201",Beverage Distributor,Kings | WIB Name: NEW YORK CITY | Region: New York City Orange | WIB Name: ORANGE | Region: Mid-Hudson Region,577,577,10/31/2014,-----,1/31/2015 or within a 14-day period thereafter,,Plant Closing,Plant Closing,Teamsters Local 812,Laura Brito,(718) 609-7221,4857
"Community First Holdings, Inc. 435 River Road North Tonawanda, NY 14120",Newspapers,Niagara | WIB Name: NIAGARA | Region: Western Region,-----,20,10/30/2014,1/31/2015,-----,Economic - cease publications of the Tonawanda News,Plant Layoff,Plant Layoff,Employees do not have bumping rights.,Chris Voccio,(716) 282-2311 Ext 2280,4856
"The Guild for Exceptional Children, Inc. 1273 57th Street Brooklyn, NY 11219",Preschool,Kings | WIB Name: NEW YORK CITY | Region: New York City,81,81,10/27/2014,-----,1/25/2015,Economic,Plant Closing,Plant Closing,CSEA,"Judith Kraut, Director, Human Resources",(347) 560-2353,4855
"Aircraft Service International Inc JFK International Airport Terminal One Jamaica, NY 11430",Ground Service Work,Queens | WIB Name: NEW YORK CITY | Region: New York City,546,546,10/29/2014,-----,1/31/2015,Loss of Contract by Terminal One Group Airlines,Plant Unit Closing,Plant Unit Closing,"Local Lodge 447 of the International Association of Machinists and Aerospace Workers, AFC-CIO","Rubenia Santos, Area Human Resources Manager",(718) 725-4292,4854
"Circor Flow Technologies  Spence Engineering Company 150 Coldenham Road Walden, NY 12586",Manufacturer of steam specialty & fluid control  devices,Orange | WIB Name: ORANGE| Region: Mid-Hudson Region,91,55,8/19/2013Amended: 10/22/2014,Layoffs were extended for  remaining workers to occur on 12/31/2014,-----,Economic,Plant Layoff,Plant Layoff,International  Association of Machinist and Aerospace Workers Union (IAM),Sharon Bruel,(845) 778-6232,4853
"John Hassall, Inc. 609-1 Cantiague Rock Road Westbury, NY 11590",Production of custom designed metal parts and fasteners,Nassau | WIB Name: HEMPSTEAD | Region: Long Island,83,83,4/30/2014 Amended: 10/27/2014,Scheduled to occur between 1/12/2015 and 1/26/2015,undetermined at this time,Sale of business and assets,Plant Closing,Plant Closing,No bumping rights exist.,Richard Bennett,(610) 866-2441 Ext 214,4852
"Visiting Nurse Service of New York Home Care (VNSNY) 1630 East 15th Street Brooklyn, NY 11229",Visiting Nurse Service,New York/Bronx/Kings/Queens/Richmond | WIB Name: NEW YORK CITY | Region: New York City Westchester | WIB Name: WESTCHESTER | Region: Mid-Hudson Region Nassau/Oyster Bay| WIB Name: OYSTER BAY | Region: Long Island,-----,17,10/22/2014,1/23/2015,-----,Economic,Plant Layoff,Plant Layoff,United Federation of Teachers and 1199 SEIU United Healthcare Workers East,"Marian Hass,  Vice President, Human Resources Policy & Practice",(212) 609-7880,4851
"Visiting Nurse Service of New York (VNSNY) 90 South Ridge Street  Rye Brook, NY 10573",Visiting Nurse Service,Westchester | WIB Name: WESTCHESTER | Region: Mid-Hudson Region New York/Bronx/Kings/Queens | WIB Name: NEW YORK CITY | Region: New York City,-----,3,10/22/2014,1/23/2015,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights.,"Marian Hass, Vice President, Human Resources Policy & Practice",(212) 609-7880,4850
"Eastman Kodak  Eastman Business Park 343 State Street Rochester, NY  14650",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,10/21/2014,1/18/2015,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist.,"Mary C.  Lazzar-Whyte, Director, HR Americas Employee Services",(585) 781-1896,4849
"NBTY Inc. and NBTY Manufacturing New York, Inc. 815 Grundy Avenue Holbrook, NY 11741",Sanitation and Maintenance,Nassau | WIB Name: SUFFOLK | Region: Long Island,-----,3,10/20/2014,1/18/2015 or during the 14-day period commencing on this date,-----,Economic,Plant Layoff,Plant Layoff,Terminated employees do not have bumping rights.,"Andrea Staub, Vice President, Corporate Communication",(631) 200-7459,4848
"vente-privee USA, LLC 345 Hudson Street New York, NY 10014",Internet sales,New York | WIB Name: NEW YORK CITY | Region: New York City,97,97,10/23/2014,-----,1/21/2015,Economic,Plant Closing,Plant Closing,None of the employees are represented by a union/labor organization. Employees in this facility do not have bumping rights.,"Axel Nazarian, CEO",(877) 453-3909,4847
"vente-privee USA Brands, Inc. 345 Hudson Street New York, NY 10014",Internet  sales,New York | WIB Name: NEW YORK CITY | Region: New York City,36,36,10/23/2014,-----,1/21/2015,Economic,Plant Closing,Plant Closing,None of the employees are represented by a union/labor organization. Employees in this facility do not have  bumping rights.,"Xavier Court,  CEO",(877) 453-3909,4846
"SUNY Downstate Medical Center at LICH - StaffCo of Brooklyn LLC 339 Hicks Street Brooklyn, NY 11201",Medical Center,Kings | WIB Name: NEW YORK CITY | Region: New York City,485,485,3/25/2013  Amended: 10/22/2014,Remaining layoffs are postponed to occur between 11/8/2014 and 1/13/2015.,Postponed to occur between 11/8/2014 and 1/13/2015.,Economic,Plant Closing,Plant Closing,"1199 SEIU United Healthcare Workers East, New York State Nurses Association, Local 30 & 30 A-B-C-D of the International Union of Operating Engineers, and Special and Superior Officers Benevolent Association","Francesca Tinti, Assistant Vice President for Human Resources",(718) 780-1500,4844
"Good Samaritan Hospital Medical Center - Chronic Dialysis Center 939 Sunrise Highway Bay Shore, NY 11706",Dialysis treatment,Nassau | WIB Name: SUFFOLK | Region: Long Island,63,63,10/21/2014,-----,1/19/2015,"Transfer of control and management of services to Fresenius Medical Care, N.A.",Plant Closing,Plant Closing,None of the affected employees are represented by a union or will have bumping rights to other positions.,"Mark C. Boehrer, Vice President of Human Resources",(631) 376-4060,4843
"Sears Holdings Corporation - Units 06166 & 02033 6129 Saint Lawrence Ctr Massena, NY 13662",Retail store,St. Lawrence | WIB Name: ST LAWRENCE | Region: North Country Region Cayuga | WIB Name: CAYUGA/CORT | Region: Central Region,51 - 5 affected in Unit 06166 & 46 affected in Unit 02033,51,10/15/2014,-----,1/18/2015,Economic,Plant Closing,Plant Closing,No union organization and no applicable bumping or transfer rights for any affected employees.,Karen Newkirk,(847) 286-2500,4842
"Pfizer Inc.  401 North Middletown Road Pearl River, NY 10965",Pharmaceutical Products,Rockland | WIB Name: ROCKLAND | Region: Mid-Hudson Region,1330,16 - 13 non-bargaining unit colleagues & 3 bargaining unit colleagues,10/22/2014,To occur between 6/28/2014 and 12/12/2014,-----,Company Restructuring,Plant Layoff,Plant Layoff,Local 95c ICWU/UFCW,"Mariana Arteaga, Human Resources Director, Manager & Operational Support",(845) 602-3611,4841
"Martha Stewart Living Omnimedia, Inc. 601 West 26th Street - 9th  Floor New York, NY 10011",Corporate Office for publishing merchandising and broadcasting operations,New York  | WIB Name: NEW YORK CITY | Region: New York City,-----,114,10/16/2014,1/14/2015,-----,Economic,Plant Layoff,Plant Layoff,Affected employees are not represented by a union.,"Allison  Hoffman, EVP, General Counsel and Corporate Secretary",(212) 827-8394,4840
"RBC Capital Markets One Liberty Plaza, 165  Broadway New York, NY 10006","Financial Investment Firm - Technology, Operations and Functions groups",New York | WIB Name: NEW YORK CITY | Region: New York City,279 (All affected employees will be offered and are expected to accept transfer options.),279,10/14/2014Amended: 10/20/2014,To  occur in waves beginning on 1/12/2015,to be determined,Transferred to NJ location,Plant Closing,Plant Closing,RBC does not recognize bumping rights. Employees are not represented by any union.,Susan Cella,(212) 428-6467,4839
"Turner Broadcasting System, Inc. One Time Warner Center New York, NY 10019",Broadcasting Operations,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,35,10/17/2014,Beginning on 1/19/2015 and continuing into the first quarter of 2015,-----,Economic,Plant Layoff,Plant Layoff,None of the affected employees are represented by a union and none are entitled to bumping rights pursuant to a collective bargaining agreement or otherwise.,"Angela Santone, SVP Chief Human Resources Officer",(404) 827-3968,4838
"Korea Plaza, Inc. d/b/a Assi Plaza 131-09 39th Avenue Flushing, NY 11354",Food Store,Queens | WIB Name: NEW YORK CITY | Region: New York City,60,60,10/20/2014,To occur between 11/2/2014 and closing date of 12/18/2014.,12/18/2014,Economic,Plant Closing,Plant Closing,None of the affected employees are represented by a union.,"So Kwon Kim, Manager Director",(718) 321-8000,4837
"LIR Management Corp/Food Court 1 Penn Plaza New York, NY 10001",Food service establishments,New York | WIB Name: NEW YORK CITY | Region: New York City,124,124,12/12/2013 Amended: 10/16/2014,Layoffs to occur between  1/2/2015 and the 14-day period beginning on that date,1/2/2015,Economic,Plant Closing,Plant Closing,Unite Here Local 100,"Ann Martinez, CFO",(212) 560-1658,4836
"RBC Capital Markets Global Arbitrage and Trading Brookfield Place 200 Vesey Street New York, NY 10281",Financial Investment Firm,New York | WIB Name: NEW YORK CITY | Region: New York City,130,33,10/16/2014,To occur in waves beginning on 1/15/2015,-----,Economic,Plant Layoff,Plant Layoff,RBC does not recognize bumping rights. Employees are not represented by any union.,Rachel Behrens,(212) 618-3279,4835
"Eastman Kodak  Kodak Research Labs 1999 Lake Avenue Rochester, NY  14615",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,10/14/2014,1/11/2015,-----,Economic,Plant Layoff,Plant Layoff,There is no employee representative of record.,"Mary C. Lazzar-Whyte, Director, HR Americas Employee Services",(585) 781-1896,4834
"RBC Capital Markets One Liberty Plaza, 165  Broadway New York, NY 10006",Financial Investment Firm,New York | WIB Name: NEW YORK CITY | Region: New York City,278 (All affected employees will be offered and are expected to accept transfer options.),278,10/14/2014,To occur in waves beginning on 1/12/2015 and continue through closing,to be determined,Transferred to NJ location,Plant Closing,Plant Closing,RBC does not recognize bumping rights. Employees are not represented by any union.,Susan Cella,(212) 428-6467,4833
"Alpina Foods, Inc 5011 Ag Park Drive, West Batavia, NY 14020",Food Distributor,Genesee | WIB Name: GLOW | Region: Finger Lakes Region,-----,32,10/14/2014,10/19/2014,-----,Contract Loss,Plant Layoff,Plant Layoff,Bumping rights not permitted. Affected employees are not represented by a union.,"Roger Parkhurst, Industrial Director",(585) 815-6321,4832
"Forest Laboratories, LLC 500 Commack Road Commack, NY 11725",Commercial Packaging Operations-Pharmaceuticals,Suffolk | WIB Name: SUFFOLK | Region: Long Island Nassau | WIB Name: OYSTER BAY | Region: Long Island New York | WIB Name: NEW YORK CITY | Region: New York City,----,94 affected for Long Island locations,9/5/2014Amended: 10/9/2014,90 days from the date of notice,500 Commack Road location is not closing,Purchased by Actavis – relocation of most of its operations to New Jersey,Plant Layoff,Plant Layoff,Affected employees are not represented by a union.,Kellie S.  Sears VP of HR Operations and Policies,(314) 493-7110,4831
"Stanley Black and Decker's Powers Business 2 Powers Lane Brewster, NY 10509",Tool Manufacturing,Putnam | WIB Name: WESTCH/PTNM | Region: Mid-Hudson Region,150,0,4/9/2014 Amended: 10/14/2014,to commence on 7/18/2014 and continue in phases through August,-----,Transfer of work to other SBD facilities will not occur,Plant Layoff,Plant Layoff,No union involvement,"Jamille V.  McCullough, Human Resources Director",(845) 230-7539,4830
"TGI Friday's 484 8th Avenue New York, NY",Restaurant,New York | WIB Name: NEW YORK CITY | Region: New York City,79,79,10/17/2013 Amended: 10/14/2014,-----,"Postponed to occur on 11/9/2014 or during the 14-day period that begins on that date. Except for a small number of employees, presently unknown, who will assist with the winding down of operations.",Economic,Plant Closing,Plant Closing,Employees are not represented by a union nor by any other employee representative. No bumping rights exist among these non-union employees.,"Ann Martinez, CFO",(212) 560-1658,4829
